fraudulent,description
1,"corporate overview aker solutions is a global provider of products, systems and services to the oil and gas industry. our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. we employ approximately 28,000 people in about 30 countries. go to   for more information on our business, people and values. we are looking for individuals who are prepared to take a position. not only a position within aker solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future. we are looking for a lead mechanical engineer to join our team in houston, texas. the lead mechanical engineer will be responsible for providing expertise and technical leadership to the organization. responsibilities and tasks • performs mechanical calculations and technical analysis on various custom components and reviews mechanical design of equipment to ensure that specifications are met;• prepares and presents complex technical reports, equipment data sheets, mrq’s, tbe’s and mrp’s, and makes recommendations on critical engineering issues;• work with certifying agencies for product development and follows through with absa registrations;• leads and reviews project design decisions, budgets, and scheduling;• identifies solutions to achieve company objectives and ensure that the team is aligned.• interfaces directly with the customer and participates in preparing bids and proposals;• ensure processes are followed correctly and continuously identifies opportunities to improve efficiencies;• ensure team members are kept current on procedure qms changes;• provides leadership, technical guidance and mentor-ship to other engineers."
1,"director of strategy | san mateo, ca interested in a company that has doubled annually for the last three years? benchmarking in the top percentile of saas companies that have ultimately gone public? deeply capitalized? backed by investors such as battery ventures and intel capital? description this role is responsible for building and leading the newly formed corporate strategy function. it will report to a senior executive and will be responsible for identifying and answering a host of strategic questions, including growth, international expansion, acquisitions, and functional issues. it will be an extremely visible role in the company and work across the entire organization. this role will also be responsible for recruiting additional talent into the function, developing operational processes, and designing the talent management/career path for staff. due to the rapid growth of the company, this role will have opportunity to transition to into functional / line management over time if interested. responsibilities: evaluation of industry trends to develop implications and recommend strategies; development of strategic recommendations evaluation of new business opportunities; new market analysis and entry strategies; creation of new initiatives drawing on an integrated offering across multiple business units; evaluation of new technologies; "
1,"qualified candidates are encouraged to apply directly to this job posting. direct email and phone calls are not being considered. thank you for your cooperation. please no recruiters. ust testing technician ii bakersfield, ca local petroleumcompany operates primarily in retail and wholesale of motor fuels and other related petroleum products and is seeking talented, experienced, maintenance technicians to perform troubleshooting and maintenance on their retail gasoline equipment. responsibilities the ideal candidate will have experience working with retail gasoline dispensing and peripheral equipment, ust systems, weights and measures compliance, and computer applications. certifications with gilbarco, ruby, sapphire, and veeder root tank gauging preferred. schedule testing with local agencies. "
1,"director of strategy | san mateo, ca interested in a company that has doubled annually for the last three years? benchmarking in the top percentile of saas companies that have ultimately gone public? deeply capitalized? backed by investors such as battery ventures and intel capital? description this role is responsible for building and leading the newly formed corporate strategy function. it will report to a senior executive and will be responsible for identifying and answering a host of strategic questions, including growth, international expansion, acquisitions, and functional issues. it will be an extremely visible role in the company and work across the entire organization. this role will also be responsible for recruiting additional talent into the function, developing operational processes, and designing the talent management/career path for staff. due to the rapid growth of the company, this role will have opportunity to transition to into functional / line management over time if interested. responsibilities: evaluation of industry trends to develop implications and recommend strategies; development of strategic recommendations evaluation of new business opportunities; new market analysis and entry strategies; creation of new initiatives drawing on an integrated offering across multiple business units; evaluation of new technologies; "
1,"health safety professional | bakersfield, cathis position monitors, analyzes, recommends, and implements systems to improve integration of safety compliance and business success through interactions at the employee and supervisor levels. this position is part of the hse team, and requires a person that is team oriented, and someone who is looking to share their knowledge while seeking new opportunities within and outside of the safety specialty. work environment;this position works primarily in a field environment supporting operations, drilling, production, and construction. the working conditions for this position vary and maybe hazardous and or unpleasant at times. the individual filling this position will be exposed to weather and temperature extremes, dust, oil, and other environmental factors. the person that fills this position must have a core belief that safety’s and production’s success are linked."
1,"ust testing technician ii bakersfield, ca local petroleumcompany operates primarily in retail and wholesale of motor fuels and other related petroleum products and is seeking talented, experienced, maintenance technicians to perform troubleshooting and maintenance on their retail gasoline equipment. responsibilities: the ideal candidate will have experience working with retail gasoline dispensing and peripheral equipment, ust systems, weights and measures compliance, and computer applications. certifications with gilbarco, ruby, sapphire, and veeder root tank gauging preferred. schedule testing with local agencies."
1,"we are a full-service engineering, project management, design and safety regulatory firm providing a wide array of services to support our client's specific project needs. essential duties and responsibilities: * develop budget and schedule in alignment with the scope. * able to understand and comprehend the major process steps involved in the project. * adequate knowledge in project deliverables like process flow diagram, pid, area classification drawing, electrical one line drawing, etc. * able to develop the project execution plan. * interface with the client and develop rapport. * request appropriate resources to execute the project work. * manage the project personnel. * effective communication skills - with the client and inter discipline personnel within the company. * project tracking/monitoring - budget and schedule with the help of project control personnel. * perform engineering calculations to support the project * follow and implement standard project procedures per prou project procedure manual * ability to relate project drawings with field construction. * soft skills to manage multidiscipline technical staff and promote team spirit to execute the project successfully. * ability to control the quality of project deliverables. "
1,"technician instrument controlslocation deweyville, txlocation name: nrg cottonwood energycategory: maintenancestate/city: us-tx-deweyvilletype: full time hourly openings: 1 details about this career opportunity:overview:company profile:we deliver cleaner and smarter energy choices for our customers, backed by the nation’s largest independent power generation portfolio of fossil fuel, nuclear, solar and wind facilities. a fortune 500 company is challenging the u.s. energy industry by becoming the largest developer of solar power, building the first privately-funded electric vehicle charging infrastructure, and providing customers with the most advanced smart energy solutions to better manage their energy use. in addition to 47,000 megawatts of generation capacity, enough to supply nearly 40 million homes, our retail electricity providers serve more than two million customers.general summarythe instrumentation controls and electrical technician (ice) is responsible for the maintenance and repair of all instruments, control systems and electrical equipment in the power plant and the associated facilities. the ice technician performs work of high skill in the inspection repair, testing, adjustment, installation and removal of all electronic and electrical power plant equipment and systems.primary functions- safely perform preventive and corrective maintenance on all plant equipment, systems, and emergency backup systems.- maintain complete equipment files, logs, and drawings for all designated equipment.- assist in maintaining and controlling spare parts inventory to maintain plant reliability. assist in physical inventories.- participate in the administrative maintenance of the plant operating manuals, technical references, prints and diagrams and preventive/predictive maintenance records.- inspect repair, install and remove all types of motors, generators, transformers, switches, control equipment, wiring, electrical signal and communication systems, and storage batteries, and work with electrical systems up to and including 4160 volts.- conduct trouble shooting and analysis on dcs, plc and ge mark vi turbine control equipment.- maintain all plant instrumentation and electrical test equipment.- fully support and participate in naes safety and regulatory compliance programs.- complete other tasks as assigned by the maintenance manager or the plant manager.scope of responsibilitythe ice technician operates from established and well-known procedures under minimum supervision, performing duties independently with only general direction given. decisions are made within prescribed operating and casualty procedures and guidelines. the ice technician encounters recurring work situations of high complexity, with occasional variations from the norm.the ice technician must perform work in a safe manner resulting in no accidents, in compliance with all environmental permits at all times. the ice technician must effectively communicate information to supervision and fellow plant personnel, relative to the condition of the plant equipment and performance, and provide suggestions for plant improvements. the ice technician must perform duties in such a way to result in an optimum cost-benefit ratio.the ice technician may also be assigned the additional responsibility of maintenance coordinator/planner for the site. this is a collateral assignment given to a selected maintenance department technician to assist the operations and maintenance manager with the routine planning and coordination of the site equipment maintenance.the duties include:- the planning and review of the preventative, predictive and pro-active type maintenance.- a more in-depth knowledge and ability to use the cmms system to provide the necessary review and planning to support the om manager in weekly work routines.- ability to provide the cognitive coordinated efforts necessary to ensure that weekly routines and preventative maintenance are scheduled and documented as complete when the respective maintenance technician indicates that the work has been performed.- provide the coordination efforts necessary in support of allowing the om manager to provide the necessary supervision and direction of the maintenance technicians.all employees have the responsibility to both the customer and their co-workers to do the job right the first time and to ensure the customers' needs are being met."
1,"essential duties and responsibilities: * assist in developing the engineering cost estimate per job definition document. * develop the project schedule in alignment with the scope. * able to understand and comprehend the major process steps involved in the project. * understand standard project deliverables such as: process flow diagram, pid, area classification drawing, electrical one-line drawing, etc., and major tasks involved in generating each deliverable. * assist in developing the project execution plan. * interface with the client and develop rapport. * monitor and track project budget and schedule. * perform budget and schedule variance analysis at set intervals during the project execution phase to help project leads and clients track the project progress. investigate project cost and schedule variances. * effective communication skills - with the client and interdiscipline personnel within the company. * perform earned man-hours calculations to estimate the real progress of the project. * follow and implement standard project procedures per project procedure manual. * soft skills to interact with multidiscipline technical staff and promote team spirit to execute the project successfully. * generate project reports, weekly work plans, etc. * generate design change orders for applicability to cost and schedule control, both with respect to original scope and fees. * assist in project closeout with project leads."
1,"interface with customers via inbound or outbound calls or the internet for the purpose of resolving routine problems with products or services. greet customers in a courteous, friendly, and professional manner using agreed upon procedures. listen attentively to customer needs and concerns; demonstrate empathy clarify customer requirements; probe for and confirm understanding of requirements or problem meet customer requirements through first contact resolution confirm customer understanding of the solution and provide additional customer education as needed prepare complete and accurate work and update customer file communicate effectively with individuals/teams in the program to ensure high quality and timely expedition of customer requests effectively transfer misdirected customer requests to an appropriate party. contribute ideas on ways to resolve problems to better serve the customer and/or improve productivity participate in activities designed to improve customer satisfaction and business performance occasionally use decision-support tools to answer questions solve problems that are sometimes unstructured and that may require reliance on conceptual thinking offer solutions to issues that are often non-standard/non-routine and require some clarification maintain broad knowledge of client products and services "
1,"accion is currently seeking a professional individual enthusiastic about customer service and fashion. we are looking for someone focused on creating an exceptional customer service and shopping experience for our accion customer. responsibilities: welcome and greet customers, modeling a positive customer service spirit, exhibiting a friendly and helpful attitude with customers and associates. answer customer questions regarding products and services; assist customers with buying decisions. operate cash registers to complete customer transactions. display merchandise and maintain a clean shopping area to maximize store appeal. assist in the receiving and of new merchandise from vendors. prepare merchandise for the selling floor. assist in minimizing loss of company assets. contribute to team efforts. "
1,"responsible for all food production including that used for restaurants, banquet functions and other outlets. develop menus, food purchase specifications and recipes. supervise staff. develop and monitorfood and labor budget for the department. maintain highest professional food quality and sanitation standards. duties responsibilities: * plans menus for all food outlets in the hotel. * schedules and coordinates the work of chefs, cooks and other kitchen employees to assure that food preparationis economical and technically correct and within budgeted labor cost goals. * approves the requisition of products and other necessary food supplies. * ensures that high standards of sanitation, cleanliness and safety aremaintained throughout all kitchen areas at all times. * establishes controls to minimize food and supply waste and theft. * safeguards all food preparation employees by implementing training to increase their knowledge about safety, sanitation and accident preventionprinciples. * develops standard recipes and techniques for food preparation and presentation which help to assure consistently high quality and to minimize food costs; exercises portion control for all items served and assists in establishing menu selling prices. * prepares necessary data for applicable parts of the budget; projects annual food, labor and other costs and monitors actual financial results; takes corrective action as necessary to help assure that financial goals are met. * attends food and beverage staff and management meetings. * consults with the food beverage director about food production aspects of special events being planned. * cooks or directly supervises the cooking of items that require skillfulpreparation. * ensures proper staffing for maximum productivity and high standards of quality; controls food and payroll costs to achieve maximum profitability. * evaluates food products to assure that quality standards are consistently attained. * interacts with food and beverage ma nagement to assure that food production consistently exceeds the expectations of members and guests. * in conjunction with fb management team, assist in maintaining a high level of service principles in accordance with established standards. "
1,"responsible for assisting in the direction and administration of the planning, preparation, production and control of all culinary operations in the hotels continuing effort to deliver outstanding guest service and financial profitability. as executive sous chef, you would be responsible for assisting in the direction and administration of the planning, preparation, production and control of all culinary operations in the hotel's continuing effort to deliver outstanding guest service and financial profitability. specifically, you would be responsible for performing the following tasks to the highest standards: assist the executive chef in the direction and oversight of all culinary operations, to include, but not limited to, preparation and production of all hotel meals, food quality and presentation, compliance with all safety and sanitation standards and regulation, team member productivity and performance, implementation of policies and procedures, cost controls and overall profitability assist the executive chef by interacting with guests and clients to monitor and assess satisfaction trends, evaluate and address issues and make improvements accordingly assist the executive chef in creating and implementing menu selections for special banquet themes and events based on current food trends and regional tastes in partnership with the executive chef and director of food and beverage, as needed ensure compliance with federal, state, local and company health, safety, sanitation and alcohol awareness standards monitor and develop team member performance to include, but not limited to, providing supervision, conducting counseling and assisting with evaluations, training, scheduling and assigning work and delivering recognition and reward "
1,"as an administrative assistant you will be responsible for a wide variety of interesting and challenging duties. this is a great opportunity to work closely with a group of successful entrepreneurs and execute your administrative support and project management skills.position responsibilities*manage incoming and outgoing communication such as phone calls, emails, and daily correspondence*manage multiple calendars with complex scheduling that require consistent attention to detail and follow-through*work with word, excel, outlook, visio, and sharepoint*research, plan and arrange events, social engagements and travel itineraries*process invoices, recurring bills and expense reconciliationposition requirements*administrative experience supporting high level executives in a fast paced environment*excellent administrative and organization skills*excellent verbal and written communication skills*strong competency in word, excel and outlookstarting pay $25/hrbenefits:401k plan with company matchingmedical, dental, vision coveragevacation paydisability insurancelong-term care insurancegrowth opportunitieswe are looking for a motivated, dependable and enthusiastic person to join our team. responsibilities (include but not limited to)*incoming mail*filing*data entry*market research*scanning*prepare and send correspondence*be able to assist office on all levels as neededqualifications:*computer skills, ms office proficient (word, excel)*clear and effective communication skills, written skills required*excellent organizational skills*team player*motived and self starter*friendly and positive attitude*ability to coordinate multiple tasks*problem solving skills*good phone skillsstarting pay $25/hrbenefits:401k plan with company matchingmedical, dental, vision coveragevacation paydisability insurancelong-term care insurancegrowth opportunities"
1,"administrative assistantessential job responsibilities:answering and routing telephone calls to appropriate peoplescheduling appointmentsmaintain paper and electronic filing systems for records and messageslimited courier responsibilitiesperform any additional duties as assigned or requestedrequired qualifications:at least two years of experience and knowledge to perform essential job functions assignedable to work in a fast-pace environment and be able to multi-taskexcellent communication skills and computer knowledge (quickbooks a plus)well organized, highly dependable, and efficientmust have problem solving skills and be detailed orientedmaintain respect at all times for confidential informationstarting pay $25/hrbenefits:401k plan with company matchingmedical, dental, vision coveragevacation paydisability insurancelong-term care insurancegrowth opportunities"
1,"administrative assistantessential job responsibilities:answering and routing telephone calls to appropriate peoplescheduling appointmentsmaintain paper and electronic filing systems for records and messageslimited courier responsibilitiesperform any additional duties as assigned or requestedrequired qualifications:at least two years of experience and knowledge to perform essential job functions assignedable to work in a fast-pace environment and be able to multi-taskexcellent communication skills and computer knowledge (quickbooks a plus)well organized, highly dependable, and efficientmust have problem solving skills and be detailed orientedmaintain respect at all times for confidential informationstarting pay $25/hrbenefits:401k plan with company matchingmedical, dental, vision coveragevacation paydisability insurancelong-term care insurancegrowth opportunities"
1,"position: big data engineer location: san francisco, ca duration: 6+ months cth skills: bi hadoop- java mapreduce- rdbms- job description: senior business intelligence engineer for advanced analytics overall theme. guide and move forward an advanced system providing sophisticated and measurable business benefits. this person will work closely with our business analysts, as well as internal business users to understand their key business drivers and data needs, and scope out scalable and suitable solutions that will help our customers with their information needed for planning, analysis, and decision-making. "
1,"qualified candidates are encouraged to apply directly to this job posting. direct email and phone calls are not being considered. thank you for your cooperation. please no recruiters. health environmental professional bakersfield, ca this position monitors, analyzes, recommends, and implements systems to improve integration of environmental compliance and business success. this position is part of the hse team, and requires a person that is team oriented, and someone who is looking to share their knowledge while seeking new opportunities within and outside of the environmental specialty. work environment: this position works in office and field environments supporting operations, drilling, production, and construction. the working conditions for this position vary and maybe hazardous and/or unpleasant at times. the individual filling this position will be exposed to weather and temperature extremes, dust, oil, and other environmental factors. responsibilities: makes recommendations and implements programs for handling environmental issues in full compliance with applicable regulations. application of iso 14000 environmental management systems. produces written documents with clearly organized thoughts using proper sentence construction, punctuation, and grammar. enter data or information into a computerized maintenance management system. work safely and communicate a commitment to work safely to others. be the environmental champion and liaison with: personnel contractors consultants regulatory agency representatives manages the environmental compliance action plan. ensures environmental records management process meets agency requirements and uses resources effectively. regularly performs process hazard analysis and participates in investigations. manages projects and timely communicates problems and achievements. meets regularly with employees and contractors. oversees and performs environmental inspections, audits, and sampling. ensures appropriate environmental training is completed. assists in completing and submitting agency submissions. assists in the review and reporting of the impact of environmental regulatory change on the business. demonstrates focus on continuous improvement and environmental sustainability systems. participates in the hes committee. "
1,colonial is looking for 5 sharp people to inform small business owners about the newest health benefits available for small business owners in illinois. if you are a great talker and dresser the rest is simple. make 30 calls a day. set appointments and make presentations to earn over $1000 a week we pay 4 times a month. its just that sim\ple and we have been doing the same system for over 100 years to bring home the bacon. training and leads provided. insurance llicense preferred but we will provide a temporary if needed at no charge. management available.
