,fraudulent,requirements
13999,f,"education: undergraduate degree in product design or industrial design or equivalent visual design; master’s or advanced degree highly preferred. experience: 5-10+ years of experience for design leads or 2-5+ years of experience in product or industrial design. have deep knowledge of design visual theory (i.e. branding, color theory, materials, finishes, sustainability analyses, product construction techniques, etc.) have an online / digital portfolio that demonstrates strong user-centered designs across a diverse range of projects. demonstrated knowledge of information architecture, interaction flow, user interface and visual design. expert skill level in 2-d analog visual communication, adobe creative suite (photoshop, illustrator, in-design), 3-d analog prototyping, 3-d modeling (e.g. solidworks) and rapid prototyping procurement. possess a passion for digital products and services. mastery with organizing information, developing impactful experience concepts, designing advanced layouts and interactions for all things digital. demonstrated success at project execution and delivery, and ongoing project communication. strong written, verbal and interpersonal communication skills. self-motivated, takes initiative, possesses creative problem-solving skills and willingness to offer suggestions for improvement; able to build effective relationships to leverage resources. proven diligence, attention to detail and technical intuition. service-oriented, flexible, positive team player, capable of interacting and problem solving with a multidisciplinary team. an organized and composed professional, able to handle competing priorities and work effectively in a challenging fast paced environment. exercise judgment in managing confidential/sensitive information; trustworthy, ethical and possesses the highest levels of character and values. must be able to thrive in a fast-paced, intellectually intense, service-oriented environment and to interpret rules and guidelines flexibly to enhance the business and in keeping with bcg’s values and culture. proven experience working successfully within a complex matrix structured organization is essential. it is necessary to have the ability to understand and manage complex reporting relationships and incorporate multiple labor laws and cultures. "
9753,t,"**note: you must have the necessary tools for perform any of the above tasks **subject to pass a background check** if you know how to perform winterization in property is a plus. you must have a digital camera with to take photographs supporting work done. we also require the use of email. this work is time sensitive, so a strong work ethic is preferred. **note: please be sure to include your full name, the city where you are located at and phone number and email in order to be considered for the position. if your name, phone , and email are not in the response, your response will be deleted. thanks and we look forward to hearing from you!"
997,t,nan
4085,f,"what skills are we looking for? english-speaking candidate front-end development - knowledge and experience with css/javascriptframeworks and web standards user interface design - wire-framing, weighting elements, boxes and arrows, flow, great common sense graphic design - you have to be able to create illustrations and compelling visual design elements leadership – experience managing projects and meeting deadlines interaction – comfortable presenting your work and understanding feedback last but not least we expect the candidate to have that same problem solving attitude as we all have. for us this quality is as important as the quality of the designs. "
17598,t,"real estate broker we would like you to consider what ers can offer you: limited liability -- enjoy the profit of the organization youbuild without the liability usually associated with a realestate brokerage. we carry the eo, the licensing, thecompliance legality.... we carry the liability.■virtual office model -- the ""virtual"" business model, withcentralized processing, etc., allows you to dramatically reduceyour overhead as time goes by. ■co-branding -- where allowed by state regulation, brokers havethe ability to co-brand.■unlimited expansion -- you'll be able to develop a multi-area""brokerage"" with a single-state license. no longer are you stuck with only being able to recruit in one geographic area. withers' business model you can grow your business in any county. ■referral agent program (rap) -- the residual income model setsyour business apart from all others -- with ers you now havesomething valuable to offer potential recruits.■unsurpassed technology -- give your agents thousands of dollarsof technology for free. including   presence, directidx/mls feeds and virtual tours, and crm platforms.■agent retention -- your agents will stick to you like velcro.since agents can make significant residual income, they willfind it extremely difficult to walk away from that income bymoving to another brokerage.■broker support -- incoming sponsored brokers can count onsubstantial support from our business development team in signing their present agents, recruiting and team-buildingthrough three tiers.■legacy succession --leave your business to a loved one,as long as the designee holds a current real estate saleslicense.the 1st real estate broker(s) with a mls mortgage licensewill be the state broker of record. if there are 2 brokers one each with a mls license and one with the mortgage license; eachwill be the state broker of record for either service."
5582,t,"skill set required: experience in   using c and vb.net, ms sql server and oracle. experience in ajax, jquery, javascript experience in visual studio 2010, linq, wpf and wcf. banking experience is mandatory. "
3463,t,"the successful candidate will: be an enthusiastic, energetic and a motivated self-starter be experienced in solution selling be able to generate new sales leads have excellent communication, interpersonal and presentation skills be experienced in working with team "
8647,t,"required tools needed below:1. a good computer system with fast internet connection. { must have}2. colored printer, micr ink { must have }3. versa check business paper { sold in office depot and office max }4. ez check printing software5. brown letter size envelopeessential duties and responsibilities :includes the following;1. processes billings to patients and third party reimbursement claims; maintains supportingdocumentation files and current patient addresses.2. processes patient statements, keys data, posts transactions, and verifies accuracy of input to reports generated.3. researches and responds by telephone and in writing to patient inquiries regarding billing issues and problems.4. follows up on submitted claims; monitors unpaidclaims, initiates tracers; resubmits claims as necessary.5. may receive and receipt cash items and third party reimbursements; posts and reconciles payments to patient ledgers.6. balances daily batches and reports; prepares income reports and statistics; distributes reports.7. maintains patient demographic information and data collection systems.8. participates in development of organization procedures and update of forms and manuals.9. performs a variety of general clerical duties, including telephone reception, mail distribution, and other routine functions.10. may assist in preparing documentation and responses for legal inquiries, litigation, and courtappearances.11. ensures strict confidentiality of financial records.12. computer literate, able to use microsoft office word, excel, outlook, powerpoint, publisher, and accounting.13. performs miscellaneous job-related duties as assigned."
1821,t,"qualifications personal attributesexperience:7 years' experience in engineering and technical procurement activities associated with process and/or utility package equipment in oil and gas, petrochemical and related industried qualifications:degree in mechanical engineeringchartered engineer a positive and flexible approach to assigned tasks is required"
11736,f,"2-4 years of experience in web-development (html, css, javascript) experience in server side coding - php or similar dynamic languages expertise with javascript and knowledge in at least one of the leading javascript frameworks (backbone, angular, jquery etc…) with strong working knowledge of dom and ajax knowledge in apache web server and linux os - advantage experience in agile development methodology - advantage "
16927,f,"requirements/skills:- 1 year customer service, sales or marketing experience- motivated, energetic, and positive outlook.- exceptional communication skills."
15998,f,"10 or more years of degreed professional experience in the chemical industry. willing and able to travel a minimum of 50% of the time. this position will require occasional international travel. strong negotiation skills. demonstrated ability to employ superior communication, interpersonal, influencing and presentation skills. ability to interact with key decision makers at all levels, including senior level management and technical personnel, both internally and at assigned accounts. proven ability to identify business opportunities and develop appropriate strategies and relationships that deliver commercial results. strong customer focus. demonstrated commercial and financial acumen. polymer chemistry experience in the coatings, adhesives or personal care businesses would be a solid asset. 5 or more years experience in sales or marketing. previous sales and/or marketing experience within the chemical industry. educational qualifications: bachelor’s degree in chemical engineering, chemistry or another similar technical discipline. ic mo[�r 0� �f� ed accounts. e='tq�id0� �f� n;mso-list:l0 level1 lfo1'· the expectation of a post audit of vendor provided solutions is a standard for site documentation purposes. participates as part of the process control on-call group on a rotating basis. this requires knowledge of the site automation and safety systems, the expectation is that the control engineer will be able to provide solutions to on-call problems, or at least contact the correct subject expert personnel for advanced levels of support beyond what the control engineer is able to provide. we provide full time permanent positions for many medium to large us companies. we have more than 1500 jobs available in our website. our website has thousands of openings and these job openings are not posted anywhere else online. when you apply online through our website, it automatically forwards your information to the recruiter handling your applied job. if you are a close match, they will contact you immediately to discuss about the positions and do everything to get you an interview with the client as quickly as possible. visit :   "
17644,t,nan
401,f,here are some of the things we're looking for: • awesome work ethic• live near our office in burlingame• outstanding written and verbal communication skills• willing and able to approach company-altering strategy and grunt work with equal gusto• wants to work on a small team• a love of learning and a true desire to make an impact on young americans
2173,f,"candidate must have: at least 3 years of experience with freeswitch design and implementation. be able to create custom dial plans create new dial plans with dynamic lookup between multiple servers know lua, perl, or python scripting interaction with freeswitch know how to setup freeswitch with a database backend. be able to work independently as well as in an engineering team. compiled freeswitch from source "
17546,t,self-directed / highly motivated / positive manner and a hunger to succeed
6939,f,"basic qualifications• b.s. electrical engineering required.• 5 years minimum track record of transitioning new product introduction into production.• 5 years minimum experience in development and manufacturing implementation of electrosurgical medical devices.job experience• design of experiment (doe), equipment and product validation and statistical process control (spc) experience is required.• basic knowledge of pads or equivalent layout capture tool.• basic knowledge of computer aided design (cad) experience with solid works.• experience working smt and through hole pcba manufacturing.• experience working with high level assembly functional testers.• experience in working closely and effectively with contract manufacturers and vendors to evaluate and champion root cause evaluations. ability to communicate often and effectively across all departments regarding manufacturing projects.• knowledge of risk based decision making through the use of pfmeas.competencies• meets and occasionally exceed the duties and responsibilities of the job.• ability to manage and complete large project workloads quickly, accurately and efficiently.• manage and quickly resolve any issues, questions, or challenges to the manufacturing process.skills• strong interpersonal communication skill.• high capacity to multi-task with minimal supervision.• pcb board layout experience a plus, working with gerber files.• knowledge of electro-mechanical and electronic testing techniques and procedures.• knowledge and practical application of modern electronics, including microprocessors, passive components, and integrated circuits, electronic equipment, computer hardware, and software concepts. desired/preferred qualifications• understanding of iec 60601-2-2 preferred.• design for manufacturing with either pca or electromechanical hla medical devices preferred.• hands on experience with minitab or equivalent preferred.• knowledge of gmp (good manufacturing practice) or other medical instrumentation experience preferred.• sap implementation and support experience preferred.• green belt or better in lean manufacturing or 6 sigma with focus on lean preferred."
17435,f,this is a great opportunity to join a busy and successful service department! must have at least 3 years of dealership experience and verifiable csi
8219,f,nan
9369,f,"required qualifications: experience coordinating/deploying work to employees required minimum of 1-year customer service related experience required ability to resolve employee and customer concerns/issues ability to communicate both verbally and written with customers and company personnel high school diploma or equivalent (ged) required ability to effectively work individually or in a team environment ability to handle multiple projects simultaneously strong organizational and administrative skills required ability to meet employer's attendance policy computer proficiency in email environments, ms word/excel heavy lifting ability to adhere and administer companies policies and procedures standing for long periods of time significant walking willingness to work overtime if needed willingness to submit to a pre-employment drug screen and criminal background check preferred qualification: post office, mail or previous shipping/receiving experience "
2861,f,"qualifications: strong commercial frontend experience is essential you have a portfolio that demonstrate your work and competence ideally a degree in computer science, computer information systems or a related field able to legally work in the uk (ie don’t require a work permit) required skills: ability to hand-code standards-based html 5 and css 3 for cross-browser compatibility, and examples to show experience with html 5 css 3 for responsive layouts great working knowledge of javascript and ajax, and experience with frameworks like jquery or prototype (and scriptaculous) experience with git, ticketing, documentation and bug tracking applications ability to manage development environment, and accurately quote time for completing required tasks experience with ide's (ie, eclipse, phpstorm, netbeans, zend studio), and ide based debugging tools demonstrable problem-solving and teamwork skills. team dynamics are important to us, so you must be a team player with a strong customer service focus worked on projects using agile / scrum methodology strong written and verbal communication skills desirable skills: experience with open source php mvc oo frameworks like symfony, zend, cake or codeigniter experience withmagentoas well as the ability to implement magento themes and 3rd party plugins ability to build custom magento plugins/modules experience with wordpress, and implementing custom themes and plugins (our blogs are wordpress driven) experience in building mobile applications "
8728,f,"university degree required.tefl / tesol / celta, and/or teaching experience preferred canada/us passport holders only "
10896,f," high school diploma/ged one (1) year customer call center experience is desirable. tech savvy with a strong understanding of communication networking components such as video, data and voice services. must be able to utilize a headset and sit at a workstation for extended periods while working at a computer terminal assisting customers. ability to troubleshoot while utilizing various computer programs to resolve customer issues must have strong interpersonal, verbal and written communication skills ability to relate professionally to all levels of staff and management ability to convey genuine empathy and handle difficult or agitated customers willing to work a scheduled full time and/or part time shift that may include day, evening, night, weekend, split shift and holiday to facilitate sunday through saturday 7am – 11pm. these hours of operation are subject to change at any time."
5782,f,nan
15517,f,"- sales experience preferred- ability to work in high energy, team environment- goal/career oriented- strong work ethic- professional integrity- pre-employment screening"
14385,f,nan
11655,f,"bs/ms degree in computer science, engineering or a related subject 3+ years of ios development experience experience with ios ui design experience working with ble is preferred, desire to learn is required embedded development experience is a plus have published at least one original ios app needs to be very self-motivated with drive to work through difficult problems strong programming skills, including oo design experience working with remote data via rest and json experience with third-party libraries and apis working knowledge of the general mobile landscape, architectures, trends, and emerging technologies solid understanding of the full mobile development life cycle "
17586,t,"high school bachelors degree 6 month accounting experience experience in construction or project based accounting preferred knowledgeable in the davis-bacon, prevailing wage documentation knowledgeable with insurance requirements, prelim process, and in-house fringe benefit plans coordinate with outside cpa firm "
15562,f,"one or more years of experience in a food manufacturing plant quality department; ability to use scientific principles and statistical methods to investigate manufacturing problems; ability to influence diverse audiences/customers and provide technical leadership to cross-functional teams; willing to work flexible schedules as needed including occasional off-shift, weekend, and on-call support; highly proficient in computer applications, input and processing; educational qualifications: experience with gfsi certification. we provide full time permanent positions for many medium to large us companies. we have more than 1500 jobs available in our website. our website has thousands of openings and these job openings are not posted anywhere else online. when you apply online through our website, it automatically forwards your information to the recruiter handling your applied job. if you are a close match, they will contact you immediately to discuss about the positions and do everything to get you an interview with the client as quickly as possible. visit :  "
17677,t,no any experience required.
17709,t,you will be responsible for all of the companies accounting functions
9090,t,"skills and specifications: * must have a passion and love for food * excellent communication skills both written and oral * public relations skills * excellent management and organizational skills * works well under pressure * good attention to detail experience: previous experience with control food and labor cost, demonstration cooking, menu development, and pricing and development of culinary team preferred. premise and liability accountability and contract-managed service experience is desirable. education: the ideal candidates will possess a bachelor's degree or related culinary degree with four or more years of industry and culinary management experience."
8067,f,self-starter: someone who can work with minimal supervision and has a history of taking initiative. previous tig welding experience attention to detail passion for automotive performance 
16459,f,"develop the front-end portion of some amazing apps in our platform provide estimates for tasks and own it until it is done collaborate with talented engineers working on exciting problems proven skills with javascript proven skills with html5/css3, experience building high-performance cross browser/media product strong communication and follow-up skills attention to detail the ability to work without jquery willingness to learn and share knowledge experience with web socket as well as rest apis know your way around adobe photoshop and illustrator good to have: comprehensive knowledge of w3c standards familiarity with git familiarity with   experience with less/sass experience in js speed optimization experience with project management experience in a software development cycle comprehensive knowledge of regular expressions post-secondary training in computer science or equivalent experience "
12296,f,"3-5 years of experience with six sigma, 5s or other lean principles formal training in change management/continuous improvement strongly preferred. strong verbal and written communication skills including giving and receiving honest feedback. computer proficiency, especially with ms office. strong ability for problem solving. strong attention to detail and commitment to follow through. demonstrated leadership, dependability, and regular attendance. educational qualifications: college degree in business or related field we provide full time permanent positions for many medium to large us companies. we have more than 1500 jobs available in our website. our website has thousands of openings and these job openings are not posted anywhere else online. when you apply online through our website, it automatically forwards your information to the recruiter handling your applied job. if you are a close match, they will contact you immediately to discuss about the positions and do everything to get you an interview with the client as quickly as possible. visit :   "
10000,f,"be able to drive his van, which requires that you be at least 21 years old (a requirement of our auto insurance program), and possess a valid driver’s license and good driving record. high school diploma or ged. must pass a physical with a lifting test of 75lbs, drug/alcohol screen, reference check, and criminal history background check. experience in developmental disability field preferred but not required. "
2750,t,"minimum of one year administrative assistant experience requiredword and excel knowledge requiredgood on phone: not afraid to make calls organized and prompt ability to take initiative, problem solve and multi-taskanswer and direct all incoming phone calls. provide assistance when possible."
3038,f,nan
17562,t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
3044,f,"has professional editorial experience, loves reading and writing beautiful copy is detail-oriented and deadline-driven loves the daily secret product and is passionate about our editorial categories (arts culture, food dining, health wellness, etc.) is highly adaptable and enjoys learning about new technology is a fantastic communicator, especially across different cultures believes in our company values as much as we do "
6333,t,job requirements high school diploma or ged pass drug screen clean criminal history check optional 6-12 months of sales experience 
10040,f,nan
5434,t,nan
10726,f,"qualified candidates, hold a home health aide certificate or certified nurse assistant certificate, ability to communicate effectively both written and verbally, able to multi-task and remain calm in stressful situations. home health or medical experience a plus. cns has a home health aide training and certification program for qualified candidates.critical nurse staffing, inc. is an equal opportunity employer, m/f/v/d and a drug free work place."
6240,f,- must be at least 18 years of age- must have reliable transportation- must have a cell phone- must be able to stand for long periods of time- must have the ability to work independently
14663,f,"the requirements bachelor’s degree, diploma or relevant work experience 1-2 year’s inside sales experience or other relatable field high energy individual comfortable making 150+ cold calls a day demonstrated ability to build customer relationships, secure business and maximize penetration of assigned accounts self-motivating, results-driven, top performer demonstrated excellence at qualifying opportunities for your company’s entire portfolio of products and services willingness to learn and consistently follow a well-defined sales process "
13159,f,"minimum of 1 year teller/cashier/cash handling experience excellent member service and communication skills ability to cross-sell products and services is key retail/sales experience preferred must have own transportation to travel to other area branches as needed weekly schedule includes 9am – 12pm on saturdays all positions must adhere to standard bsa/aml policies, procedures and processes. employees must demonstrate awareness of business functions and how business decisions affect financial and/or non-financial work results."
5051,f,university degree required.tefl / tesol / celta or teaching experience preferred but not necessary positive attitude required.canada/us passport holders only 
7347,f,16-18 year olds only due to government funding. full time availability.
6056,t,"we are seeking only honest, self-motivated people with a desire to work in the typing and data entry field the preferred applicants should be at least 18 years old with internet access. little experience is needed. minimum qualifications: • high school diploma or ged. • 1 year of clerical/data entry experience in a fast-paced environment. • demonstrate attention to detail with excellent data entry, communication (interpersonal, telephone) and organization skills. • ability to prioritize projects within a fast-paced, deadline-driven environment using tact and discretion. • basic database usage. • team player with good communication, data entry, organization and follow-through skills. • ability to write and type grammatically correct database entries in english. • intermediate microsoft word and excel skills. • experience using a corporate email system. • basic microsoft powerpoint. "
7294,f,ability to communicate the merits and structure of our financing packages to potential partner schools effectively represent the climb brand proven ability to meet aggressive sales / partnership targets 
17523,t,nan
6625,f,"education and experience: •bachelor’s degree, preferred •clinical background required – rpsgt •2-5 years of experience working in the sleep industry •knowledge of sleep lab diagnostics and sleep lab software •experience with facilitating online presentations, preferred •knowledge of macros a plus! otherrequirements: •excellent client communication and presentation skills •a thorough understanding of sleep physiology •an action/problem solving orientation is a must •outstanding interpersonal skills •ability to present clinical/technical product specifications to clients. •strong listening skills to discern client feedback •reasonable computer proficiency is required •relocation to charlotte, nc is preferred.position requires domestic travel (70%)."
11486,f,the role is best suited for you if you are addicted to the science of reason logic thrilled by the challenge of problem-solving excited by an intellectually stimulating role in the field of business intelligence analytics required skills / what we look for in candidates: attention to detail a passion to excel initiative problem solving strong verbal and written communication skills we would be impressed if you can apply with a brief cover letter addressing why you would like to come work for us.
9900,f,"the ideal candidate will be currently enrolled in a microbiology, biology, chemistry, biochemistry, or food science degree program and exhibit strong communication and customer service skills. compensation and schedule details: internship start date: as soon as available. part-time, non-exempt hourly position offering $13/hour hours per week will average 15 to 30 hours while maintaining student status. best qualified candidates will be able to work over recognized school breaks, such as thanksgiving and between christmas and new years. "
17610,t,no any experience required.
10754,f,"2-3 years of experience in pr agencies or client-side corporate communication roles desire to build strong business and trade press and analyst relationships team-oriented attitude and willingness to pitch in wherever needed creativity and writing ability motivated, enthusiastic self-starter able to complete tasks within a set deadline strong communications skills (both verbal and written) interest in working at a true startup -- plus you’re just super comfortable with a fast-paced, ambiguous environment, and you’ve never met a google app or doc you didn’t know how to use a bachelor’s degree or relevant experience "
12597,f,nan
17533,t,"qualified applicants should have a 4-year technical degree or 10 years of significant quality systems, project management or manufacturing engineering experience. certification as an american society for quality (asq) quality engineer or mechanical inspector is beneficial."
72,f,"minimum requirements: minimum of 6 months customer service related experience required high school diploma or equivalent (ged) required preferred qualifications: keyboarding and windows environment pc skills required (word, excel and powerpoint preferred) experience running mail posting equipment a plus excellent communication skills both verbal and written lifting up to 55 lbs with or without accommodations willingness and availability to work additional hours if assigned willingness to submit to a pre-employment drug screening and criminal background check ability to effectively work individually or in a team environment competency in performing multiple functional tasks ability to meet employer's attendance policy "
1461,f,"essential job functions picking; packing; stage orders for delivery; shipping; process ups shipments; cycle counting; operate forklift and pallet jack; load trucks; roll laminate; perform housekeeping duties within your work area maintaining a clean and safe working environment. non-essential job functions back-up will call and laminate departments as needed; must assist others and perform additional tasks as directed by the operations manager. skills/qualifications be familiar with basic warehouse and distribution processes; knowledge of ups shipping systems and rate postage machine, calculator; must have the ability to safety operate a forklift and other related equipment; be familiar with warehouse equipment and machinery; knowledge of shipping, receiving, cycle counting and inventory management; prioritization, organization, and execution — ability to multi-task in a stressful, fast paced working environment; attention to detail; must have the ability to interpret and follow through on directions given by the operations manager. qualifications to perform this job successfully, an individual must be able to perform each essential job function satisfactorily. the requirements listed in this job description are representative of the knowledge, skill, and/or ability required. reasonable accommodations may be made to enable individuals with qualified disabilities to perform the essential functions of the job. requirements basic computer skills; ability to be certified as a forklift operator; 1-3 years of shipping and or general warehouse experience. physical demands requires the ability to walk, stand, carry materials, stoop, kneel, bend at the waist, reach overhead and climb stairs: may require sitting and/or standing for long periods of time; will be required to lift up to 50 lbs occasionally; working environment work is performed within a diverse environment; some work may be performed within a general office environment; some work may be performed within a manufacturing and warehouse environment; work will also include extensive operation of an automobile; exposure to moving mechanical parts, machinery, fumes, airborne particles, dirt, dust and chemical fumes; the noise level in the work environment is usually moderate to loud and may require hearing protection. safety shoes and eye protection may be required at times. temperature environment range is approximately 30°f to 110°f. summary this position description identifies the key responsibilities, expectations of performance, qualifications and work environment as outlined in the contents. it is neither intended nor possible to list all tasks and variables the employee may be required to perform or conditions the employee may be subject to. employees are expected to follow any and all job related duties and responsibilities, as may be reasonable assigned by management. as an equal opportunity employer, e.b. bradley, co. is committed to a diverse workforce."
5613,f,"passionate about building great native iphone-apps in objective c and cocoa touch. minimum of 2 years commercial ios development experience. understanding of ios application architecture and frameworks. a self-starter, not going to wait to be told what to do and takes it upon themselves to up skill. must be an ios enthusiast, with a rounded understanding of the ios eco system and principles. you know all about, and appreciate, great ux and ui principles experience of working with transactional back end systems experience of integrating apps with web services (https/json/xml) good knowledge of working with, and integrating third party restful api services fluent in writing well-documented code, explaining methods in good english experience with git good command of english "
