,fraudulent,company_profile
2364,f,"intercom ( ) is a simple, personal messaging service for businesses and their customers. it provides a single, integrated platform for the whole company to use for support, marketing, product, sales communication and more. we’re on a mission to make web and mobile business personal. we believe that the future of customer communication requires not increasingly complex, impersonal point solutions, but rather a simple, seamless platform that applies innovations found in consumer services like facebook and whatsapp. founded in late 2011, intercom has raised over $30 million in venture capital and is backed by leading investors, the social+capital partnership and bessemer venture partners. intercom has been adopted by thousands of businesses, including heroku, hootsuite, rackspace, yahoo! and perfect audience. our customers love the product:  we like big thinkers with small egos who believe in our goal to build a uniquely impactful, long-lasting tech company. our vision is to fundamentally change forever how internet businesses and their customers communicate."
8702,t,nan
17792,t,"awarded byexpatriate lifestyle magazinewith2013 best business hotel excellence award, le meridien kuala lumpur is the ultimate place for indulgence whenever one visits malaysia. strategically located in kuala lumpur sentral (kl sentral), the business and transportation hub adjacent to kuala lumpur city centre, the hotel is easily accessible through integrated rail connections. this 35-storey hotel is only 28 minutes ride from the kuala lumpur international airport (klia) and 33 minutes from klia2 via klia express rail link. with the integrated mall nu sentral in kl sentral, guests will have the opportunity to explore retail threrapy before commuting to the airport."
3980,f,"formed in 2006, saulpartnersis an executive search consulting firm specialising in talent management for permanent staff and interim consultants. weprovide search services for vertical niche markets of risk management within banking, asset management, fs and online digital mediaindustries. we search for executives from business through to sales, business development, risk (oprisk/market/credit), treasury,alm, balance sheet management, operations and compliance. our consultants draw on theexpertise of saulpartnersto ensure we achieve the best job matches in the market."
14112,f,"as a growing and successful startup, conversocial is a great place to work for ambitious individuals. we build a market leading social customer service solution, and we need even more great people to help us push that position even further. you’ll get the opportunity to work in an exciting new market, where we’re helping companies to understand the solution to their problems and are changing the way they interact with consumers. we have a trusting, hands-off management style, which is suited for people that are self-motivated. our employees have the opportunity for independence and responsibility over their own projects, but we provide all the support and training they need to get there and to develop their careers. at conversocial we like to balance work and play. we eat lunch together everyday (a company perk) and all enjoy a friday treat of cake and few drinks. our close-knit team is very sociable, which makes the conversocial office a relaxed, fun and supportive working environment. "
9227,f,"why csd? csd is not only a great place to work, but also to learn, grow and give back to the community. our organization is made up of talented, motivated people from diverse cultural, educational and professional backgrounds. we believe in teamwork, shared ideas, and creating solutions together while respecting individuality and innovation. we seek out people who want to see their ideas put into action, are committed to making a difference and who believe that more is possible! who we are here, you will discover colleagues who have passion for our company, our community, customers and each other, and that are led by a team of outstanding people who believe that more is possible from each and every one of us."
5600,t,nan
7241,f,"fiction is a strategy and design firm based in portland, oregon. we work with fortune 500 companies and global brands. our mission is to deliver campaigns that represent smart thinking, are beautiful to behold, and anticipate what’s next for our clients and their consumers. more about us:our blog/linkedin/facebook"
6660,f,nan
494,f,"we provide full time permanent positions for many medium to large us companies. we are interested in finding/recruiting high quality candidates in it, engineering, manufacturing and other highly technical and non-technical jobs."
4753,f,nan
9831,t,"macpherson oil and refined resources have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model. our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture! please keep all communications directed towards the human resources department within refined resources ( ) email_0b13a2cfd4718ce252c09b2353d692a73bd32552e922c5db6cad5fb7e9a2c6c3 darren lawson | vp of recruiting | refined resources |email_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c| phone_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1"
12438,f,"consumertrack is a technology-centric internet marketing company built on a culture of excellence. we are the preferred digital advertiser for premium financial brands such as american express, discover, allstate and equifax. through our 1600+ websites, we set the vision and the strategy for our clients to reach and connect with their target audience. at consumertrack, we pride ourselves in having a team that exudes leadership, high initiative, creativity, and passion. by joining our team, you will have the opportunity to maximize your job performance and satisfaction with a company that is constantly growing. we are committed to recruit, retain, and promote employees with a diversity of backgrounds and life experiences. we believe such diversity fosters growth and innovation, ensuring we remain an industry leader. we’re currently looking for energetic, driven and entrepreneurial trendsetters for all areas of the   you’re looking to advance your career and become a part of our team, we invite you to apply for our open positions."
13999,f,"the boston consulting group ( ) has launched a new digital business, bcg digital ventures ( ) - a digital innovation, product development, and commercialization firm. this first-of-its-kind firm will bring unique capabilities to create and grow disruptive digital products and platforms. bcg digital ventures goes beyond providing consulting, design, and technology services to form strategic venture teams with its clients in order to rapidly develop, launch and grow transformational digital products, platforms and businesses. the boston consulting group (bcg) is a global management consulting firm and the world's leading advisor on business strategy. bcg partners with clients from the private, public and not-for-profit sectors in all regions to identify their highest-value opportunities, address their most critical challenges, and transform their enterprises. bcg was founded in 1963 and is a privately owned firm with more than 7,000 employees across 81 offices in 45 countries. integrity, respect for the individual, delivering value, and making an impact on society are just some of bcg's core values. bcg's commitment to both their clients' success and their own standards is what sets bcg apart as a world-class professional services organization."
9753,t,nan
997,t,le meridien is situated in the heart of kuala lumpur's tourist centre. we provide and exciting and entertaining experience for people who are looking for a fresh and exotic challenge. our restaurants offer one of the best cuisine made by wonderful and passion filled individuals. come and experience true luxury with us and be changed forever.
4085,f,nan
17598,t,"elite realty services was formed in 2004 by its founder, robert do, who originally owned and operated several coldwell banker offices. realizing the franchise had some limitations in their services to the public and to its agents, he decided to form elite realty services. his vision for the new company was to offer more to meet the needs of the public and meeting those needs, he knew the agents needed the support, training, and tools to provide the services necessary to meet the ever-changing, emerging real estate market. elite realty services core values: excellence in service to our clients. loyalty to those we serve. integrity in our business practice. trust relationship with utmost good faith. efficiency in the performance of our duties. the future of the real estate profession will depend on the visionary abilities of men and women who choose to operate and lead their companies into the future. the ability to think creatively, have far-sighted vision, to recognize changes, and have innovative, dynamic leadership skills. elite realty services was founded upon these principles. we recognize that our profession is ever-changing with new technologies, new laws, new public behavior and changing economic trends. elite realty services will set the trend into the future of real estate with innovative leadership, envisioning future trends and changes, offering unparalleled training and service with excellence."
5582,t,nan
3463,t,nan
8647,t,"at dyncorp international it is our commitment to conduct business honestly, ethically and in accordance with worldwide best practices. dyncorp international team members all over the world are focusing on continuous improvement, introducing the lean six sigma process to di’s programs in aviation, logistics, operations and maintenance, and training."
1821,t,"aker solutions is a global provider of products, systems and services to the oil and gas industry. our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. we employ approximately 28,000 people in about 30 countries. go to   for more information on our business, people and values."
11736,f,"netotiate©is on track to forever change the way companies promote and grow their sales online headed by a group of seasoned executives with a global background in ecommerce, digital marketing, technology and consumer psychology. netotiate's proactive approach serves as a single gateway to all online promotions and consumer engagement strategies, focused on creating a better shopping experience for online shoppers, while increasing sales with protected margins for companies selling online."
16927,f,"lei home enhancements, is an ohio based company that has been installing windows, siding, doors and decks in homes throughout the tri-state, dayton, indianapolis and columbus for over seven years. with pride in our work, honesty and integrity in our professionalism and a companywide dedication to customer satisfaction, we offer a wide range of remodeling services to homeowners. whether your project is large or small, we understand the trust and confidence each customer places in our skilled hands. that's why we use only superior quality products and exceptional craftsmanship to achieve long-lasting beauty, performance and value for your home. we take every measure to carefully ensure our craftsman are properly trained in all phases of home improvement. likewise, our sales staff and customer service representatives draw upon their years of experience for quality installations. from day one, we will welcome any questions and concerns you may have during the renovation process. it is our goal to provide you with beautiful and practical home improvements that will stand the test of time, along with the peace of mind that you have made an excellent selection for your home."
15998,f,"we provide full time permanent positions for many medium to large us companies. we are interested in finding/recruiting high quality candidates in it, engineering, manufacturing and other highly technical and non-technical jobs."
17644,t,nan
401,f,"pathsource is building the first integrated mobile career discovery engine and mobile job board. we take young americans from ""i don't have a clue what i want to do"" to ""i have a job"" and put it in the palm of their hand. the team is combining hr tools with a mobile suite of career exploration tools that have been proven to have outstanding efficacy data and a net promoter score of over 90. we're venture backed and hiring. we are the only solution that enables young adults to avoid misguided education and career decisions at every inflection point in their late teens and early twenties. after proving the efficacy of its saas solution with some of the nation's largest school districts, including san francisco and chicago's public schools, pathsource is expanding into b2c with a mobile app for young adults 18 and over. you can learn more about us in this techcrunch article:  "
2173,f,"roka security is a boutique security firm that specializes in full-scale network protection and defending against advanced, targeted attacks. our staff members have background in governmental and intelligence fields as well as large-scale data center and network deployments. we leverage our in-depth experience to aid our customers in protecting their data, and their intellectual property, andtheir customer's data, we help our clients with the full breadth of services whether it's consulting on general security issues or performing security assessments or assisting them with their latest network design or datacenter build-out. we also provide the full breadth of managed services including managed security perimeters, managed infrastructure / private cloud, or 24x7 security monitoring in our state-of-the-art security operations center."
17546,t,nan
6939,f,the team attop source talentis known within the technical industry for delivering excellent service with qualified resource placements to meet our client’s needs in this ever changing employment market. with our industry expertise and network coupled with our passion for service we look forward to exceeding your recruitment expectations.
17435,f,"we are a family run business that has been in operation for nearly 40 years. we value long term relationships and want to have team members that can be treated like family. we are strong believers in a deal is a deal and we don't change pay plans after you crush it! we want our teammates to enjoy mutual success. we put the dealership first in everything we do. that means above the ownership or the associates. the needs of the team are number one! we are located in wilmington ma -- 15 miles from downtown boston. it's a great town with great people we have a primary market area of about 255,000 people. this means plenty of people to help with their transportation needs."
8219,f,"roka security is a boutique security firm that specializes in full-scale network protection and defending against advanced, targeted attacks. our staff members have background in governmental and intelligence fields as well as large-scale data center and network deployments. we leverage our in-depth experience to aid our customers in protecting their data, and their intellectual property, andtheir customer's data, we help our clients with the full breadth of services whether it's consulting on general security issues or performing security assessments or assisting them with their latest network design or datacenter build-out. we also provide the full breadth of managed services including managed security perimeters, managed infrastructure / private cloud, or 24x7 security monitoring in our state-of-the-art security operations center."
9369,f,"novitex enterprise solutions, formerly pitney bowes management services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. for almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. as a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth."
2861,f,"wedo is a collection of niched e-commerce stores which aim to be the first destination for online shoppers buying in the various niches that we operate in. due to our continued commitment to the best, we are now looking for more people to join our lively team at a very exciting time. as we continue to grow we're looking for incredibly passionate people who want to be part of something amazing. we’re looking for outgoing, positive and driven individuals who want to make a difference where they work. we can teach you a lot of what you need to know about the job. what we can’t teach you is aptitude and attitude, two of the most important aspects to succeeding at wedo. if you’d like to work in an environment that feels friendly and welcoming, professional, highly interactive and ready to hear your ideas, then read on."
8728,f,we help teachers get safe secure jobs abroad :)
10896,f,"delivering superior customer services for over 10 years, ibex global is a business process outsourcer offering an integrated suite of services that supports an expansive array of customer facing solutions. headquartered in washington, dc. ibex global delivers onshore, near shore and offshore solutions in 5 countries, across 18 call centers employing over 9000+ customer service professionals. the recipient of several client and community awards such as the goodwill industries employer of the year, ibex global is one of the most forward thinking companies in the bpo industry."
5782,f,"niacet is a leading producer of organic salts, including propionates and acetates, serving the food, pharmaceutical and technical industries. with two longstanding and fully automated manufacturing sites, located in niagara falls, ny usa, and tiel, the netherlands, niacet offers world-class quality products to a global market. our products fill vital needs in a broad range of applications that are essential to everyday life including food preservation, antibiotic formulation, dialysis treatment, energy production, and more. at niacet all employees share in the growth and prosperity of the corporation. we want our employees to take pride in their personal and corporate accomplishments. safe working conditions are achieved through continuous education of our employees and improved facilities. we aim to provide job and financial security for all employees."
15517,f,"argenta field solutions values the client, creates income streams for them through our sales mechanism and focuses on quality numbers rather than numbers alone. while this is paramount to our foundation, the foundation itself is our people. environment, training and compensation are the tripod that support our workforce. the same way we believe in quality of sales, we believe even more in quality of our people's environment, training and compensation. to setup an interview, call our recruiting department monday-friday from 9am-5pm @ (361) 400-2907"
14385,f,"established on the principles that full time education is not for everyone spectrum learning is made up of a team of passionate consultants with the drive for putting people who wish to grow themselves through education whilst working into long term and relevant job roles. we also are official re-sellers for the institute of recruiters/ study course professional courses in hr practice, in-house recruitment and agency recruitment it is our mission to help anyone wishing to pursue an apprenticeship onto the right qualification and into the right job. we work closely with both the candidate and the employer to ensure when the learner is enrolled they are at the start of a long and successful career. we have great relationships with a number of national training providers to ensure we can cover any apprenticeship available."
11655,f,"tile is one of the most successful crowd-funded campaigns in history and is building the world’s largest lost and found. tile uses a ""sharing economy"" model to help people simplify their lives and save time by being able to know the location of their most valuable things at any time. currently available in 32 countries, tile continues to bring best-in-class performance in lost and found technology to its growing community of users. tile is based in san mateo, california, andwe’re looking for more superstars to join our fast growing and venture backed team. you can learn more at  ."
17586,t,nan
15562,f,"we provide full time permanent positions for many medium to large us companies. we are interested in finding/recruiting high quality candidates in it, engineering, manufacturing and other highly technical and non-technical jobs."
17677,t,nan
17709,t,nan
9090,t,le meridien is situated in the heart of kuala lumpur's tourist centre. we provide and exciting and entertaining experience for people who are looking for a fresh and exotic challenge. our restaurants offer one of the best cuisine made by wonderful and passion filled individuals. come and experience true luxury with us and be changed forever.
8067,f,"modern automotive performance is a growth oriented ecommerce and manufacturing company based out of cottage grove, minnesota. if automotive performance is your passion please check out our available positions and submit your application today!"
16459,f,"2.5 years ago when we started on the development of witkit, we had a mission: allowing businesses to capitalize on collaboration, making people more efficient and productive. the plan was always to create the most comprehensive social collaboration toolkit that expands our capacity for problem solving beyond today’s limits. it’s important that everyone who is thinking of joining our team understands what our mission means to us. what inspire us at witkit are the effects of collaborations between people and businesses all around us. there is a back-story to every great invention throughout history, which tell us that there were many bright minds working towards a similar mission to make the invention a reality. witkit aims to promote the fact that every great idea should be refined and developed through effective teamwork. to do this, witkit offers a platform with the most comprehensive social collaboration toolkit, which increases the capacity for problem solving. we are not inventing collaboration, we just make it work. even if our goal sounds big, it starts small: with the collaboration of two people towards a single mission."
12296,f,"we provide full time permanent positions for many medium to large us companies. we are interested in finding/recruiting high quality candidates in it, engineering, manufacturing and other highly technical and non-technical jobs."
10000,f,"united cerebral palsy of oregon sw washington (ucp) supports adults with all kinds of developmental disabilities (not just cerebral palsy), so that they can live the life of their dreams. we're growing, so you will see lots of exciting job openings in the next few months! why work for ucp? as an employee of ucp, you'll be proud of the work you do, every day! our employees assist the people we support to live independently in their own homes and apartments, find and keep their dream jobs, make community connections, serve as their own advocates, and make their own choices. you'll get the chance to work for one of the 100 best non-profit employers in oregon. we'refun and flexible, and there's plenty of room for advancement and growth. "
2750,t,"azco inc. is an employee-owned, full service industrial constructor and pipe and metal fabricator, capable of self-performing a wide range of general construction and mechanical   in menasha, wi, azco performs its work throughout the united states serving the power generation, refinery and petrochemical, food and beverage, general manufacturing and pulp and paper   inc. started business in 1949 with four individuals who identified a need for quality mechanical contractors in the fox valley initially serving the pulp and paper industry the region is known  , azco inc. employs over one hundred individuals in the fox valley, working with over 500 union craftsmen nationwide. azco inc. provides heavy industrial construction and fabrication services to the national marketplace with projects most recently completed in new york,new hampshire, wisconsin, minnesota, the dakotas, missouri, coloradoand california."
3038,f,nan
17562,t,nan
3044,f,"daily secret is one of the fastest growing digital media brand for premium audiences around the world, serving 1.8 million subscribers every day. covering over 35 markets, its signature daily email newsletters reveal coveted bars, restaurants, shops and all around local ‘secrets’ while integrating brands around passion points. headquartered in new york, ny and athens, greece, daily secret is backed by leading media investors, such as greycroft partners, eventures, ronald lauder, dick parsons, and andy russell. to learn more about us visit  "
6333,t,"making mobile device management clearis clearmark technologies mission. our team is made up of bright people who thrive on using technology to make a difference. we're friendly, ethical, and check our egos at the door. most importantly, we want to grow together through support and mentorship. we offer a competitive salary package, benefits, paid time off, and a technology allowance."
10040,f,nan
5434,t,nan
10726,f,"critical nurse staffing, inc. is enrolled with theu.s department of laborto provide nursing care to the former defense workers now receiving benefits through therecaandeeoicpprograms. we are proud to provide services to defense industry workers covered under the federal eeoicp and reca programs, as well as recipients of the federal black lung benefits program. we proudly provide care for the following patient groups: uranium miners, millers and transporters nuclear weapons plant employees or contractors former coal miners our service offers an integrated team of personal case managers, nurses, respiratory therapists and home aides. our services focus on addressing the full range of a clients needs, including a client’s medical condition, the client’s comfort, emotional well-being, independence, functionality as well as nutritional and psychosocial needs."
6240,f,nan
14663,f,"hrdownloads was founded in 2008, and since that time has evolved to become the leader in delivering strategic human resources solutions across canada. we have been recognized over multiple years for both our business achievements and workplace culture, receiving canada’s best workplace award, profit’s hot 50 and the thrive award. "
13159,f,"outstanding member service starts with outstanding people if you are committed to the concept of “above and beyond” and enjoy interacting with people either in person or on the telephone, then we want to talk to you. our people are our most valuable asset. we recognize their value – the hard work and dedication they give – and reward it through a highly competitive salary structure and benefits program which includes: medical, dental and vision insurance 401kretirement savings planwith a match up to 6% by the credit union flexiblespendingaccounts life insurance paid by the credit union generous paid time off gym membership reimbursement program. "
5051,f,we help teachers get safe secure jobs abroad :)
7347,f,"established on the principles that full time education is not for everyone spectrum learning is made up of a team of passionate consultants with the drive for putting people who wish to grow themselves through education whilst working into long term and relevant job roles. we also are official re-sellers for the institute of recruiters/ study course professional courses in hr practice, in-house recruitment and agency recruitment it is our mission to help anyone wishing to pursue an apprenticeship onto the right qualification and into the right job. we work closely with both the candidate and the employer to ensure when the learner is enrolled they are at the start of a long and successful career. we have great relationships with a number of national training providers to ensure we can cover any apprenticeship available."
6056,t,nan
7294,f,"climb credit is a student lending company that partners with schools that have proven to give their graduates greater possibilities and higher earning potentials than when they entered. climb credit strives to make education more affordable for students, allowing them to get the education they need while also helping them reduce their future debt."
17523,t,nan
6625,f,"somnoware is a software platform to manage sleep wellness for healthcare providers and their customers. it provides a single integrated platform for any stakeholder to use for screening, diagnosing, treating and tracking sleep health issues. we are on a mission to simplify sleep. research studies conclude that better sleep is key to better health. we believe the future of sleep wellness requires not increasingly complex and fragmented solutions but in a rather seamless platform that applies innovations found in the latest consumer technologies like itunes and facebook. founded in late 2011, somnoware is a young fast growing company based in charlotte, nc with offices in trivandrum and chennai, india. we like big thinkers with small egos who believe in our goal to revolutionize the path to better sleep health. our vision is to fundamentally change how individuals measure, track and treat sleep."
11486,f,"visual bi is one of the leading and fastest growing firms focusing exclusively on bi analytics. our offerings cover end-to-end bi services, industry and domain-specific solutions, custom visualization controls (sap dashboards and sap design studio) and cloud-based analytics.headquartered in plano, texas, visual bi has won recognition from customers for driving high-touch engagements driven by our team of platinum-level experts, an agile delivery model and innovative solutions.highlights:* ranked by cioreview as one of the top 100 big data companies in the us* dedicated visual bi labs facility in san antonio, tx, to support rd and innovations* partnerships with established vendors such as sap, tibco spotfire, tableau and mongodb* a culture that encourages to look forward and think ahead mission:our goal is to become one of the leading firms worldwide in terms of brand recall excellence in the field of business intelligence analytics by driving bi adoption with our innovative analytical solutions and applications."
9900,f,"red star yeast company llc (rsyc), a leader in the yeast manufacturing industry, isa joint venture between lesaffre yeast corporation and adm. red star yeast is proud to operate a state of the art facility that opened its doors in 2005 in cedar rapids, ia as the largest fresh yeast manufacturing facility in north america. the lesaffre yeast corporation has been providing quality yeast products since 1853 and is the world leader in yeast and yeast extracts with a presence in more than 40 countries worldwide. red star yeast company llc’s success comes from strong values, passion for excellence in our yeast business, and partnership with its employees and customers. dedication - is the main ingredient of our past and future successes. professional - is who we are. responsible - to our customers, fellow employees, families and communities. pride - is what we feel about our products, know-how and technology. respect - is what keeps us focused and united. "
17610,t,nan
10754,f,"servicetitan is the world's leading crm software for home services businesses. it powers the world's best service companies, including mr. rooter®, george brazil®, and mr. electric®. servicetitan helps them streamline operations, deliver amazing customer service, and significantly improve sales. born out of stanford university and the university of southern california, servicetitan is home to some of the brightest entrepreneurs in southern california and is one of the most successful software start-ups in los angeles. at servicetitan, you will solve real problems for real customers and help businesses become extraordinary service companies. this is a unique opportunity to be a part of a start-up with a proven product, brand-name customers, and significant revenue... yet young enough to offer incredible growth, leadership, and equity opportunities."
12597,f,"we’ve built revolutionary technology that is changing the way people get around cities. using via, a luxury ride booked on your phone costs little more than the bus. via is on-demand transportation on a mass scale; it’s smart transit that’s friendly to our planet. currently live in nyc, we’re backed by some of the world’s top investors and aggressively expanding. we’re looking for entrepreneurs who are excited about getting in on the ground floor of a fast-growing start-up; imaginative thinkers who relish wearing multiple hats and never back down from a challenge. we want people who get things done. we’re unusually selective in our hiring process. if you have a record of exceptional achievement, take intense pride in your work, and want to join a world-class team, we’d love to talk to you."
17533,t,nan
72,f,"novitex enterprise solutions, formerly pitney bowes management services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. for almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. as a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth."
1461,f,"our history founded in 1929 by earl bertrand bradley, the company began selling products for knape and vogt co. of grand rapids, michigan. with the opening of the los angeles branch in 1929, the company became a wholesale distributor specializing in store fixture and specialty hardware such as drawer slides, hinges, brackets and standards. in 1943 branch offices were opened in san francisco followed by seattle in 1956. the company’s market position and business began to grow during the late 1950′s and 1960′s after adding wilsonart’s high-pressure laminate line to its product mix. during the 1970′s under the leadership of e.b. bradley’s son robert e. bradley, sr., two new branches were opened; san diego in 1972 and portland in 1976. significant product additions were the blum line of european hinges and drawer slides and accuride precision ball bearing drawer slides. a greater emphasis as a supplier to the cabinet and furniture industries was taking hold. since the opening of the anaheim branch in 1995, the company has been consistently growing.in 1998 the company entered the cold press lamination business by opening 3 locations of its west coast laminating subsidiary in the los angeles, san francisco and pacific northwest marketplaces. our ownership up until january 4, 2009, the company operated as a 100% family owned business. on january 5, 2009, industrial opportunity partners (“iop”), a private equity firm based in evanston, il. partnered with robert bradley, jr. in aquiring the stock of e.b. bradley co. and its subsidiaries from its current shareholders."
5613,f,"easybring is a startup in the collaborative consumption space in oslo, norway. we have been working on our product for close to two years, which is a service that mathces people that have transportation needs with people going that way, anyway. our company culture is centered around building an excellent product, and an ecosystem around the company focusing on helping others and doing the environment a service. it is a fun place of only 7 people and a company on the forefront of the internet revolution, where the mobile and web is becoming an integral part of ordinary life tasks. we are very focused on shipping, learning, iterating as a process."
2736,f,nan
14665,f,nan
5627,t,nan
2785,t,nan
5026,t,nan
17620,t,nan
9952,f,nan
12879,f,"outstanding member service starts with outstanding people if you are committed to the concept of “above and beyond” and enjoy interacting with people either in person or on the telephone, then we want to talk to you. our people are our most valuable asset. we recognize their value – the hard work and dedication they give – and reward it through a highly competitive salary structure and benefits program which includes: medical, dental and vision insurance 401kretirement savings planwith a match up to 6% by the credit union flexiblespendingaccounts life insurance paid by the credit union generous paid time off gym membership reimbursement program. "
11751,f,"mediamonks is the biggest creative digital production company on the planet. we specialize in working for and with advertising agencies to craft amazing digital work for global brands. you can find us anywhere on the web as well as in amsterdam, london, la, new york and singapore. mediamonks boasts an in-house team of 250 monks that are versed in an infinite range of digital disciplines, collectively covering anything you could possibly throw at a digital campaign. our award-winning capabilities include film, games and mobile and are recognized by over fifty institutions worldwide, including cannes, eurobest, the webbys and the awwwards. mediamonks, est. 2001, is a member of soda and part of the fwa hall of fame. catch our latest showreel at  . openings interested in joining this club of digital artisans? check out our vacancies and tell us why we should hook up right away. we tend to care less about paper qualifications and more about hands-on experience, so be sure to provide us with a portfolio or other feat of arms.nothing that matches your skill set? we have awesome jobs for awesome people. simply tell us about yourself and your trade and we may dream up your digital dream job (or internship) just like that."
9596,f,"being into the it domain for over 4 years, walkover specializes in web based application development and mobile application development. it has been creating innovative products since it was founded and continues to introduce new products from time to time. technologies we use core php, python,  , android, windows, open source software and powerful aws servers. walkover uses the best available technology - premium version of databases and so on, so that our products work smoothly. key products msg91 (sms solutions provider) msg91 is an internet based service that allows you to send sms and critical alerts to the masses. product info:  utteru (international calling) utteru enables international calling by using mobile dialers, access numbers and other ways like two-way calling. it helps you connect all over the world at very low cost. product info:   giddh (accounting software) giddh is an extremely simple to use accounting software that manages your day to day financial transactions in a systematic way so that it enhances the efficiency of your business. product info:   saveandsearch (save your documents now to search them later) a web based tool which enables you to save anything and search later. product info:  "
