,fraudulent,description
2364,f,"about the role our marketing team is growing and they need the support of a full time web developer to help them produce all the public facing aspects of intercom. you'll work as part of our frontend/interface team, and alongside all our product engineers and designers. your work will be visible to thousands of people everyday, and will be instrumental to our long term success. you will: drive innovation by coming up with new and exciting ideas to creatively solve issues collaborate with marketers, designers, and developers in a fast paced environment proactively look for opportunities to improve the design, interface, and backend of our website work with marketing leadership and others to create beautifully simple technical solutions obsess about the beauty of what you produce and how your produce it. intercom: intercom ( ) is a simple, personal messaging service for businesses and their customers. it provides a single, integrated platform for the whole company to use for support, marketing, product, sales communication and more. we’re on a mission to make web and mobile business personal. we believe that the future of customer communication requires not increasingly complex, impersonal point solutions, but rather a simple, seamless platform that applies innovations found in consumer services like facebook and whatsapp. founded in late 2011, intercom has raised over $30 million in venture capital and is backed by leading investors, the social+capital partnership and bessemer venture partners. intercom has been adopted by thousands of businesses, including heroku, hootsuite, rackspace, yahoo! and perfect audience. our customers love the product:  we like big thinkers with small egos who believe in our goal to build a uniquely impactful, long-lasting tech company. our vision is to fundamentally change forever how internet businesses and their customers communicate."
8702,t,"we are seeking individuals to be connected with companies who are hiring employees directly to work from their homes. you will find both full-time and part-time opportunities in a variety of career fields including but not limited to: data entry, customer support, billing, typing, and administrative.these positions guarantee wages ranging from $12 per hour up to six figure salary. this includes bonuses, benefits, and flexibility over your work schedule.legitimate work from home jobs are going to require that you have skills relevant to the position you’re applying for. training is provided based on the position."
17792,t,"the rooms division manager is responsible for executive housekeeping and frontoffice. he/she manages the general operation of the front office e.g. reception,reservations, concierge, switchboard and night manager. a rooms division manager is directly reporting to the general manager or the deputymanager. the position’s main duties are divided in spot checking of hotel rooms toensure standards, authorizing all leave schedules or ensuring control ofexpenditures as well as budgets set. a rdm attends weekly executive and salesmeetings as well as the general manager’s briefings with front office andhousekeeping. for that a rooms division manager needs clear, concise written and verbalcommunication skills at his/her disposal, as well as strong organizational,excellent time management skills and technical skills. "
3980,f,"company overview: the client is theleading international performance marketing network. they become the fastest-growing affiliate network worldwide opening offices in the uk, france, sweden, germany, benelux, denmark, spain and usa.they provide advertisers and publishers with innovative tracking technology and leading account management and support. they have an impressive international client network. this is a perfect opportunity for fresh graduates who are interested in affiliate marketing to join a well established company with a large presence in the online marketing space. duties include: assisting with the consultation with the client about the tactical and strategic aims of their off-line and on-line marketing programs supporting account managers with the recruitment of suitable affiliates for the program (and the client’s network) continuously strive to improve the financial and strategic success of all the clients’ programs understand and work with the client to identify and develop growth strategies in the affiliate channel establish channels of communication to ensure all affiliates have access to marketing tools, and to develop custom marketing material as required "
14112,f,"conversocial builds software that helps companies deliver customer service on social media platforms. if you tweet one of our customers we pull that in and provide tools to make it easy for one of their customer service agents to reply to you on twitter. these tools range from workflow through to analytics through to machine learning to prioritise issues over general chatter. as a data scientist you will be responsible for all of its machine learning features. this includes undertaking new projects to drive the business further, make even more use of our data as well as building on top of the existing models to make them even better. what we care about at conversocial we care about doing things right without overengineering them. we have a huge bias towards incremental improvement - a 10% improvement this week is better than a 20% improvement in a month's time. we encourage learning at conversocial. everyone on the engineering team gets an annual conference allowance. there is a lunchtime presentation every week (alternating between technical and non-technical) - participation isn't mandatory but is encouraged! conversocial relies on a lot of open source technologies, where possible we submit fixes and improvements back to the open source projects that we use. we also try to open source our own technologies when it makes sense to do so. techniques, tools and technology conversocial's core platform is built using python, mysql and mongodb. we try to use the best tools for the job without cutting ourselves too much on the bleeding edge. we strongly encourage best practices such as using the correct metric for the problem. about data science at conversocial the data scientist is part of the engineering team and is expected to write production ready code. for this fluency in python is preferred. any other language will be accepted with the willingness to learn python. experience with open source machine learning libraries e.g. scikit-learn, nltk is highly desirable. this could have been used through academic research, side projects or data science competitions. conversocial has large data sets of textual data so experience with natural language processing will be a plus. predictive modelling experience is presumed. at conversocial there is an opportunity to have a large impact. you can work with other teams in the company and start new projects with them. being creative is also a nice trait as you could completely change the way problems are tackled. knowledge sharing is also appreciated and there will be opportunities to mentor others."
9227,f,"csd is now accepting resumes for our next generation of software developers! csdis looking for experienced ruby on rails developers interested in leading the design and development of our web and mobile products.the senior software engineer is a hands-on lead programmer, mentor and project overseer who will create, innovate and lead on selected software development projects and product initiatives with a small dedicated team of developers and qa engineers. note: we are currently recruiting for future opportunities that may come available and do not have a current vacancy at this time. by submitting your information, you'll be the first to know when an opportunity comes up!we are not just any employer, but an innovator with a history and dedication to creating market-leading product innovations. we're determined to change the world - again - and need great people to help us do it. this opportunity features... flexible work schedules, including friday work-from-home each week 20% ""innovation time"" can be approved for research and development innovations (your ideas!) that benefit our business and your personal development top of the line technology equipment in our downtown austin location free downtown parking, on-site snacks, and coffee bar professional development opportunities including the opportunity to learn or enhance american signlanguage skills via free on-site classes paid time off and group benefits offerings, including medical, dental, life, disability and retirement plans. "
5600,t,"general purpose providesadministrative, secretarial and clerical support to others in the office to maintain an efficient office environment. main job tasks and responsibilities answer phones and transfer to the appropriate staff member take and distribute accurate messages greet public and clients and direct them to the correct staff member coordinate messenger and courier service receive, sort and distribute incoming mail monitor incoming emails and answer or forward as required prepare outgoing mail for distribution fax, scan and copy documents maintain office filing and storage systems update and maintain databases such as mailing lists, contact lists and client information retrieve information when requested update and maintain internal staff contact lists co-ordinate and maintain staff administrative records such as staff parking, staff phones andcompany creditcards type documents, reports and correspondence organize travel arrangements for staff co-ordinate and organize appointments and meetings assist with event planning and implementation monitor and maintain office supplies ensure office equipment is properly maintained and serviced perform work related errands as requested such as going to the post office and bank keep office area clean and tidy "
7241,f,"sketchup/3d pro [freelance] location: this position is located in portland, oregon – local candidates only. department: creative wanted: stellar sketchup artist to help model and render retail and lobby spaces. fiction is a strategy and design firm based in portland, oregon. we work with fortune 500 companies and global brands. our mission is to deliver campaigns that represent smart thinking, are beautiful to behold, and anticipate what’s next for our clients and their consumers. we’re looking for a smart, motivated, and talented high end sketchup/3d artist. the ideal candidate will be truly expert at sketchup modeling, lighting, and rendering. you can make sketchup do things nobody else knew was possible. this is a freelance position, that is project based and from time to time. depending on the project phase you may be asked to work on our equipment in our office, or on your equipment at your location. we’re flexible on where."
6660,f,"the limited is a leading specialty retailer of contemporary american women’s fashion with over 200 stores nationwide. as we continue to expand our national presence, we are in special need of experienced and talented individuals to join our renowned brand. at the limited, you will be a part of our dynamic growth as we continue to open new stores, launch new e-commerce initiatives, and develop new concepts. the sales associate is a non-management position with primary responsibilities for delivering exceptional client engagement experiences and selling merchandise. responsibilities: client-centric - • support a store environment that is consistently focused on delivering exceptional client engagement experiences • support a consistent focus in delivering exceptional client experiences • remain up-to-date of what is current in the fashion industry • ensure client experience brand standards are maintained merchandising excellence- • clearly and consistently represent merchandising principles • understand business concepts and use strategic processes to make good business decisions • assist clients with product selections through service and selling • assist with floorsets, window changes, signage placement, and visual standards including sizing, folding, and straightening merchandise • assist with replenishment of merchandise • ensure merchandising brand standards are maintained operational excellence -• support company goals and initiatives • adhere to all company policies, procedures and guidelines • understand and follow loss prevention procedures to ensure a safe environment and protect company assets • operate cash register and follow all cash handling procedures per company guidelines • assist with opening and closing duties as directed • ensure operational brand standards are maintained • additional responsibilities include keeping the store and stock areas neat, clean, and organized and all other duties as assignedindividual attributes -• develop and model skills and characteristics that lead to improved effectiveness and productivity • works well with others to accomplish tasks, solve problems and achieve goals • support team building activities • share ideas and perspectives to promote change and innovation"
494,f,"(we have more than 1500+ job openings in our website and some of them are relevant to this job. feel free to search it in the website and apply directly. just click the “apply now” and you will redirect to our main website where you can search for the other jobs.) job title: maintenance technician – plc maintenance experience - amaintenance technicianis required having 5+ years industrial maintenance experience in a manufacturing environment is required. job requirements qualifications required: 5+ years industrial maintenance experience in a manufacturing environment is required plc skills are not necessary, but would be a plus plastics and/or extrusion experience not necessary, but also would be a plus ability to calculate figures and amounts such as proportions, percentages, area, circumference and volume ability to apply concepts of basic algebra and geometry job responsibilities: maintain facility and equipment. perform repairs, modifications, installations, etc. of complex electrical, hydraulic and pneumatic systems. visit -   "
4753,f,"** only us citizens or green card holders apply **** this is a corp to corp position ** .net/c developer palo alto , ca contract position description:the ideal candidate would be innovative and have great problem solving andanalyticalskills. he\she should be able to understand software internals, debug problems usinga variety of techniques, and write automation with c."
9831,t,"qualified candidates are encouraged to apply directly to this job posting. direct email and phone calls are not being considered. thank you for your cooperation. please no recruiters. job description we are adding a plant operator to our client's bakersfield operational team. primary job duties include providing operational, technical, troubleshooting, and surveillance support for all producing oil wells, oil treating, , water softening/disposal, steam generation facilities and cvr systems for oil field operations located near bakersfield california a typical day on the job will most likely entail the following duties: dehydrate produced oil too sub 3% bsw. identifying production process problems and taking safe corrective actions in order to meet business targets and hse goals. assist in the preparation for repair, installation and maintenance of typical oilfield production. create job plans and execute jobs safely and on time. experience in operation/trouble-shooting of typical oilfield production equipment and systems. knowledge of safety procedures and practices for working in a hydrocarbon environment. strong communication skills with the ability to accomplish assigned tasks within a reasonable time frame. effective interpersonal and strong team work skills. manage maintenance crews and contractors when building, fixing equipment on location. noticing problems or potential problems, diagnosing and developing plan to fix problem. diverting flow and isolating lines for equipment tie in or maintenance. enforcing safety policies. writing permits to allow safe work. maintain steam and water flood targets. softening and cleaning produced water before sending to steam generators. functional computer and software skills to include ms office suite (especially excel) and scada. collecting plant readings and producing daily/weekly reports. standard duties/responsibilities: •operate oil treating, water treating/disposal, steam generation and distribution, vapor recovery facilities. •operate oil wells, awt and well testing tanks, vapor recovery system. •monitor safe operations utilizing the scada systems and onsite surveillance. this includes taking readings, testing fluids and piping and valve alignment reviews and adjustments. •insure compliance with all company and government safety, environmental and health rules and regulations. "
12438,f,"consumertrack is a performance based marketing company comprised of 1,600+ personal finance websites that inform, entertain and connect millions of people every day. we partner with a number of major media outlets such as business insider and us news world report to provide compelling and edifying personal finance content to make it easy for consumers to navigate through the world of finance. we have an immediate need for an editorial manager to support our content team. we’re looking for a highly organized editor with digital publishing experience and strong managerial skills to will help lead a talented team of writers and editors, as well as contribute to the direction of our sites’ voice and content. responsibilities: manage growing team of both in-house and freelance writers and editors, providing training and development, ensuring team remains on deadline, handling internal conflicts and questions, and surfacing personnel issues to content director. work with seo, pr, social and client management teams to create editorial calendars that accomplish site and business goals. set and enforce policies and procedures to improve the quality and efficiency of the content team. contribute to the development and evolution of the gobankingrates voice by participating in pitching and calendaring meetings. contribute to the development of the content team's culture and quality standards. own and support various projects as needed "
13999,f,"the company: bcg digital ventures ( ) the boston consulting group ( ) has launched a new digital business, bcg digital ventures ( ) - a digital innovation, product development, and commercialization firm. this first-of-its-kind firm will bring unique capabilities to create and grow disruptive digital products and platforms. bcg digital ventures goes beyond providing consulting, design, and technology services to form strategic venture teams with its clients in order to rapidly develop, launch and grow transformational digital products, platforms and businesses. the boston consulting group (bcg) is a global management consulting firm and the world's leading advisor on business strategy. bcg partners with clients from the private, public and not-for-profit sectors in all regions to identify their highest-value opportunities, address their most critical challenges, and transform their enterprises. bcg was founded in 1963 and is a privately owned firm with more than 7,000 employees across 81 offices in 45 countries. integrity, respect for the individual, delivering value, and making an impact on society are just some of bcg's core values. bcg's commitment to both their clients' success and their own standards is what sets bcg apart as a world-class professional services organization. the opportunity: human-centered designer bcg is looking for an exemplary human centered designer to help drive the rapid growth of bcg's new digital business, bcg digital ventures. our purpose is to help companies imagine, bring-to-life and launch digital businesses and solutions that have transformative customer impact. to do this, we’ve assembled a group of world-class business/strategy, product design, and technology professionals with deep knowledge and experience in digital businesses and solutions – from mobile applications and ecommerce, to new and emerging digital solutions yet to be realized. specifically… leverage design-thinking and industrial design methodologies to help re-imagine new human-centered user experiences, products and services through collaborative problem solving with a multidisciplinary team. serve as key contributor and/or appointed lead on primary and secondary research, trend analysis, conceptual ideation, 2-d/3-d concept development, material selection and tech pack creation. contribute to the firm’s thought leadership in user-centered design approaches and strategic innovation best practices. navigate multidisciplinary input and constructive critique to ensure products balance compelling visual design and a great consumer experience. "
9753,t,we are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. work may include but no limited the following: - grass cuts - general repairs / perform per bid approvals - trash outs (debris removal) - eviction services - initial secures/securing (replacing locks) - winterizations - boarding - mold remediation - cash for keys - janitorial cleaning of home interior
997,t,"responsible for assisting in the direction and administration of the planning, preparation, production and control of all culinary operations in the hotels continuing effort to deliver outstanding guest service and financial profitability. as executive sous chef, you would be responsible for assisting in the direction and administration of the planning, preparation, production and control of all culinary operations in the hotel's continuing effort to deliver outstanding guest service and financial profitability. specifically, you would be responsible for performing the following tasks to the highest standards: assist the executive chef in the direction and oversight of all culinary operations, to include, but not limited to, preparation and production of all hotel meals, food quality and presentation, compliance with all safety and sanitation standards and regulation, team member productivity and performance, implementation of policies and procedures, cost controls and overall profitability assist the executive chef by interacting with guests and clients to monitor and assess satisfaction trends, evaluate and address issues and make improvements accordingly assist the executive chef in creating and implementing menu selections for special banquet themes and events based on current food trends and regional tastes in partnership with the executive chef and director of food and beverage, as needed ensure compliance with federal, state, local and company health, safety, sanitation and alcohol awareness standards monitor and develop team member performance to include, but not limited to, providing supervision, conducting counseling and assisting with evaluations, training, scheduling and assigning work and delivering recognition and reward "
4085,f,"we’re looking for a web designer with a passion for web to help us create great products and make our clients happy. barouh partners is a technology company specialized in web and application development andlivewebcasting solutions. our team is a small group of smart people who care about our customers and delivering services of highest quality. we also care about rollerblading, snowboarding and music. we are located in belgium,bulgaria and hungary. we do not have a physical office. we all work from our homes.you can work from japan or hawaii if you like, but a european time zone is preferred. what makes us special is that we make things happen at all cost. we deliver."
17598,t,"real estate, mortgage insurance professionals, elite realty services is opening 3 offices every 60 days in ca and we are expanding; there are ownership opportunities nationwide. our 3 x 3 business model is revolutionary review this 22 minute video   ers also has broker branch manager opportunities in your state."
5582,t,"greetings from vam systems….. vam systemsis a business consulting, it solutions and servicescompany with operations in uae, qatar, bahrain, usa, australia, singapore india. we offers a comprehensive list of services in the field of it infrastructure management, cloud services, it consulting services, banking, management resources, information technology development, telecom, aviation, retail management egovernment offerings. vam systems is currently looking for dotnet developer for our qatar operations . experience required:5+years terms and conditions: joining time frame:2 weeks (maximum 4 weeks). the selected candidates shall join vam systems – qatar and shall be deputed to one of the leading banks in qatar. should yoube interested in this opportunity, please send your latest resume in ms word format at the earliest at email_b08cf5e4101b4b7b7594fe3081f94f7f9a0f2d6192fb5d4a1a72ecf03c816e83 or call us + phone_b5041ec689d462333be2b4304d3d9ed885fbe8df6ce9e547de2185941442db79 . "
3463,t,"we are currently looking for a client-focused and results-driven business development manager to join our team. working with market leading products and backed by a strong training and development team, this role focuses on developing you and your team with a suite of products in the education sector. a high level of understanding of current social marketing trends will be important in ensuring you stand out from your peers. this is a challenging role suited to a well-connected and experienced sales professional with a proven track record of instigating growth, develop and achieving targets. this role involves: opening doors in niche markets achieving sales targets promoting your unique proposition to be considered for this attractive opportunity, apply now."
8647,t,payroll clerk job purpose: responsible for compiling and posting employee payroll data and manages hours clocked. creates and distributes paychecks in accordance with hours worked and corrects paycheck errors.
1821,t,"corporate overview aker solutions is a global provider of products, systems and services to the oil and gas industry. our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. we employ approximately 28,000 people in about 30 countries. go to   for more information on our business, people and values. we are looking for individuals who are prepared to take a position. not only a position within aker solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the future aker engineering technology based in houston is a leading international provider of front end studies, engineering, procurement and project management services needed for initiating and undertaking of contracts for the oil gas industry, both onshore and offshore. the company is also a major contributor of new technology and products, new knowledge and new methods for efficient cost saving and environmentally friendly exploitation of the world's oil and gas reserves.responsibilities and tasks responsible for the execution and co-ordination of the technical procurement activities of assigned packages, with a specific focus on package equipment (makeup water, chemical injection etc)....this includes activities such as: - identify available equipment types for the specified equipment service and duty- undertake equipment sizing to determine footprint and weight requirements, input to layout, electrical load and weight/cost estimate- justify and recommend equipment selection and document the selection via study reports- close cooperation with the process, layout and other disciplines to ensure robust solution.- liaison with equipment suppliers to support the equipment selection process- managing design interfaces for package equipment.- compiling technical requisitions specifications for budget, enquiry and purchase order.- execution of technical pre-order activities.- evaluating supplier bids/solutions for package equipment."
11736,f,"an innovative start-up with exciting product in the e-commerce industry is looking to extends its family. we are looking for an outstanding frontend developer joining a team that develops an innovative web service if you have excellent communication problem solving skills. if you are a team player, creative, self motivated and holds excellent english skills. if you are a problem solver - you love a challenge as well as a feasible, practical solution. then this position is for you! this position is based in tel aviv, israel"
16927,f,we are seeking a marketing representative for our promotions division. the marketing rep will be responsible for contracting area customers who are interested in replacing their home improvement products. the responsibility of the marketing rep is to identify potential homes and set up an appointment with home owners that are interested in replacing their home improvement products. responsibilities:- canvass designated territory and identify suitable homes that qualify for products and promotions- contact homeowners and set up appointments to have a sales rep demo our products. there is no selling!- maintain relationship with new and current customers- attend events to promote out company
15998,f,"experienced specialty monomers account manager is required having responsibility to negotiate contracts with key customers in cooperation with marketing and sales management d - 190 job responsibilities: existing account management and growth for assigned specialty acrylic monomer accounts. negotiate contracts with key customers in cooperation with marketing and sales management. price negotiations with all assigned customers. prospecting for new business within the assigned territory with a special emphasis on specialty acrylic monomers increase market intelligence of the business by bringing information about customers, competitors, and industries back into the organization support the implementation of the business area strategy. improve understanding of market and customer needs create account plans in conjunction with global sales and marketing, and implement the plans implementation of customer segmentation and business rules administrative duties which include: call reports, account plan maintenance, monthly forecasting, reporting of market intelligence, etc. participate with other sales personnel on cross business unit teams. support the sales of other industrial petrochemical products including plasticizers, oxo alcohols, and standard acrylic monomers at assigned accounts. e='tq�id0� �f� n;mso-list:l0 level1 lfo1'· the expectation of a post audit of vendor provided solutions is a standard for site documentation purposes. participates as part of the process control on-call group on a rotating basis. this requires knowledge of the site automation and safety systems, the expectation is that the control engineer will be able to provide solutions to on-call problems, or at least contact the correct subject expert personnel for advanced levels of support beyond what the control engineer is able to provide. "
17644,t,"the key to this position is that steve wants to see how people think. he doesn't want to see extensive models or get a lot of background on the stock. he wants the person to dive into the analysis of the stock and really show why they believe the stock can move. so for example he would rather see that you've done your research on apple and believe that x million people will buy their smartwatch because of reasons x, y, z and support those reasons. then establish what you think the price is going to be for the product and then that should lead to t amount of profit which should boost the stock by some amount. i don't even think the person needs to give a predicted stock price just what the upside is in terms of profit. if they can calculate a stock price that's obviously beneficial. also i dont want just finance majors. we need to see a diversity of talent from multiple different majors and i would love to put together a team with some science students on it."
401,f,we're looking for our 2nd marketing hire and are open to considering a range of experience. your primary responsibilities will include: outreach to college career centers around the country to form partnerships building an army of campus brand ambassadors overseeing social media and content generation for our blog handling sem (paid outbound advertising/marketing) a broad range of inbound and outbound marketing activities - some will be grunt work and some will be higher level and strategic. you'll wear a number of different hats. 
2173,f,"roka security is seeking a mid level freeswitch voip engineer in herndon virginia. the position will be for a person who can help design, implement and help manage a global network of interconnected freeswitch servers in a production environment. the employee will help create policies and procedures for new implementation roll outs and work with the engineering team in deployments. the position will be responsible for helping find new and better ways to implement existing fucntions in our freeswitch servers. "
17546,t,sales professionals marketing and advertisingin the personal development industry. work anywhere from home with your laptop and phone.
6939,f,"position descriptionthe senior manufacturing engineer supports cross-functional product development teams and operations with technical inputs to product design for manufacturability, product design hazard analysis, process fmea for the development of new capital products. position responsibilities• lead and address new product introduction of electrosurgical equipment at contract manufacturers or internal manufacturing locations.• utilizes design for manufacturing techniques to evaluate and improve upon pca and high level assembly designs during new product development.• author and / or execute product and process validation and verification activities using iq,oq and pq methodology• collaborate on risk analysis documents such as dfmea and pfmea• accountable for design controls deliverables for the commercialization of new products –deliverables such as assembly processes documentation, process risk assessments and equipment and process validations.• collaborate with the development engineering to incorporate optimal manufacturing methods throughout concept, development and launch phases of new product introductions. manage and quickly resolve any issues, questions, or challenges in the manufacturing of electrosurgical equipment produced at contract manufacturers or in component manufacturing. • promote flexibility within the development process such that change is expected, reacted to quickly, and handled with ease;• collaborate on test methods to qualify electromechanical subassembly manufacturing and in process testing of pcba and high level assemblies. ensure that assigned projects are completed on time and on budget;• take a responsible role in the manufacturing supply chain such that medtronic advanced energy enjoys strong working relationships with suppliers;• communicate effectively on the status of open projects using good written and verbal communication skills; including technical writing skills.• ability to work under only general direction while independently determining the approach to problems and solutions.• develop assembly and test procedures for the manufacturing of electrosurgical equipment and effectively train assemblers and operators to procedures. utilize a high degree of systems thinking such that improvements are made continuously and appropriately to support the needs of the company in areas such as design control, engineering changes, purchasing and procurement, and the quality system.• ability to train and assist associate engineers to complete department objectives.• support the seamless manufacturing transfer of projects from npi to sustainment engineering and work with sustainment manufacturing engineering to incorporate design and process improvements for future capital systems.• manage budgetary requirements and requests within the project requirements and annual operating plan funding.• create robust statement of work documentation for the supply chain, collaborate to assess quotes and establish expected cost targets with the development team. "
