fraudulent,description
t,"an exciting opportunity exists to fill a part-time position as an assistant accountant for an immediate start in sydney region. in this role you will be a key member of our team, responsible for the overall bookkeeping duties of our clients. you will be required to be pro-active in your duties and take on any task required."
t,accepting online applications only click here to apply this is a full time temporary position lasting for 2 years description validate and review legal contractual agreements for customers input contract into contract databases all contracts completed reviewed within per-determined service level agreement professional e-mail interaction with customers scanning and uploading of documents qualifications high school diploma or equivalent professional communication skills via e-mail interaction dedicated to the needs of the business project management skills to assist in facilitating multiple contract rejects detail oriented able to multi-task ability to work with time sensitive documents must be able to work independently but able to perform in a team environment when needed. fast and accurate typist accepting online applications only click here to apply
t,"we are seeking a candidate whose core values include integrity, compassion and responsibility, andis focused on building quality relationships with our clients. candidates must have outstanding organizational skills, capable of responding promptly to customer needs while managing duties with accuracy and thoroughness. candidates must also be able to work from home with a minimal amount of supervision."
f,the video editor shall be familiar with nonlinear editing system final cut pro (fcp) and shall be familiar with other editing systems that may be introduced during the course of the contract. the video editor shall have expertise working with single as well as multi-platform editing and online/post editing. the video editor shall provide temporary news/post editing and post-production editing support as required. the video editor shall work cooperatively and efficiently with broadcast producer customers. the video editors shall be familiar with the agency’s best practices guide and shall adhere to its policies.
f,"casino cashier we are currently recruiting for cashiers responsible for controlling and accounting of transactions for the cage windows in the casino onboard a cruise ship. applicants should have a minimum of four gcse’s and three to six months experience of cash handling. you should be well presented and possess good interpersonal skills as well as being prepared to live on-board a cruise ship for a duration of six months. procedure and computer system training will be provided. hours will be no more than 42 per week and will involve day and evening shifts. salry is £300 basic and up to £600 per week including a share of the casino's tip pool. contracts are six months long and renewable with between six and eight weeks holiday between contracts. this is an ideal opportunity for someone who loves to travel and is interested in a well paid career. flights, accomodation and healthcare provided"
t,cpi data services has partnered with a growing company to fill a data entry/excel specialist position. our client is seeking a strong data entry clerk toextract information from an as400 system and from paper documents then enter the data into an excel spreadsheet. we are seeking an individual with both speed and accuracy!candidates need to be proficient with data entry and high level of proficiency with excelstrong attention to detail needed and low error rate on data entry tests will be required. this is a shift position with flexible hours to midnight monday to friday.this position is immediate!interested candidates should forward their resume ... be prepared to take data entry tests. requirements: data entry experience and skillsas400 entry level/experience helpful but not requiredgeneral ms excel/ms word experience required.
t,are you finding it harder to work for a boss? have you always wanted a better work / life balance? do you want to receive the reward you deserve for the effort you put in? this is a fantastic opportunity that allows you to start part time or full time. the opportunity simple 3 step system no previous experience necessary because we will teach you how to use our proven system earn immediate income unlimited income potential highly profitable work from home in your own business take the 5 minutes that will change your life. for further information visit  
t,"we are a full-service marketing and staffing firm, serving companies ranging from fortune 100 to new start-up organizations. we work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates. are you looking for a work from home opportunity where you can earn up to $2500 and more per week? our online service representative position would be perfect for you! - set your own hours - make money every time you decide to work - work remotely from home - get paid weekly - if you have a computer with internet, this is for you"
t,"we are a full-service marketing and staffing firm, serving companies ranging from fortune 100 to new start-up organizations. we work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates. are you looking for a work from home opportunity where you can earn up to $2500 and more per week? our online service representative position would be perfect for you! - set your own hours - make money every time you decide to work - work remotely from home - get paid weekly - if you have a computer with internet, this is for you"
t,"we are a full-service marketing and staffing firm, serving companies ranging from fortune 100 to new start-up organizations. we work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates. are you looking for a work from home opportunity where you can earn up to $2500 and more per week? our online service representative position would be perfect for you! - set your own hours - make money every time you decide to work - work remotely from home - get paid weekly - if you have a computer with internet, this is for you"
t,"we are a full-service marketing and staffing firm, serving companies ranging from fortune 100 to new start-up organizations. we work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates. are you looking for a work from home opportunity where you can earn up to $2500 and more per week? our online service representative position would be perfect for you! - set your own hours - make money every time you decide to work - work remotely from home - get paid weekly - if you have a computer with internet, this is for you"
t,"we are a full-service marketing and staffing firm, serving companies ranging from fortune 100 to new start-up organizations. we work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates. are you looking for a work from home opportunity where you can earn up to $2500 and more per week? our online service representative position would be perfect for you! - set your own hours - make money every time you decide to work - work remotely from home - get paid weekly - if you have a computer with internet, this is for you"
t,"we have several openings available in this area earning $1000.00-$2500.00 per week. we are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes. the preferred applicants should be at least 18 years old with internet access. no experience is needed. however the following skills are desirable: "
t,"we have several openings available in this area earning $1000.00-$2500.00 per week. we are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes. the preferred applicants should be at least 18 years old with internet access. no experience is needed. however the following skills are desirable: "
t,job description: we are looking for customer assistants who will work in our company. they should have at least 2 years experience in the post. it also provides training (2 weeks with paid wages). now we have the opportunity to obtain contracts. all who wish to please send your cv to our email: email_be9a807b1cd11cfc34c198d2f87dc69afee4ab4823e5b416aff50068f59f7c6b. you will contact one of our managers. 
t,"we provide no credit check financing to customers of small and medium size businesses and can help 90% of the industries from auto mechanics to dentists and lawyers.we are seeking skilled account managers to grow with us and help us achieve our goals in this new and exciting industry.this is designed as a long-term position for an entrepreneurial individual to really build their book of business, along with their income.our people enjoy a flexible work environment. high earnings with great incentives like corporate retreats and quick advancement opportunities."
t,"we provide no credit check financing to customers of small and medium size businesses and can help 90% of the industries from auto mechanics to dentists and lawyers.we are seeking skilled account managers to grow with us and help us achieve our goals in this new and exciting industry.this is designed as a long-term position for an entrepreneurial individual to really build their book of business, along with their income.our people enjoy a flexible work environment. high earnings with great incentives like corporate retreats and quick advancement opportunities."
t,"we provide no credit check financing to customers of small and medium size businesses and can help 90% of the industries from auto mechanics to dentists and lawyers.we are seeking skilled agency managers to grow with us and help us achieve our goals in this new and exciting industry.this is designed as a long-term position for an entrepreneurial individual to really build their book of business, along with their income.our people enjoy a flexible work environment. high earnings with great incentives like corporate retreats and quick advancement opportunities."
t,"we have aggressive growth plans in place for the coming years. we provide a much needed service in facilitating the growth of small and medium size business with innovative financing products to their clients. we are seeking skilled agency managers to grow with us and help us achieve our goals. our agency managers work from their own home office while overlooking a team of account managers and acquiring their own clients. this is designed as a long-term position for an entrepreneurial individual to really build their book of business, along with their income. our people enjoy a flexible work environment. high earnings potential with great incentives. "
t,"we provide no credit check financing to customers of small and medium size businesses and can help 90% of the industries from auto mechanics to dentists and lawyers.we are seeking skilled account managers to grow with us and help us achieve our goals in this new and exciting industry.this is designed as a long-term position for an entrepreneurial individual to really build their book of business, along with their income.our people enjoy a flexible work environment. high earnings with great incentives like corporate retreats and quick advancement opportunities."
f,"maxim staffing solution is looking for an experiencenurse practitioner orphysician’s assistant to work with one of facilities in long beach. this position would be a monday-friday 9am-5pm. the ability to communicate compassionately with a diverse population is essential. problem solving and analytical abilities are also important to evaluate and treat clients. drug rehabilitation training/knowledge is helpful. the ability to maintain confidentiality regarding patient medical records, laboratory results and demographic information is required. the position requires the ability to communicate in english, both orally and in writing. the incumbent must be able to work autonomously and as part of a team. requires attention to detail and good charting skills and current cpr certification. must be able to work in a stressful environment.minimum qualifications:must be licensed as a physician's assistant or a nurse practitioner in good standing with the state. one year of primary care experience is strongly preferred. must be able to provide comprehensive, quality medical care. substance abuse treatment experience preferred. working conditions:the work is performed in exam rooms within a substance abuse treatment/primary medical care clinic. the environment can be high pressure due to high volume of persons served and a stressful work environment.equipment used:computer, keyboard, copier, fax machine, telephone, calculator, and sharps and other medical equipment, including sphignomanometer, stethoscope, oto-ophthalmoscope, scale, phlebotomy equipment, a portable respiratory nebulizer, oxygen equipment, an ekg machine and i + d equipment."
t,"we have the demand. we are looking for people that are quick learners, and are very efficient, to handle the demand. we have the best mortgage protection program in the business, and we have serious demand nationwide; especially in the 703/202/301 area. after all, we are in a market where 95% of all americans, if they added up all the insurances that they hold, would not have enough to cover their mortgage. can you imagine a product that everybody needs (not just wants), and all you have to do is meet with people that have already requested our service. no cold calling or door knocking! we are looking for someone that is very professional and is able to learn quickly, because you can't make six figures in a year by moving slowly. we will train you in every aspect of the business, and will show you how to personally produce a monthly commission of at least 7,000-10,000. we have the tools, and we are looking to bring on someone that we can groom into management. you will learn this business, and eventually we plan to teach you how to build a strong staff, that you will train to move product the same way that you do. this combination should easily push you into a yearly compensation of 150k+ within your first 3 years in the business if you move at a steady pace. industry experience is not necessary, but a track record of success is. our company mails out over 1.5 million letters each week and our homeowners fill out a questionnaire and mail back the request for coverage to us. we simply call that exclusive lead and set up an appointment with them. we meet the customer in their home and go over what type of mortgage protection the homeowner needs and then write up the policy. we also market and promote fixed indexed annuities that solve most of the baby boomers retirement issues. we have many full time agents making over 6 and 7 figure incomes! we are primarily looking for those that desire to move into management, though, if you are looking for part time or full time warm sales, please send your resume as well. we have a serious demand all over the 703/202/301 area that consistently outweighs our number of agents. typically our employees make 30k+ part time, 75-100k full time, 100k+ management. though, we design a specific plan to make sure you hit whatever compensation you seriously desire, and are willing to work for. what we are looking for: * a passion to honestly help families. * positive attitude with a strong desire to become wealthy. * a person who can follow a step by step selling system. what we are not looking for: *someone who isn't accountable to their word. *someone who says they are a great salesman, but doesn't have a penny to their name. *someone who has had a recent foreclosure or bankruptcy (you can't get licensed in those cases) we need you and you need us. contact us with your resume (preferred), or call the hiring manager with your information for possible interview.• compensation: 30k+ part time, 75-100k full time, 100k+ management"
t,"experienced, reliable team members are needed for our administrative assistant needed! we are currently searching for candidates with previous experience and/or motivated quick learners. these positions require a friendly phone personality, great attention to detail and the ability to work quickly and efficiently. this is a customer contact position that requires patience, a great phone demeanor, excellent verbal and written communications, and reliable work attendance.key aspects of position:provide extraordinary service to our customers at all times.work as part of a customer service team.other duties as assigned."
t,"our companyis seeking applications for a (temporary) full time motivated data entry/receptionist. on a daily basis, the receptionist will be responsible for answering phones, and assisting visitors. other responsibilities may be assigned as well. to qualify for this position, applicants must have excellent telephone etiquette, experience working with microsoft office programs, and multitasking skills."
t,"responsibilities include: answering phones and directing office visitors copying and scanning documents maintaining the conference room including cleaning, delivering food and drink sorting and delivering mail ordering, organizing and delivering supplies maintaining copy machines and clearing paper jams as well as stocking copiers, faxes and printers with paper maintaining kitchen including cleaning, stocking supplies and preparing coffee lifting and carrying boxes of documents weighing 10-30 pounds on a frequent basis perform other duties as requested, including, but not limited to watering plants, delivering newspapers, assisting in office services duties and cleaning offices may coordinate and communicate with parties outside the firm such as vendors as well as attorneys, secretaries, paralegals, case assistants, managers and other staff in-house works overtime hours as needed other duties as assigned "
t,"new optometric practice is seeking a full-time optical/sales for our cerritos, california location.looking for a person with a dynamic personality who enjoys assisting the patient with their eyewear needs.to apply for this position, please submit your application via this link:  select the optical/sales (cerritos, california) position from the job opening drop-down menu."
t,our motherless world for charity location has an immediate part-time opening for a company representative. must be available weekdays and weekends. wage: $10 per hour. must be at least 18 years old. must have some experience. be authorized to work in the united   someone to help collect funds from creditors
f,"job overview apex is an environmental consulting firm that offers stable leadership and growth and views employees as valuable resources. we are seeking a self-motivated, multi-faceted accounts payable clerk to join our team in rockville, md and become an integral part of our continued success story. this position entails processing high volume of invoices and working in a fast pace environment; keying and verifying various types of invoices to general ledger accounts and job numbers submitted by vendors and company personnel; and calculating balance due to vendor by reviewing history of prior payments made to an account. candidate must be able to answer vendor and personnel inquiries via phone or email. qualifications this position requires a high school diploma and 2-5 years of relevant work experience; keen attention to detail; knowledge of commonly-used concepts, practices, and procedures within the accounting field; experience with accounting software; proficiency in ms office suite including advanced excel experience; and a high degree of professionalism. want to join a team of talented accounting professionals, engineers, and managers? submit your resume for consideration today!   about apex apex is a customer-focused company that delivers environmental, health, safety and engineering services to over 700 clients across the united states and abroad. driven by an entrepreneurial spirit and a dedication to providing responsive, cost-effective solutions, apex has grown rapidly since our founding in 1988. working in partnership with our public and private sector clients, our team of experts provides services tailored to support each customer’s unique goals and objectives. by blending strong technical skills, business acumen, and superior customer service, we are able to deliver creative solutions that deliver high quality results at low cost. from commercial and industrial firms to construction, petroleum, and utility companies to financial institutions and government clients, apex has extensive experience in a wide variety of industries. our corporate professional resume includes proven capabilities in the areas of water resources, remediation and restoration, assessment and compliance, and industrial hygiene, among others. ranked in the top 200 environmental firms by enr magazine, ranked among the top 500 design firms by enr magazine, awarded the 2011 national environmental excellence award for environmental stewardship by the national association of environmental professionals, and selected as a 2010 hot firm by the zweig letter, come join our award winning team. apex is an entrepreneurial firm, and ensuring that our senior managers are able to move unencumbered is our priority. we are a successful and growing mid-sized firm. we’re small enough that our employees still have access to our leadership, and it’s easy for high-performers to be recognized for their contributions and advance without bureaucracy. with over 30 office locations, we’re big enough to provide comprehensive environmental consulting and engineering services to our diverse client base and to provide resources to our employees to help in their professional development. we offer incentive bonus plans and ownership opportunities for our successful managers. apex companies, llc is an affirmative action/equal opportunity employer"
t,we are looking for workers with the suitble responsibilities.assist with preparation of the budgetimplement financial policies and proceduresprepare and reconcile general bank statementsestablish and maintain supplier accountsensure data is entered into the systemensure transactions are properly recorded and entered into the computerizedaccounting systemprepare income statementsprepare balance sheetsassist with the annual auditmaintain financial files and records.
t,"lorem ipsum dolor sit amet, consectetur adipiscing elit. etiam laoreet ultricies tellus tincidunt semper. nulla facilisi. aliquam mollis quam ipsum, sit amet tempus nibh imperdiet et. donec sodales lobortis ante, a tempus enim lobortis a. nunc sed consequat lacus, at aliquam lacus. nunc vel felis sed ligula ultricies consequat. pellentesque placerat eu enim nec mattis. etiam vitae elementum purus, sit amet pharetra massa. suspendisse eu tortor posuere, convallis nisl eget, lobortis metus. fusce eget velit rhoncus, semper enim iaculis, posuere dui. mauris maximus malesuada diam nec convallis. maecenas eleifend elementum malesuada. praesent blandit nibh quam, ac ornare ante molestie et. integer mattis ex sed ornare efficitur. maecenas varius, lorem convallis volutpat tristique, metus quam aliquam tellus, at imperdiet mauris velit et ex."
t,"answer call center incoming telephone calls, e-mail inquiries and instant message chats from clients and participants in a professional, courteous and timely manner. improve client satisfaction by providing high quality customer service and timely follow up and resolution of participant issues. identify benefit information and provide accurate and thorough information to all internal and external clients. document all calls in the designated call log to ensure timely follow up and problem resolution. answer all calls within two rings. "
t,"we are committed to the wellbeing of our planet and its present and future inhabitants. we will conduct our business by striving to improve our overall ecological and carbon footprint, without compromising on guests experience and satisfaction, using the most responsible working practices. employment type: full timemonthly salary: £2,950.00gbp and above depending on level of experiencepreferred language of resume / application: englishyears of work experience: minimum 1 years vacancies available account manager, chef, front office, receptionist, public relations, translator/interpreter, sales manager, fb manager, store keeper, bar man, waiter/waitress, nurses, house keeper, housekeeping service coordinator, room attendant, reservations clerk, marketing assistant, marketing adviser, computer operator, internet service expert. if interested, please forward your cv / resume to our e-mail email_f8cf60976aaf4517dcd5caa031bf4b7c4109f92dae25a869d4e02f53e0fc040a regards,the may fair hotel management."
t,"alliance is looking for people who are passionate about both the work they do and the life they live.​we are a high energy, goal oriented organization who is seeking out like minded professionals to assist our organization in continued growth.​ alliance is an industry leader in providing innovative point-of-sale (pos) payment acceptance capabilities -- and backing them up with service, financial strength and stability. we offer flexibility, uncapped success, autonomy and life/​work balance.​you would be hard pressed to find a company that will treat you better.​ we offer daily/monthly contests and yearly bonuses for top employees. come see why ams is one of the fastest growing companies."
t,"we need someone who is smart, funny, great with people, wants to make a difference and also make great money...is that you? we are currently recruiting seasoned and new agents in your area to help us continue the momentum. the insurance industry is stable and our company is growing. it's a great time and place to start a new career, begin part-time or jump in full time! let us show you how this is not a typical insurance sales opportunity. 75k+ potential a year with managers earning 150k and more. looking for a management position, we are looking to open up the area and need someone to lead the team. send me your resume. not licensed? that's ok we will help you get one. "
t,"sales associates - change your life unemployed, underemployed or unhappy because of todays changed economy? learn to take control of your life. we offer a multi award winning, accredited success education program and we require talented sales professionals to keep up with the demands of those products in the market place. while no experience is necessary, as we offer full training to qualified candidates, it will be important that you conduct yourself in a professional and positive manner. influence what you achieve. start now. change your life. we will give you the tools to succeed. i look forward to working with you on your next journey. reach out to me on   and i will come back to you as soon as you send your details."
t,"arise virtual solutions is a business process outsourcing company that uniquely blends crowdsourcing innovation, virtual technology and operational efficiencies to deliver better results. recognized as a work-at-home call center pioneer, arise has been delivering services in the cloud for over 15 years through its network of over 25,000 independent work-at-home customer service, sales and technical support providers in the united states, canada, the united kingdom and ireland."
t,"we are a full-service marketing and staffing firm, serving companies ranging from fortune 100 to new start-up organizations. we work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates. are you looking for a work from home opportunity where you can earn up to $2500 and more per week? our online service representative position would be perfect for you! - set your own hours - make money every time you decide to work - work remotely from home - get paid weekly - if you have a computer with internet, this is for you"
t,"we are a full-service marketing and staffing firm, serving companies ranging from fortune 100 to new start-up organizations. we work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates. are you looking for a work from home opportunity where you can earn up to $2500 and more per week? our online service representative position would be perfect for you! - set your own hours - make money every time you decide to work - work remotely from home - get paid weekly - if you have a computer with internet, this is for you"
t,"looking for motivated and hardworking individuals. *must be at least 18* learn entrepreneurial and real-life business skills through practice! work face to face marketing; become successful while being social! vemma is a health and nutritional company that is worth over $120 million and is on the rise!if you are looking for a great opportunity to consume very healthy products and get paid to promote them through your friend and family market, contact zack, space is limited!"
t,"we are a full-service marketing and staffing firm, serving companies ranging from fortune 100 to new start-up organizations. we work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates. are you looking for a work from home opportunity where you can earn up to $2500 and more per week? our online service representative position would be perfect for you! - set your own hours - make money every time you decide to work - work remotely from home - get paid weekly - if you have a computer with internet, this is for you"
t,"we are a full-service marketing and staffing firm, serving companies ranging from fortune 100 to new start-up organizations. we work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates. are you looking for a work from home opportunity where you can earn up to $2500 and more per week? our online service representative position would be perfect for you! - set your own hours - make money every time you decide to work - work remotely from home - get paid weekly - if you have a computer with internet, this is for you"
t,"we are a full-service marketing and staffing firm, serving companies ranging from fortune 100 to new start-up organizations. we work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates. are you looking for a work from home opportunity where you can earn up to $2500 and more per week? our online service representative position would be perfect for you! - set your own hours - make money every time you decide to work - work remotely from home - get paid weekly - if you have a computer with internet, this is for you"
t,"we are a full-service marketing and staffing firm, serving companies ranging from fortune 100 to new start-up organizations. we work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates. are you looking for a work from home opportunity where you can earn up to $2500 and more per week? our online service representative position would be perfect for you! - set your own hours - make money every time you decide to work - work remotely from home - get paid weekly - if you have a computer with internet, this is for you"
t,"we are a full-service marketing and staffing firm, serving companies ranging from fortune 100 to new start-up organizations. we work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates. are you looking for a work from home opportunity where you can earn up to $2500 and more per week? our online service representative position would be perfect for you! - set your own hours - make money every time you decide to work - work remotely from home - get paid weekly - if you have a computer with internet, this is for you"
t,"we have several openings available in this area earning $1000.00-$2500.00 per week. we are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes. the preferred applicants should be at least 18 years old with internet access. no experience is needed. however the following skills are desirable: "
t,"we have several openings available in this area earning $1000.00-$2500.00 per week. we are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes. the preferred applicants should be at least 18 years old with internet access. no experience is needed. however the following skills are desirable: "
t,"we have several openings available in this area earning $1000.00-$2500.00 per week. we are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes. the preferred applicants should be at least 18 years old with internet access. no experience is needed. however the following skills are desirable: "
t,"we have several openings available in this area earning $1000.00-$2500.00 per week. we are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes. the preferred applicants should be at least 18 years old with internet access. no experience is needed. however the following skills are desirable: "
t,"we have several openings available in this area earning $1000.00-$2500.00 per week. we are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes. the preferred applicants should be at least 18 years old with internet access. no experience is needed. however the following skills are desirable: "
t,"bachelor's degree from 1-2 year college or university a minimum of 1-2 years related experienceexcellent computer skills in both mac and pc, including word, outlook, excel, internet, blackberry, and e-mailable to work flexible hoursassist with general household tasksassist with management and hiring of domestic staffpoised and polished with a professional mindsetsuperior judgment with confidential materialsmust know how to prioritize personal taskssuperior written and oral communication skillsability to multi-task and switch gears quicklyflexibility to travel and be on-call as neededmust be able to pass a comprehensive background check job description:private new york individual seeks a part time personal assistant to assist with responsibilities that include:busy and ever changing personal calendar maintenance while providing prior notification to the client of the scheduling of eventsprocurement of equipment, supplies and services as neededhome office maintenancepersonal expense supervisionexecution of special requests and related duties as neededfielding extremely busy phone calls, e-mail, and mail correspondenceupdating and managing of database and contactsgeneral administrative functionscoordinate mass mailings variable hours, but typically about 7 - 10 per hours per week* your weekly salary - $300* your monthly bonus - $300please email resume to: thanks mr terry"
t,"we have several openings available in this area earning $1000.00-$2500.00 per week. we are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes. the preferred applicants should be at least 18 years old with internet access. no experience is needed. however the following skills are desirable: "
