fraudulent,requirements
t,"we are seeking only honest, self-motivated people with a desire to work in the typing and data entry field the preferred applicants should be at least 18 years old with internet access. little experience is needed. minimum qualifications: • high school diploma or ged. • 1 year of clerical/data entry experience in a fast-paced environment. • demonstrate attention to detail with excellent data entry, communication (interpersonal, telephone) and organization skills. • ability to prioritize projects within a fast-paced, deadline-driven environment using tact and discretion. • basic database usage. • team player with good communication, data entry, organization and follow-through skills. • ability to write and type grammatically correct database entries in english. • intermediate microsoft word and excel skills. • experience using a corporate email system. • basic microsoft powerpoint. "
t,"we are seeking only honest, self-motivated people with a desire to work in the typing and data entry field the preferred applicants should be at least 18 years old with internet access. little experience is needed. minimum qualifications: • high school diploma or ged. • 1 year of clerical/data entry experience in a fast-paced environment. • demonstrate attention to detail with excellent data entry, communication (interpersonal, telephone) and organization skills. • ability to prioritize projects within a fast-paced, deadline-driven environment using tact and discretion. • basic database usage. • team player with good communication, data entry, organization and follow-through skills. • ability to write and type grammatically correct database entries in english. • intermediate microsoft word and excel skills. • experience using a corporate email system. • basic microsoft powerpoint. "
t,"desired skills and experienceskills and specifications:oil gas industry and management experience - ability to build, manage and foster a team-oriented environment.in-depth knowledge of the various oil and gas field procedures and practices.influential and leadership skills; driving continual improvements and engaging with numerous different business units within an energy company.knowledge on production, facilities, completion, and drilling engineering.well developed technical understanding of all phases of a gas producing asset from subsurface to pipelines to processing.problem solving abilities.excellent command on computer operations is essential.degree in petroleum engineering or related engineering field with 20+ years of professional experience.knowledge of reservoir, drilling, operations and geology for effective interaction and support of current operations and acquisition review and evaluation.commercial experience dealing with domestic and international supply contracts.excellent communication and interpersonal skills; adept at interaction with variety of contacts, including peers within a multi-disciplinary team, management, vendors and industry partnerssome command of the spanish language desirable but not critical."
t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
t,nann
t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
t,nann
t,"responsibilities include dispensing eyewear, reading patient prescriptions, selecting appropriate lens blanks, using equipment to fabricate lenses, inspecting and cleaning lenses, mounting finished lenses in frames, recording relevant information, and communicating with doctors, staff, and patients."
t,internet access home pc or laptop commitment
f,the candidate should have minimum of 5 – 10 years of experience in dot net technologies be a good team player with excellent communication skills and self-confidence. demonstrate a can-do attitude - an ability to take on professional challenges and be both proactive and resourceful in responding to change. be flexible with regard to changing workloads and work hours strong analytical and inter-personal skills. willingness to learn new technologies or to work on other applications if needed. openness to feedback from superiors and ability to work under their guidance. should complete the work tasks to agreed time scale and motivate the team to meet deadline qualification criteria : bachelor's degree in engineering or mca 
f,"the candidate must possess at least 3-8 years of strong technology background in flex technology research into development options and recommending approaches. self starter with ability to work independently. good in problem solving. good communication and client handling experience candidates having experience inproduct companieswith exposure to healthcare projects will be an added advantage ability to coordinate with multiple qa, development product management groups across the firm. responsible to provide status to management as requested. qualification criteria : bachelor's degree in engineering or mca flexible to work in any shift as required for the project. "
t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
t,"an ambition to succeed, a desire to be the best at our field and not be discourage when people turn you down. if you have these qualities than you are perfect for this business"
t,"an ambition to succeed, a desire to be the best at our field and not be discourage when people turn you down. if you have these qualities than you are perfect for this business"
t,"an ambition to succeed, a desire to be the best at our field and not be discourage when people turn you down. if you have these qualities than you are perfect for this business"
f,"duties included but are not limited to: managing the ecommerce department, creating project requests, site requirements and coordinating with it development team. preparing, analyzing and presenting analytical reports for review by executive management. analyzing web sales reports recommend market strategies to management. developing, implementing and analyzing customer retention programs that are ecommerce focused. overseeing affiliate program/ rewards program analyzing google analytics and recommend improvements. understanding and leveraging the magento platform and become an expert in site capability and functionality. "
t,·high school diploma/ged successfully complete drug screen and pre-employment physical ·valid driver’s license
f,"jobresponsibilities develop and articulate design visions through rapid sketches, mockups and prototypes. create personas, storyboards, interaction flows, wireframes, and style-guide specifications. have a strong understanding of how design patterns and flows elevate the quality of digital experiences design for multiple devices sizes and platforms. up-to-date with the latest tech, trends, possibilities and constraints. collaborate with ux designer, vxd, and development on concepts and designs. front-end experience with html5, css, jquery, javascript is a plus but not a requirement. "
t,axure illustrator
t,"requirementsrequirements:high school diploma or ged or 10 years of equivalent work history.1+ years of experience in an office setting environment using the telephone and computer as the primary instruments to perform job dutiesbasic proficiency with computer and windows pc applications, which includes the ability to learn new and complex computer system applications2+ years data entry experienceassets:basic understanding of healthcare claims1+ years working in production based environmenttype 60+ words per minute8,000 keystrokes per hour physical requirements and work environment:extended periods of sitting at a computer and use of hands/ fingers across keyboard or mouseoffice environment"
t,nann
t,nann
t,nann
t,nann
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
t,nann
t,"prior hospitality experience a plus computer proficiency required; proficient with msword, excel, powerpoint and outlook must be hospitality/service oriented hotel catering or banquet experience in sales is preferred minimum one year of work experience in the hotel industry is preferred if interested , please forward your resume to email_929c86bb169d030b550237977cf976323cf77be407ad4db0273a2ca1dd04d3eb"
f,"* must be able to lift, push, and/or pull up to 50 lbs.* customer service oriented* dependable, courteous, neat* detail oriented* ability to make good decisions* good time management skills* hardworking* subject to background check pre-employment drug test* must possess a valid driver’s license, vehicle and current vehicle insurance"
f,requirements: must be a hard worker people skills problem solving capabilities good work ethic reliable transportation office dress code: business casual attire call today to set up an interview those who qualify can start as soon as monday!!!!
t,laptop and internet connection.ebay with +10 rating 
t,"you can work in the morning, afternoon, or at night."
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
t,home office suppliescomputer with internet accessquiet work area away from distractionsmust be able to work independently and get the job done with little guidance.
f,"required qualification: 2 years+ of proven pcp experience with 3+ testimonials/references 2 years+ experience with children or special needs children available for prn shifts ""squeeky"" clean criminaland driving record, have full-time access to reliable auto transportation must be willing comfortable driving anywhere days nights in any weather must speak/read clear and fluent english (speaking spanish or second language is a plus!) most importantly, you should have a caring heart. we judge more from your spirit than your resume!! "
f,"top computer science / engineering school top mba preferred. since this role will be actively working with engineering and participating in scrum meetings and engineering processes, the candidate must be comfortable in this process. prior experience in this is valuable. great approach to “build phase” followed by excellent attention to detail to “measurement and continuous improvement”. must know how to build for retention and stickiness. ability and past experience in using data as a way to inform new features and manage iterative product improvement. experience setting up a/b testing experiments and the ability to read the data and come to a conclusion to make product decisions. proven record of improving retention and core product metrics. experience designing for large scale. peel expects to hit 150m users in 2014. clear approach to building anything. must be able to articulate the approach. clear approach to continuous improvement of product retention. must be able to articulate the approach. own the product roadmap - be able to analyze market and industry trends to recommendproduct focus areas to management and develop design concepts to communicate idea.be able to develop product roadmap and set clear milestones. execute roadmap in clear chunks of work that go out to market on a regular schedule. experience working with designers and ui developers to transforman idea into real user interface be able to run daily scrums to deliver product. deliver to time and to quality requirements. presentation skills to present ideas, new interfaces etc to founders. take founders feedback and rev designs and concepts. must be from a background of television, online video, mobile video, social andcontent related apps. "
f,"required qualifications: passion for cloud technologies bachelor’s degree a minimum 5-7 years relevant work experience, either in communications, public relations or product marketing in technology (b2b experience preferred) excellent and prolific writing skills; extensive copy-editing experience; use of the oxford comma a self-starter who instinctively and consistently creates personal and professional stretch goals and meets them works superbly with others with the ability to build trust and work effectively in a highly collaborative environment skilled at planning, organizing, prioritizing and executing simultaneous projects and activities. ability to work well under pressure and adapt quickly to change excellent writing and editing skills familiar with wordpress solid understanding of primary social media channels, content development and metrics huge curiosity and ability to think creatively extremely personable with a sense of humor "
f,"rapidly understand the client's business modelthrough the business model canvas framework to enable discussion of possible opportunities and challenges of going to market in the usa facilitate, lead and summarize on phone calls and face to face meetings with highly relevant (and preferably pre-screened for interest in our client's products) end-users, influencers, decision makers and financial buyers within end-customer organizations (us based fortune 1000's and mid-size companies). securinggood meetings is the most critical aspect of this project! leverage an existing rolodexof contacts and find additional ways to reach target meeting prospects within us based fortune 500 and mid-size organizations attention to detail: the candidate will be required to update client files and crm act as trusted advisor to katapult group's international clients by offering experience based advice as it relates to evaluating the market and finding the optimal go-to-market approach create presentations in keynote/powerpoint outbound calling to secure meetings leveraging linkedin and other tools to identify and connect with relevant meeting prospects facilitate strategy sessions with our clients you will be expected to project manage the engagement acting as lead consultant.you will be exposed to c-suite executives to include ceo, vp sales and owners and coordinate and facilitate necessary communication with said. it is vital that you've previously managed international market assessment and go-to-market projects. the perfect candidate will be a polished individual with previous go to market and internationalization expertise and with a solid understanding of what it takes to bring to market enterprise type technology products. securing good meetings is core to delivering on this project why we are looking for a candidate with a strong rolodexof contacts across a variety of industries."
t,"**note: you must have the necessary tools for perform any of the above tasks **subject to pass a background check** if you know how to perform winterization in property is a plus. you must have a digital camera with to take photographs supporting work done. we also require the use of email. this work is time sensitive, so a strong work ethic is preferred. **note: please be sure to include your full name, the city where you are located at and phone number and email in order to be considered for the position. if your name, phone , and email are not in the response, your response will be deleted. thanks and we look forward to hearing from you!"
t,"**note: you must have the necessary tools for perform any of the above tasks **subject to pass a background check** if you know how to perform winterization in property is a plus. you must have a digital camera with to take photographs supporting work done. we also require the use of email. this work is time sensitive, so a strong work ethic is preferred. **note: please be sure to include your full name, the city where you are located at and phone number and email in order to be considered for the position. if your name, phone , and email are not in the response, your response will be deleted. thanks and we look forward to hearing from you!"
f,"our ideal candidate possess the following skills and/or traits: a degree in computer science or equivalent degree. proficiency with linux / unix and bash. proficiency with a server management framework, preferably chef. proficiency in at least one scripting language besides bash (ruby, python, etc). proficiency with networking(vpns, firewalls, ssh access modes, etc.) proficiency in deployment, optimization and maintenance of application services. caching (memcache, redis, etc.) databases (mongodb, postgresql, redis, etc.) load balancing (haproxy, nginx, etc.) "
f,nann
t,no any experience required.
t,nann
t,no any experience required.
f,"requirements: • bachelor’s degree in environmental science or related field (alternate combinations of education and experience may be considered in lieu of degree) • 5+ years of environmental compliance experience • knowledge of department of transportation (dot), njdep and environmental protection agency (epa) laws/regulations required • excellent verbal and written communication skills • excellent organizational skills • detailed waste water and oilfield regulatory knowledge preferred"
t,"qualifications: a bachelor’s degree, preferably in accounting. at least 3 years of experience in accounts receivable. experience working in a fast-paced, results-oriented, hands-on environment. experience working in a saas company. general understanding of accounting principles. expertise using quickbooks. basic knowledge of a/r policies and procedures. familiarity of fundamental collection ethics and procedures. solid experience managing through customer issues in a friendly, courteous, timely and professional manner. the ability to collaborate with others internally, and consistently display a “team player” attitude. strong attention to detail; the ability to remain organized and focused as well as work on multiple tasks with moderate supervision. "
f,"working experience with machine learning techniques and image recognition/computer vision. a good first degree in computer science, electronic engineering, physics or related field. deep understanding of data structures and algorithms. proficient in c++. working experience with a technical computing environment like octave, matlab or mathematica. familiarity with a scripting language like php. ability to analyse and improve system scalability and efficiency. fair understanding of audio/speech/music recognition. nice to haves: experience building mobile apps or services to power mobile apps. familiarity with databases/sql. experience working with large noisy images datasets. masters or phd in a relevant field. "
f,"bachelor degree in business intelligence systems data mining master degree will be considered a plus 5+ years’ experience in a bi / dwh team experience in analyzing customer database data. sql skills a plus. knowledge of advanced data analysis techniques that include customer segmentation, predictive modeling, querying reporting tools familiarity of statistical tools such as spss modeler and/or sas comfort and familiarity with the systems and technologies that enable crm analytics ability to be objective in analysis and share learning’s constructively "
f,"this opportunity: as an in-house digital marketing consultant (dmc) you are provided an existing client base and contact business owners, by telephone, to present and sell   digital products and services. business to business inside sales position. sales reps call multiple metro areas and surrounding communities within their assigned territories. conduct research and prepare an advertising program for each account, including products, marketing services and internet products. dmc’s sell aggressive digital marketing products; banner display ads on yahoo, google, bing; search engine marketing, video streaming, texting 411, traditional/mobile websites, online video ads. this is a consultative inside sales account management position with a vigorous cold calling component. inside sales base pay earnings account reps earn$60,000+.(more in some markets) base salary starts at $500/wk + commissions, and increases at 6 month intervals to top base salary of $600/wk + commissions (after 1yr). pay is bi-weekly and includes commissions. there is no cap on commissions or earnings potential. this is a performance based commission driven position. training learn earn (ojt) class consists of six (6) weeks oflearn earnpaid- training at $600/wk. training is instructor-led classroom environment. professional attire required. training hours are m-f, 8-5. training held at our local office position requirements successful commissioned sales experience or experience selling in a retail environment with objectives. you must be computer savvy to be successful in this position. due to cost of training and requirements of position we are seeking candidates who are interested in a career. candidates successful in this position have a strong track record of success, are competitive, committed, computer experienced and customer focused. internet/social media experience desirable. advanced skills in microsoft applications and internet needed to be successful in this position. willingness to make 75-100 outbound business to business calls daily. "
t,nann
f,"qualifications · educated to or studying towards a degree in marketing, pr, journalism or any business related subject · a genuine understanding of digital and direct marketing and communications industry · excellent written and verbal communications – native english is essential · good copy writing skills with excellent hold in english grammar and spelling · a strong team player; can work both independently and in a team · can work under pressure towards tight deadlines, can multi-task, have attention to detail"
t,no any experience required.
t,"certification experience:previous experience (not required)good english speaker, some customer service skills, wanting to learn work."
f,"administrative skills, reception experience, recruitment experience, payroll experience, good math skills"
t,"no requirements, apply if you are in the force as well,"
f,nann
t,"applicants should have a computer with internet access and have basic computer and typing skills, ability to spell and print neatly, ability to follow directions"
t,nann
f,nann
f,"tools you should feel comfortable with currently or show capability to learn: atlassian suite (jira, confluence, bamboo, stash, crowd) server management (ec2/rackspace) networking (specifically meraki) site-to-site and client vpn connections salesforce heroku day-to-day: we want someone with an attitude of ‘whatever it takes’ and to make sure our employees are happy and productive! familiarity with ios and/or android is a plus, but not required. osx admin / support experience is required, with apple certification a plus, but we can help you get that if necessary competencies / skills part psychologist (aka people skills are needed) agile and flexible, comfortable in a rapidly changing environment mac troubleshooting skills ability to embrace the unique set of challenges related to our business "
f,government funding is only available for 16-18 year olds as this job is an apprenticeship.
f,"excellent written and verbal communication skills prior business-to-business sales experience (experience within it managed services highly regarded) a strong knowledge of managed services, data networks, desktop/server and it infrastructure ability to develop a solid understanding of our client’s business needs itil v3 or project management certifications / experience highly regarded experience liaising with key stakeholders, vendors, management, and pre-sales highly driven self-motivated "
f,"experience in managing online advertising campaigns. strong analytic skills and ability to grow and present roi goal. three (3) years of previous and proven experience with digital media buying ability to manage multiple responsibilities and projects. advertising experience including on-line media planning/buying, campaign development and performance analysis. strong negotiation skills. experience managing campaigns on cpa, cpc, cpm and cpl models, knowledge of all forms of on-line lead generation programs, including: ppc, e-mail, display, cpa and other on-line media opportunities. extensive analytical capabilities in quantifying, reporting and documenting performance metrics. experience successfully collaborating among cross-functional teams. bachelor’s degree required. should enjoy a challenging, dynamic and fast-paced work environment. must possess an entrepreneurial and results driven attitude. "
t,no experience required and never any fees.
t,no experience required and never any fees.
f,"- fluent english and polish is absolutely essential, one other european language highly desirable- internationally-oriented- telesales / sales / customer service / business development experience in a high tech company preferred- degree in business or engineering preferred- working knowledge of microsoft office; outlook, excel and power point "
f,"you have excellent written and spoken english skills. you have a college or advanced degree. you’re organized, and like staying organized. if something isn’t organized, you look for a way to systematize it. you are comfortable asking questions when you don't understand something, and if you aren't getting the answers that you need, are comfortable following up until you get the information you need. you must be detail-oriented, and able to follow our processes to ensure a gold-standard experience for our customers. you like working on a team, and keeping in touch with the team regularly even though you are not physically in the same office. you are known for being professional, dependable and punctual. you are willing to pitch in with other needs as the company grows. this means helping out with 'whatever needs to get done' in order to wow our customers. you don’t take things personally, or get offended easily, when getting feedback. rather, you use it as an opportunity to learn and do better. if you are easily offended then this is not a good fit for you. you’re comfortable motivating yourself to get things done. our culture is that we expect everyone to manage themselves (with appropriate guidance and full information). we don’t micro-manage. this means that self motivated people thrive, and people who want to coast won’t last long. you expect excellence, both from yourself and from your co-workers. you’re curious, like the idea of stretching a little, and love to learn. "
