,fraudulent,benefits
2396,t,"what is offered our client's core values drive their culture. this is what they believe and we support: watch the culture video to learn more. make customers successful ""customers' success is ours. we live to solve their problems, improve their futures, and exceed their expectations. when our customers win, we win."" set the bar high. ""we're trying to revolutionize an industry, so we can't be just good—we have to be the best. that means striving for the best team, product, and company on the planet."" be accountable. ""we own our work. we keep our promises. and we always follow through. we take responsibility for failures, and humble bows for successes. there's no time for excuses and finger pointing."" show integrity. ""forget loopholes, back doors, and shades of gray. we just say it. we are honest and straightforward with everyone. the only way we can bring clarity to a chaotic world is to walk-the-walk ourselves."" make each other better. ""everything we achieve, we achieve together. nobody is too important to grab a broom."" always move forward. ""we see the world as it could be, not just as it is. with our passion for finding new solutions to old problems, we're creating that new world. it's a future worth adapting to."" the benefits generous paid time off to help you maintain a good work-life balance fully catered lunches available everyday to all employees at the corporate office offices fully stocked with snacks and refreshments to keep you energized and productive extensive employee benefits and perks to show how much we value your efforts fun team events, company events, employee sponsored events, employee recognition awards, and more! we are currently under contract with our client in attracting, engaging and initiating the hiring process. we are working directly with the hirng manager for this role and welcome the opportunity to discuss your candidacy with you. thank you for your time and consideration. we look forward to hearing from you. please direct resumes, questions and inqueries to darren lawson | vp of recruiting | email_f4da338e899ddba983ac771b001681d1d2d93b3327ddc420a15f4e5a310071a9 | phone_90d33c9d7ec1484aebfe37b153d677decc6f5f53b316489ed24061544c04eb66"
14434,f,"$9.47/hour, 5% increase to $9.95/hour after successful 90-day trial service period. great medical, alternative, and vision benefits for employee, spouse/domestic partner, and children. generous paid time off. holiday pay (double pay for the first 10 hours of any holiday shift). 401k plan with up to 3% company match. paid mileage. on-going, and fully paid training. "
884,f,"competitive salary equity 100% premium-paid medical, dental, vision, and life insurance flexible vacation policy great location in the heart of soma sf workstation setup of your choice free weekly gourmet lunches endless snacks and beverages of your choice team and family events and excursions game room "
11653,f,nann
7183,t,"health care,dental insurance, life insurance, 401k , retirement stock plans"
16549,f,nann
6539,f,nann
4723,f,"we offer a very nice benefits package. dental/vision/401k. paid holidays, vacation, sick and personal days."
2942,f,nann
5914,f,"plenty of perks as well as the opportunity to solve complex problems in this exciting new era of big data, here’s what we offer: realistic performance related bonuses generous equity options mean you’ll own a piece of the pie excellent health and dental insurance packages a relaxed approach to time off and enough holidays to see several corners of the world fridge fully stocked with healthy snacks and the ultimate espresso machine for your java fix a competitive office where we play foosball, football, scrabble, go-karting… you name it, we’ll play it thank qubit it’s friday – we have lots of creative ways to let off steam at the end of the week plenty of opportunities for training and development "
4729,f,"viva online services provides a creative, challenging and dynamic environment which encourages team spirit, cooperation and continuous learning.all applications will be treated as strictly confidential. currently in our fastest growth period, the selected candidate will have the opportunity to grow with us and expand his/hers professional horizons."
4650,t,"stay home or do itany where in the country, pick your own hours part-time or full-timeyou will be your own boss. work part time earn full time pay."
14082,f,w.m. sprinkman offers a competitive benefits package.
6994,f,nann
16587,f,"new visa processing, h1 transfers, perm processing and green card processing. we have an excellent track record for immigration. tpc provide excellent nationwide health coverage along withthedental and vision benefits company paid long term disability, short term disability and life insurance tpc provides standardized, consultant bonus plan based on billable work paid quarterly working on most complex and cutting edge sap solutions available, many of them on ramp up projects long beforethesoftware is generally available senior members involve experienced people who had direct participation in sap product development amongthemost dynamic and fastest-growing companies inthesap industry "
5804,t,"we offer a competitive salary, and growth opportunities for the ideal candidate."
3326,t,nann
816,t,"we are a team of almost 8,000 employees who help power almost 40 million homes and have more than 2 million residential and business customers across the country. together, we are powering progress every day—from california to texas and new jersey to arizona."
15934,f,nann
2636,f,rapidminer is an equal opportunity employer. we offer competitive salaries and excellent benefits.
16386,f,nann
9356,t,we offer • friendly colleagues in an industry with a bright future.• an environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• competitive benefits and strong focus on work-life balance.
7084,f,nann
10169,f,nann
8488,t,"competitive compensation package including base + full benefits package + expense account + per diem and increase in base + many perks. clean, safe and professional working environment / culture. the management team has a great reputation for taking good care of employees. steady, consistent employment opportunity- company has a history and reputation for the tenure of employees for the long-term. no layoffs or terminatins. when work is slow the team always has work to keep current employees on a full-time status so you can feel confident your employment will be steady and something you can count on. if you like to travel and enjoy your indipendence, this position is for you. you will be traveling to multiple sites on overnight visits throughout the week and be working mostly indipendently. the position is available right away as we are prepared to move forward fairly quickly upon identifying the right candidate. qualified candidates are encouraged to apply directly to this job posting. direct email and phone calls are not being considered. thank you for your cooperation. please no recruiters. "
4927,f,nann
16500,f,nann
2044,t,we offer• friendly colleagues in an industry with a bright future.• an environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• competitive benefits and strong focus on work-life balance.
7390,f,nann
9324,f,"use your own bike, car, van etc. no passengers or messy/smelly food flexible hours fun people be part of a magical and revolutionizing service "
1920,f,nann
944,f,"competitive benefits include: salary: $85,000 - $125,000 (doe) 401k, company vehicle, health, vision and dental benefits please respond with letter of interest, resume and contact information."
17780,t,descripción de prueba
17778,t,nann
2310,f,nann
16859,t,nann
571,f,"our bright, open, centrally located offices are energetic environments bursting with collaborative ideas and boundless enthusiasm. as a growing company spearheading the exciting augmented reality industry, the biggest perk of all is the creative freedom and control you’ll be afforded; this is a genuine opportunity to shape a brand new medium and the way in which people all over the world use it. you will be working closely, and from the start, with some of the world’s leading brands, media agencies, publishers and educators - including pepsi, warner brothers, procter gamble, conde nast, disney and coca cola - developing creative augmented reality solutions for global powerhouses across the full spectrum of industries. what we are doing has never been done before, so an active imagination is something we value particularly highly. blippar’s senior management team are dedicated, hands-on, approachable people who will nurture your talent and encourage the development of your own ideas; we believe these are key to the continued success story of our platform. being part of blippar’s close-knit, passionate, forward-thinking team affords plenty of potential for learning about and getting involved in all sections of the business. as a creative tech company offering spectacular marketing solutions to clients, there are few areas we don’t touch upon. life at blippar is a steep learning curve, ideal for ambitious candidates who wish to push themselves into completely uncharted territories. we also offer: competitive packages great benefits and shares scheme employee incentive scheme flexible working environment weekly beers and free lunches our office dog (london) international travel opportunities chance to develop groundbreaking tech work with state-of-the-art hardware and software access to new wearables including google glass a challenge to change the world chance to shape a new industry creative freedom and control experience with all mobile operating systems collaborative opportunities with huge brands please apply now for more information about this role, or check our careers page for details of other opportunities to work with us."
13734,f,nann
169,f,nann
8813,f,"benefits include our team members enjoy a positive working environment with opportunities for professional growth through training and advancement from within the organization. our team members also enjoy a comprehensive benefits program including: medical and prescription coverage basic life insurance, 401(k) with company match employee assistance program employee discounts on vehicle purchases, parts and service paid-time-off we also offer a group of supplemental benefit plans including dental coverage, short-term disability, long-term disability, and supplemental life insurance. opportunities for career advancement.**please no phone calls or in person submittals - all applications must be completed and submitted online - we will review your resume and be in contact with you should it fit our current needs and requirements - thank you for your interest in stokes automotive group."
6685,t,nann
7030,f,excellent professional development opportunities creative opportunities in state-of-the-art technology and entertainment market competitive remuneration package bonus scheme extensive training both locally and internationally friendly and challenging working environment 
11804,f,"includes attractive competitive base salary and benefits, working closely with a highly motivated team in a dynamic and fast paced environment that provides the opportunity for rapid career development. "
1152,t,nann
9744,f,"competitive base attractive stock option plan medical/dental/vision insurance use as much as you need vacation/pto 401k enrollment commuter checks or pre-tax transportation reimbursement options flexible spending account option casual and fun work environment gym membership weekly catered lunches flite does not accept unsolicited resumes from recruitment agencies, and is not responsible for any fees related to unsolicited resumes."
7062,f,"package salary up to total £90k, inclusive of allowances tax free - accommodation - 3 leave a year with free air-tickets - free medical care/medical insurance - 1 year contract renewable with merit increase - long term employment opportunity - car provided - tax free"
1593,f,health insurance (after 90 days of employment) paid time off (after one year of employment) quarterly incentives product discount restricted use of the facility 
13697,f,"we offer possibility of advancement of your personal and professional skills in an innovative and fast-growing company with scope of design collaboration in a young, dynamic and motivated team with a flat hierarchy a great place to work in the heart of bielefeld, germany or from wherever you want to in the world (remote) enjoy a leisure room with table-tennis, gaming, fully furnished kitchen and balcony attend national and international business and web conferences are you ready for this new challenge? send us your application which includes a cover letter, curriculum vitae, desired salary and date of joining the company toemail_70bb2402d17231eba9d13883ec57ac5fb2b9ea70b0cf2bd81e544a6d5f3a29d1 you can’t match all required skills but you think you can learn fast and make up the deficit at work and free time? please apply as well. are you ready for this new challenge? give us a call at+49 (0) 521 – 44 81 44 – 0or write us anemail."
11276,f,the opportunity to work in dublins premier high class store.
2863,f,benefits… product discounts a great environment to develop your career and skill sets salary:35-45k
1295,f,why bcg? is bcg for me? career growth working at bcg meet bcgers faq “top 5 fortune’s best companies to work for” 96% of the staff is proud to be part of bcg 92% of alumni recommend bcg as place to work bcg works with 2/3 of fortune 500 companies 
6510,f,"join a young and dynamic company, among the leader in its field career evolution opportunities a friendly working environment with curious, passionate and open-minded colleagues live in the south of france! "
17571,t,"company looking to fill a few csr places, job duties are very simple this is internet home business free to sign in free to start without putting any money. who’s looking to make money without spending any money you can work part time or full time as a customer service representatives. this is home business job descriptions answering incoming phone calls, replying to emails, following up with existing callers no selling or no experiance require.need more information about this ad please contact with call (386)320-3924"
9332,f,"working within a small, young dynamic team in a rapidly expanding start-up, almost too much responsability at times. occasional trips to paris, event invitations and more.salary: up to 19k per annum and exellent benefits."
5569,f,nann
1709,f,nann
17769,t,"benefits include:medical, rx, and wellness benefits.dental and vision plan options.short-term disability.401(k) retirement plan.holiday pay."
4816,f,nann
5440,f,we are happy to pay for high performers. we want the best.
11209,f,"salary and benefits: this high profile leadership position, based in west los angeles, offers a wonderful working environment among devoted staff and board members, the opportunity for professional and organizational growth, an exceptional package of health benefits vacation, pto time, a starting first year annual base salary of up to $150,000 and a job you will love. how to apply: for immediate consideration, please submit a resume and cover letter to envision consulting. about our firm: envision consulting conducts retained searches fornonprofitclientsseeking to expand and enhance their mission through talent acquisitions. we specialize in providing solutions to not-for-profit organizations, offering coaching, planning and staffing tailored specifically for growth and impact. because we understandthe nonprofit arena, envision consulting is uniquely positioned to attract and engage passionate and experienced leaders. you can learn more about envision consulting at "
950,f,benefits available after 90 days
4479,f,"our bright, open, centrally located offices are energetic environments bursting with collaborative ideas and boundless enthusiasm. as a growing company spearheading the exciting augmented reality industry, the biggest perk of all is the creative freedom and control you’ll be afforded; this is a genuine opportunity to shape a brand new medium and the way in which people all over the world use it. you will be working closely, and from the start, with some of the world’s leading brands, media agencies, publishers and educators - including pepsi, warner brothers, procter gamble, conde nast, disney and coca cola - developing creative augmented reality solutions for global powerhouses across the full spectrum of industries. what we are doing has never been done before, so an active imagination is something we value particularly highly. blippar’s senior management team are dedicated, hands-on, approachable people who will nurture your talent and encourage the development of your own ideas; we believe these are key to the continued success story of our platform. being part of blippar’s close-knit, passionate, forward-thinking team affords plenty of potential for learning about and getting involved in all sections of the business. as a creative tech company offering spectacular marketing solutions to clients, there are few areas we don’t touch upon. life at blippar is a steep learning curve, ideal for ambitious candidates who wish to push themselves into completely uncharted territories. we also offer: competitive packages great benefits and shares scheme employee incentive scheme flexible working environment weekly beers and free lunches our office dog (london) international travel opportunities chance to develop groundbreaking tech work with state-of-the-art hardware and software access to new wearables including google glass a challenge to change the world chance to shape a new industry creative freedom and control experience with all mobile operating systems collaborative opportunities with huge brands please apply now for more information about this role, or check our careers page for details of other opportunities to work with us. "
17341,f,"at we love to work and have fun, therefore, you will be part of our extended family. you will never be hungry, lonely or bored. life is too short: enjoy it! health benefits (yearly contribution to your fitness activities) a nice pension plan subsidised food free coffee and snacks insurance plan 3-6 months start up apartment/room in visby yearly get together at secret locations on gotland travel exchange with our office in silicon valley "
3115,f,work as a paid intern in an exciting new startup be a part of taking a fast paced startup to the next level learning and networking opportunities flexibility to work remotely as and when needed hours will vary initially but we expect that the role will grow as we develop. the role would involve working from our london office but there is the option to work from home or university if necessary. if your interested in applying for the position please submit your application here.
3602,f,"- your laptop of choice + large monitor - flexitime: start your workday anytime up to 11am on the day. - work from home once a week - no dress code formalities - annual training budget to develop your skills and career - monthly book allowance service - on any book you like - part of an entrepreneurial company that's raising the bar, and calling the trends of the app economy"
3131,f,nann
1867,t,nann
6145,t,nann
10297,f,nann
15907,f,nann
14386,f,"- as an early employee you will get a true stake in the company - competitive salaries - poker nights - apple equipments - italian food cooked by the founders - free lunch 2 times a week. - official mashaper - 1 week/year in a spiritual retreat with the team somewhere in the world - a 2nd family - whatever problem outside of the work, we’ll be there - vacation days time off - awesome medical, dental, vision insurance - 401k - company dinners happy hour - much more…"
3316,f,"what you’ll get from us an opportunity to work at a true start up – no rules, no bureaucracy, empowerment and the opportunity to make a real impact on the business be a part of a top team and changing the way people travel at a fast growing company funded by top investors be part of and live the full experience of thinking, designing, implementing and executing a global idea. benefits: competitive salary private medical insurance free breakfast, coffee and lunch hardware and software of your choice - as long as it’s apple "
14638,f,nann
9331,f,nann
11105,f,nann
7370,t,"this is a full time, salaried position. let us pay you what you are worth. flexible schedule – we want you to have a happy work/life balance. you get to live in bloomington, indiana and work downtown – it's pretty great here. check out this video: rideamigos rewards hard work and loyalty. growth potential out the wazoo for the right person. and more... "
9248,f,"monthly gym membership monthly phone stipend and new iphone upgrade health, vision and dental insurance monthly ventra stipend relaxed and fun environment "
12077,f,competitive compensation based on experience health insurance stock options company vehicle farm visits! 
6878,f,nann
4743,t,"competitive salaries and comprehensive benefits and programs including: health and welfare, pension and 401k, employee assistance program, domestic partnership benefits, career mobility, employee network groups, volunteer opportunities, and other programs"
10944,f,nann
5972,f,nann
12217,f,nann
7918,f,"what's in it for you-competitive salary-equity options-pto/ vacation timeso, if you are a front end developer with experience, please apply today!looking forward to receiving your resume through our website and going over the position with you."
12311,t,"your compensation package includes a gross salary of $25.00/hour plus a monthly bonus based on the performance*, health insurance (anthem blue cross, including dental vision insurance plans, with 50% of any family members also paid), a 401(k) plan with intuit inc.**, and paid vacations and holidays (15 days per year paid after the first 90 calendar days of work). all new employees must complete a 2-week probationary and set up period before becoming eligible for the benefits. *the more partners you serve the more you earn. according to our statistics, the average customer service salary in 2013 was $78,000, with the middle percent earning around $60,000. the salary for the lower ten percent in this field was around $44,000, while the highest ten percent made more than $102,000. these figures are based on a 40 hour work week schedule. thus your salary and bonus are negotiable.**for every dollar you put into your 401(k), we will also put in a dollar. once you reach a total of 5% contribution of your annual gross income, we won't add any more dollars to your account until the next calendar year."
8400,f,nann
11067,f,nann
14066,f,nann
9910,f,nann
1078,f,competitive salary 401k with employer match (up to 4%) health insurance dental insurance cool office in williamsburg with amazing rooftop view of manhattan small but fun team pets welcome snacks and amazing coffee daily pick your tech gear 
6430,f,nann
6733,f,nann
537,t,nann
14450,f,exellent
13128,f,nann
11611,f,nann
12732,f,competitive salary equity in a fast growing start-up lunch dinner provided daily healthcare 
6887,f,nann
7002,t,nann
8012,f,"since 2001, magneticone has been an innovative software development company providing full-cycle services. magneticone products help online merchants from all over the world to get more revenue. company provides a number of ecommerce solutions for effective store management, seo and marketing automation, comparison shopping engines. we are looking for a responsible, result oriented, open-minded, self-motivated person, with excellent communication and customer service skills."
17061,f,"we provide a fun and rewarding atmosphere, our employees are supported at all levels to achieve a common goal. we also have the traditional benefits including: vacation pay sick pay holiday pay 401k plan health, dental, and vision insurance "
5870,t,"compensation package:$16.25 per hour (biweekly pay) medical/dental plan. 401k retirement plan. paid vacation, sick and personal days. "
15405,f,"responsibility from day one in the strongest market of babbel insights in different online marketing fields (display, affiliate, partner, tv etc.) opportunity for personal growth and development in single or cross-channel learn from a team with strong expertise in performance marketing work in a truly international start-up "
14597,f,nann
15349,f,nann
11527,f,"apart from all-expenses-paid company holidays twice a year(which are completely insane), stock options in one of europe’s most hotly tipped startups, a sexy laptop of your choice and team lunches bi-weekly, you won’t get much in the way of extras.however, we will give you a fun, friendly atmosphere, plenty of opportunities to grow and the chance to be part of our little revolution. oh, and coffee, there’s plenty of coffee."
1407,t,nann
17610,t,nann
948,f,"as an employee of codebender, you are entitled to our vested ""employee stock option pool"". so if you stay with us for a certain period of time, you will be given a pre-agreed percentage of equity in the company."
14719,f,"benefitswe offer our employees the following comprehensive benefits plan:• $11.50/hr for training• tenure based pay raises• performance based bonuses• medical, dental, vision insurance• 401(k) with company match• paid time off"
14482,f,flat hierarchies and a productive work environment the opportunity to take over responsibility and work with an international and dynamic team a modern office in the heart of berlin the unique experience to shape a developing company 
2313,f,nann
8832,t,"novation offers a competitive,comprehensive benefits and compensationpackage. novation i is a growing and changingcompany that is looking for top talent to continuebuilding a high-performing organization. if you'relooking for a career at an extraordinary company, novation is the place for you!"
17646,t,nann
2890,t,salary:119k cad skype: email: email_11728081a815d4106982c8e46f4d73c3c78f5c0d57a1a2517ba10dfe4dc9b09e
14955,f,nann
5306,f,"benefits include: health, dental, life and add insurance, employee wellness and 401k time off and holidays with generous company discounts ."
13483,f,we have a phantastic work environment. see our benefits perks: the greatest benefit: become part of something amazing. with real impact. now.
5641,f,"pint offers 100% company paid medical, dental and vision benefits, a 401k and paid vacation, holidays and sick time. pint is an equal opportunity employer. follow us on twitter@pintsd"
16503,f,"medical insurance provided after probation 100% english and open working environment competitive salary and benefits a lot of new technologies, such as apple, android, google, kindle, etc. "
6810,f,nann
603,t,we offer • friendly colleagues in an industry with a bright future.• an environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• competitive benefits and strong focus on work-life balance.
11444,f,nann
5418,t,nann
17124,f,"competitive compensation package health, dental and life insurance meal allowance (“vale refeição”) flexibility to choose your own custom setup (computer, monitors, os etc.) "
2341,f,"employment details: • great potential for growth in the role and the company based onperformance. • the chance to get in at the ground level of a game-changing company. • fun, creative and challenging work environment. • position is full-time in our east london office. • reporting to the ceo and sales and retail manager. "
4106,f,see job description
15995,f,"green street advisors offers a competitive salary and benefits package that includes health, dental, life insurance, long term disability, paid vacation, holidays, and a 401(k) match. we also offer voluntary benefits such as flexible spending and vision. green street advisors, inc. is an equal opportunity employer"
7892,f,"work for an employee owned company that provides the best of both worlds: a high quality, union friendly environment that is also a well run business continuously striving for improvement. rewards are shared by all those who contribute to the success of the team, the project, and the company. competitive compensation, including strong benefits package."
10672,f,"it’s a crazy fulfilling mind blowing team to be a part of, however beware, when you come to planet mediq you will enter what we call the time vortex, where a day feels like a week because you lived a normal week in a day and achieved more than you would in two! there is no business like ours in the world, we are growing fast and have big plans, so this is your chance to invent with us as we go. to us the experience is everything. we are going to make australia stand up and take notice of how business should be. if you are the right person, then these last sentences were the clincher for you; what you just felt is your future in your hands. to find out about us go to our business site: google us to find out more about the awards we win and why we do what we do. we don’t create pigeon holes and then stuff you in them. at our place, the saying ""it’s not my job"" doesn’t exist. we are building something special and we do it together! team and culture is more important to us than a piece of paper with 'whatever' written on it. don’t get us wrong, you do need skills, but we know the true value of a person lies not in that piece of paper but in their character, their integrity, and their passion for what they believe in. ok, back to business... your pay structure will be determined based on your skill set, qualifications and basically, what you can bring to the table. this can only be determined in consultation and negotiation with you. this is a full-time or permanent part-time position, and is based in our spacious offices on st kilda road, melbourne."
