fraudulent,benefits
f,"join us if you want to experience an unconventional work environment in a fast growing startup. we will provide you with all the top-notch tools out there (hubspot, visual website optimizer, mixpanel, totango and more are already in the house) to enable you to do your best."
f,"why you’ll love prodigy:huge growth opportunities our company size has doubled in the last year, and we’ve raised over $1,000,000 in grants and initial investment. we place a huge premium on our team, and as we continue to expand, we will ensure that our best and brightest are always expanding their skillset and growing along with us through job perks and financial incentives. be the big fish we pride ourselves on creating an environment where good ideas win, period. if you have a fantastic idea, it’s typical to see it in our product within 6 weeks. you’re not a cog, and we won’t treat you like one. transform society there’s a reason we chose to work in elementary education: our students need help, and we’re making sure they get it. in an 8 week study, students using prodigy showed a 77% learning gain vs. a control group, and we’re actively working with leading researchers across canada to help transform our education system. "
f,"salary is based on experience and ability + beneﬁtsindustrial color productions is part of a family of vertically integrated creative production companies that provide high-end production, post-production, online services, technology development, and related services. industrial color brands includes impact digital, industrial color, industrial color software, fast ashleyʼs studios and the m project gallery."
f,"τί προσφέρουμε: in-house εκπαίδευση συμμετοχή σε συνέδρια και άλλα events του χώρου ευχάριστο περιβάλλον εργασίας την ευκαιρία εργασίας στον μεγαλύτερο digital όμιλο στην ελλάδα (linkwise, atcom, mindworks, uxlab) σχετικά με εμάς: η linkwise αποτελεί το πρώτο και μεγαλύτερο performance marketing network στην ελλάδα. από την ίδρυσή της το 2008, έχει καταφέρει να εδραιωθεί ως η κορυφαία εταιρεία performance marketing με περισσότερους από 300 διαφημιζόμενους, συμπεριλαμβανομένων των μεγαλύτερων ελληνικών brands (όπως aegean airlines, cosmote, folli follie, public, electroworld, toimoi,   κλπ.). h παρουσία της linkwise είναι πλέον διεθνής, με γραφεία εκτός από την αθήνα, στην κωνσταντινούπολη και πελάτες από πολλές ακόμα ευρωπαϊκές χώρες. περισσότερα στο   και στο  "
t,salary:120k 
t,nann
t,nann
t,"what is offered: competitive compensation package 100% matched retirement fund annual vacations paid for by company significant bonus structure opportunity for advancement full benefits package annual performance reviews and base salary increases annual cost of living increases sound, clean, safe and enjoyable working environment company culture world renowned management and executive team who promote from within, leverage careers and invest in employees for the long-term success of their careers and overall company/employee goals qualified candidates are encouraged to apply directly to this job posting. direct email and phone calls are not being considered. thank you for your cooperation. please no recruiters. "
f,"benefits package includes: health insurance, paid vacation/sick/holiday, bonuses, simple retirement plan,relaxed professional atmosphere, and a team oriented environment."
t,"insurance:medical, dental, and vision available the first day of the month following your hire date and life insurance eligible immediatelypaid time off:vacation, personal time, sick time, and holidays"
f,nann
f,nann
f,nann
f,"pay rates - starting from £7.06temporary contract, which will end in january 2015 christmas bonus"
t,"health, dental, life and add insurance, employee wellness and 401k   time off and holidays with generous company discounts."
t,nann
f,"● .1% stock option ● excellent health benefit plan ● 3 weeks paid time off per year, plus unlimited unpaid time off ● 1 day paid employee volunteerism per month ● flexible hours ● travel opportunities ● room for growth, including leading your own team ● fun and easy-going environment "
f,"¨vital ocio 7 islas¨ ensures for the entertainer: help for employment documentation arrangement, free accommodation and full board salary from 790 eur to 1300 eur (netto, per month), depending on the experience, duties and the level of responsibility, paid travel costs if the trip is a part of the job duties and is agreed with the company. "
t,nann
f,we offer: competitive compensation packages comprehensive training programs astimulating and multinational working environment opportunities to work abroad very good career advancement opportunities
f,nann
t,nann
t,"competitive compensation package including base + full benefits package + expense account + per diem and increase in base + many perks. clean, safe and professional working environment / culture. the management team has a great reputation for taking good care of employees. steady, consistent employment opportunity- company has a history and reputation for the tenure of employees for the long-term. no layoffs or terminations. when work is slow the team always has work to keep current employees on a full-time status so you can feel confident your employment will be steady and something you can count on. if you like to travel and enjoy your independence, this position is for you. you will be traveling to multiple sites on overnight visits throughout the week and be working mostly independently. the position is available right away as we are prepared to move forward fairly quickly upon identifying the right candidate. qualified candidates are encouraged to apply directly to this job posting. direct email and phone calls are not being considered. thank you for your cooperation. please no recruiters. "
f,nann
t,nann
t,weekly competitive pay and fulltime benefits after 90 days.
t,"the benefits generous paid time off to help you maintain a good work-life balance fully catered lunches available everyday to all employees at the corporate office offices fully stocked with snacks and refreshments to keep you energized and productive extensive employee benefits and perks to show how much we value your efforts fun team events, company events, employee sponsored events, employee recognition awards, and more! "
f,"we offer a great working environment and a competitive compensation package which includes: base salary, health, dental and life insurance benefits, a total of 15 days vacation/personal time as well as additional paid holidays."
t,competitive pay benefits excellent on-boarding and on-going training accrued paid time off tuition reimbursement for full-time employees free meal per shift 
t,nann
f,"benefits in return, we will provide you with a generous benefits package including 25 days annual leave, a discretionary bonus, a car allowance, a defined contribution pension plan, access to a range of flexible benefits, an employee assistance programme, and private medical insurance,"
t,nann
f,"we get better work done for our clients when all our employees are paid well and have excellent benefits, including group health, dental, and life insurance and a retirement plan. so that's the way we do it."
t,profit sharing bonus 
f,"an opportunity to join an energetic, entrepreneurialcompany with a solid track record for growth competitive salary doe health insurance 401k with company match "
t,"organizational and planning, time management skills and the ability to prioritize work, data management, attention to detail and accuracy, problem-solving, adaptability, customer service orientation, team work, communication skills - verbal and written, and confidentiality."
f,nann
t,"competitive compensation package, benefits and exciting advancement opportunities with this industry leader. salary between $30,000-$45,000 position type : full-time position"
f,free parking in a downtown garage enjoy our office culture and environment including free food and beverages 
f,"we offer our employees with: exceptional career opportunities; stimulating and fast-paced work environment; and, comprehensive compensation and benefits package. "
t,"our core values drive our culture. this is what we believe: why  ? watch our culture video to learn more. make our customers successful our customers' success is ours. we live to solve their problems, improve their futures, and exceed their expectations. when our customers win, we win.set the bar high. we're trying to revolutionize an industry, so we can't be just good—we have to be the best. that means striving for the best team, product, and company on the planet.be accountable. we own our work. we keep our promises. and we always follow through. we take responsibility for failures, and humble bows for successes. there's no time for excuses and finger pointing.show integrity. forget loopholes, back doors, and shades of gray. we just say it. we are honest and straightforward with everyone. the only way we can bring clarity to a chaotic world is to walk-the-walk ourselves.make each other better. everything we achieve, we achieve together. nobody is too important to grab a broom.always move forward. we see the world as it could be, not just as it is. with our passion for finding new solutions to old problems, we're creating that new world. it's a future worth adapting to.the benefits generous paid time off to help you maintain a good work-life balancefully catered lunches available everyday to all employees at the corporate officeoffices fully stocked with snacks and refreshments to keep you energized and productiveextensive employee benefits and perks to show how much we value your effortsfun team events, company events, employee sponsored events, employee recognition awards, and more!"
f,nann
t,nann
f,"comprehensive compensation package, including stock options quiet work environment with 3-5 people rooms in berlin mittenext to a park and river flexible working hours opportunity to have a real impact work with some of the world`sbest developers "
t,"health and welfare coverage, domestic partner coverage, a retirement program, employer contributions towards the health care spending account, as well as other offerings:medical,dental,vision,life/add short term disability,long term disability,flexible spending account 401 k with company match,travel assistance emergency services, employee assistance program,employee referral program,patent award program,educational assistance program,paid time off,wellness program,additional voluntary benefits"
f,"medical, dental and vision insurance 401kretirement savings planwith a match up to 6% by the credit union flexiblespendingaccounts life insurance paid by the credit union gym membership reimbursement program mileage reimbursement "
f,nann
t,nann
t,san jose water company offers a very comprehensive benefits package. to learn more please visit: 
f,benefits - fullbonus eligible - yes
t,nann
t,"this is a full time, salaried position. let us pay you what you are worth. flexible schedule – we want you to have a happy work/life balance. you get to live in bloomington, indiana and work downtown – it's pretty great here. check out this video:  rideamigos rewards hard work and loyalty. growth potential out the wazoo for the right person. and more... "
f,nann
t,nann
f,"an attractive salary package a professional compensations and benefits program, based on performance a young, dynamic, enthusiastic and successful team a professional and open working environment "
t,"benifits include:health, dental, life and add insurance, employee wellness and 401k   time off and holidays with generous company discounts."
f,nann
t,nann
t,to be determined.
t,"lorem ipsum dolor sit amet, consectetur adipiscing elit. etiam laoreet ultricies tellus tincidunt semper. nulla facilisi. aliquam mollis quam ipsum, sit amet tempus nibh imperdiet et. donec sodales lobortis ante, a tempus enim lobortis a. nunc sed consequat lacus, at aliquam lacus. nunc vel felis sed ligula ultricies consequat. pellentesque placerat eu enim nec mattis. etiam vitae elementum purus, sit amet pharetra massa. suspendisse eu tortor posuere, convallis nisl eget, lobortis metus. fusce eget velit rhoncus, semper enim iaculis, posuere dui. mauris maximus malesuada diam nec convallis. maecenas eleifend elementum malesuada. praesent blandit nibh quam, ac ornare ante molestie et. integer mattis ex sed ornare efficitur. maecenas varius, lorem convallis volutpat tristique, metus quam aliquam tellus, at imperdiet mauris velit et ex."
f,"we are a startup-type team: we wear jeans or shorts and we usually have dogs in the office. we are located at king and bathurst, have flexible hours, work with great tools (apple gear), and offer great benefits, a fully stocked kitchen and pantry (coffee aficionado?), a great team dynamic, competitive pay and share options and more! we offer all of our team $250 towards building your own ecommerce store, and yes you also get free premium access to the whole vantage analytics toolkit to grow your store and make it wickedly successful."
t,nann
f,"working at riskalyze we’re in downtown auburn, ca. our new space is being built out for our team to move into in january. everyone has a new macbook air and access to whatever workspace you can think of - standing desks, couches, beanbag chairs, yoga balls, etc. we only have one team meeting per week. everyone works really, really hard because we're excited. we’ve grown over 800% in the last year with loads of users coming on board every day. we have people beating down our doors to use riskalyze and we love having a passionate user base. we have lots of cool startup-y perks like team lunches, game nights, beer tastings, and free drinks. we believe in taking care of our team with generous salaries, benefits and equity. feel free to reach out to email_5c26dc82da6f767f67cede5cc4099993f40af21ef52382306d9783dbb1cb633fif you have any questions! "
f,30 days holiday bonus scheme constant mentoring/training treehouse account a herman miller chair! the opportunity to work with the best creative agencies in the world 
t,dental health ameridoc vision 
f,"why working with us: high impact and responsibility in a very successful and fast growing company a team of smart and extremely motivated co-workers the chance of playing a crucial role and being part of something really big self-fulfillment, fun, and a great atmosphere no walls, no limits, no bureaucracy, just unlimited potential attractive compensation social activities (food, drinks, events) team training "
f,"being a part of vend is your chance to be a part of one of the best and fastest growing software companies in new zealand. as a tech start-up company there are constantly improvements and fun challenges to be taken on. at vend we have an open culture where we share our results and where your input is truly valued. we work hard, but we love to have fun and you will be a part of that! this is an opportunity for you as a soon-to-be graduate to gain work experience at one of new zealand’s best software companies. you will get the chance to prove your own ability and drive to learn and execute. we will train you, and you will be able to take in the knowledge and experience from our awesome marketing team. we know you have a life outside of work, you probably have a bunch of essays to write, tons of books to read and exams to do. one of the benefits of working with us is that we’re flexible, we give you the opportunity and responsibility to control your hours to get the task done. the workload will be approximately 40 hours/week. so, what’s next? don’t hesitate! get in touch, apply now, hit that button and come have a chat with us about how you can work at vend. we can’t wait to hear from you. thanks for your interest in vend."
f,nann
t,nann
t,nann
t,we offer • friendly colleagues in an industry with a bright future.• an environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• competitive benefits and strong focus on work-life balance.
f,highly competitive salary stock options premium health coverage macbook air membership at health club of your choice unlimited books from amazon unlimited starbucks card half-day fridays! 
f,nann
f,"- no coffee runs required (the coffee machine takes care of that). - there is the possibility for this role to become a full-time position based on performance. - super cool office in san francisco golden gate co-working space - water, coffee, tea and beer on fridays available :)"
f,salary of £40-55k plus stock options £1k annual conference allowance lunch bought by the company every day relaxed and enjoyable environment to work in 
t,"benefits include: health, dental, life and add insurance, employee wellness and 401k   time off and holidays."
t,nann
t,"no franchise fee, we do not charge you a franchise fee to open an elite realty services office. your investment is in the office furnishings; rent and utilities! with the correct group of real estate; insurance and mortgage professionals forming the ownership group and aggressively recruiting re; mtg ins agents, allows owners and referrers to profit from all 3 vertical industries. no desk fees; no phone or fax fees; no copy or printer fees. insurance agent contract level starts from 50% to 100% - (writing contract) ers life pays 120% commission to the field! join my ers network   when you click the link, it was say this site is not trusted, go ahead click through, you can call me first to be sure i am a real person with no malicious intent. mike jordanbuilder/ownerelite realty serviceserslifephone_fe66364fd8cd324f11137693a3fe9cfb475e1979e28621948f0d89b671931a97"
f,nann
t,we offer • friendly colleagues in an industry with a bright future.• an environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• competitive benefits and strong focus on work-life balance.
f,"compensation, hours, and benefits: 90-day trial period part time: monday – friday, 8:00a - 2:00p pay: $10.00 per hour dental/vision plan paid time off (pto) 401k savings plan with company matching casual work environment "
t,nann
t,nann
t,nann
f,nann
t,"what is offered: very competitive base salary. 30% bonus structure, guaranteed annually. significant stake in equity/stock options full benefits package along with many perks opportunity for executive-level advancement and career leverage world renowned leadership, mentorship, and a very attractive culture/work environment relocation assistence if needed signing bonus through placement agency unique and attractive company culture and environment highly visable products, leading technologies and recognition global environment, global product stage in a fast-paced, start-up environment qualified candidates are encouraged to apply directly to this job posting. direct email and phone calls are not being considered. thank you for your cooperation. please no recruiters. "
f,nann
f,"icing on the cake competitive salaries. conference budgets. stock options in driftrock. monthly drinkrock evenings out. limited edition, staff-only merch! "
t,vacations and others.
f,nann
f,"at fivesky, our employees are our greatest asset and the focal point around which we operate, therefore, we always want the best for our employees. in addition to offering competitive compensation plans and long-term career opportunities. we offer an attractive mix of benefit plans to our employees that include: a health plan, 401k, provisions for vacation, holiday pay, and sick days. employees qualify to join these plans and other sponsored benefits after 90-days of employment. fivesky is an equal opportunity employer and will consider all applications without regard to race, sex, age, color, religion, national origin, veteran status, disability, genetic information or any other characteristic protected by law."
t,zero start-up fee
t,nann
t,nann
t,nann
f,career prospects
f,work from home - payment in usd
f,"compensation: $14 - $16/ hour, commensurate with experience. **this is a contract position. it is expected to last between 2 - 3 months."
t,"what is offered: competitive compensation package 100% matched retirement fund annual vacations paid for by company significant bonus structure opportunity for advancement full benefits package annual performance reviews and base salary increases annual cost of living increases sound, clean, safe and enjoyable working environment company culture world renowned management and executive team who promote from within, leverage careers and invest in employees for the long-term success of their careers and overall company/employee goals qualified candidates are encouraged to apply directly to this job posting. direct email and phone calls are not being considered. thank you for your cooperation. please no recruiters."
f,nann
f,rate: $10.00 an hour. eligible for benefits the 1st of the month after 60 days of satisfactory performance
f,this is a salaried position with health insurance and other benefits (such as a capital bikeshare membership!).
f,nann
t,"you would be eligible to benefits after 2months of working with the company, benefits offered are health insurance / vacations /"
f,"เงินเดือนที่น่าสนใจและแข่งขันได้ในท้องตลาด เวลาการทำงานที่ยืดหยุ่น (flexible hours) ~ ไม่มีการตอกบัตรเข้างาน ตรวจสุขภาพประจำปี ประกันอุบัติเหตุ fitness, swimming pool, และซาวน่า ท่องเที่ยวต่างจังหวัดกับบริษัทอย่างน้อย 1 ครั้งต่อปี และถ้าคุณยังโสดอยู่เราค้นหาให้คุณได้เจอกับเนื้อคู่ของคุณให้ได้! "
t,nann
f,"referral bonus: if you refer a qualified candidate for this position, i would be very happy to pay you a referral bonus $1000 - $2000 for a successful placement. it's a simple way to pocket extra cash and help out a friend/colleague. your help will be much appreciated! "
t,nann
f,nann
t,nann
f,nann
t,"benefits: health, dental, life and add insurance, employee wellness and 401k plans. paid time off and holidays with generous company discounts .emergency reimbursement benefits, daily hospital benefit, accidental death benefit, travel assistance"
t,nann
t,nann
f,"at   we love to work and have fun, therefore, you will be part of our extended family. you will never be hungry, lonely or bored. life is too short: enjoy it! health benefits (yearly contribution to your fitness activities) a nice pension plan subsidised food free coffee and snacks insurance plan 3-6 months start up apartment/room in visby yearly get together at secret locations on gotland travel exchange with our office in silicon valley "
f,health insurance (after 90 days of employment) paid time off (after one year of employment) quarterly incentives product discount restricted use of the facility 
f,nann
t,"get trained and get paid for it. flexible hours, 20 hrs per a week. if you are interested in this opportunity, please send your cv."
t,nann
f,"we offer a competitive salary as well as a comprehensive benefits package including: 40 vacation hours after 6 months of employment, 80 vacation hours after 1 year of employment 6 paid holidays paid personal and sick leave on the first day of the month following three months of employment health, dental, life and disability insurance as well as aflac supplemental insurance a 401k plan with a company match after 6 months of employment, however, we have quarterly enrollment periods "
