,fraudulent,description
1843,t,"experienced, reliable team members are needed for ourcustomer service representative needed! we are currently searching for candidates with previous experience and/or motivated quick learners. these positions require a friendly phone personality, great attention to detail and the ability to work quickly and efficiently. this is a customer contact position that requires patience, a great phone demeanor, excellent verbal and written communications, and reliable work attendance .key aspects of position:provide extraordinary service to our customers at all times.work as part of a customer service team.other duties as assigned."
17580,t,"immediate opening for an accounts payable clerk, data entry primary responsibilities include clearing purchase orders, invoice processing, vendor statement reconciliation, check processing, and other accounting functions as needed. skills must include microsoft excel proficiency at intermediate level or higher. knowledge of apex purchase order program and microsoft dynamics sl a plus. we are looking for a full-time self-sufficient, multi-tasker with a can-do attitude. the position requires a knowledge of quick books and like programs, with knowledge of payroll taxes, sales taxes, and income taxes a plus. the staff accountant serves as the primary contact with clients once secured by the firm and throughout its relationship with the firm, so excellent communication skills and organizational skills are a must. some clerical and administrative work is required. the staff accountant will be expected to work on more than one project at once and should possess the confidence and ability to work in a dynamic work environment."
12609,f,"this job may be for you if you want to be on a product team and contribute to the success of some very unique and well-positioned applications. you are flexible, hard-working, organized, a great written and verbal communicator and you're someone who is fun to work with. you don’t always have the answers, but you are always willing to learn and help others to learn. you’re comfortable with taking direction or finding direction, depending on the moment. you’re excited about working with a great team to make an innovative product come to life.we are looking for an individual who is skilled in development of highly dynamic web interfaces.you may be a good candidate if: you care deeply about code quality, performance, and execution. you enjoy coding at all layers in a web application stack while pioneering new usability and features along the way. you can manage multiple time-sensitive projects with ease, and deliver on all of them. you are excited about and can explain to a room full of colleagues why its such a compelling and powerful technology. "
11203,f,"graduate noc officer (shift role) are you looking for a challenge and a chance to make a real mark on your career progression? well then ding* might be just the place for you. our 24/7 network operations center team needs someone who loves identifying issues within our technology infrastructure and fixing them or if you can’t fix them, then knowing the best person from one our highly skilled tech teams that can. you’ll have exposure to all aspects of our systems from website, server and database monitoring and get involved with monitoring all of our network connections to over 320 operators around the globe. attributes – you have a 3rd level background of either networking, computer science or another it related field you have a keen interest in networks with a strong knowledge of network protocols and vpns super talented at identifying issues and then following them through to resolution amazing at communicating with people with a fluency in both english and spanish a desire to learn, continually improve and a passion for troubleshooting are essential you can juggle 3 balls at the same time; monitoring, troubleshooting and escalating. and if you have experience in configuring monitoring and alerting using zabbix or nagios then that’s great… what’s it like working here? ding* is currently providing 200 people the opportunity to top-up their careers every day. if you’re looking for a regular 9-5 role then this isn’t the place for you. if you want lots of challenges, a long to do list and plenty of opportunities then we’re your kind of place. like our service, we’re all super fast and super reliable. we’re informal but productive. you’ll be expected to get through high volumes of work and to keep coming back looking for more. in return we throw great parties and like to mark record days or other occasions with impromptu surprises. working at ding* gives you the opportunity to work with, and learn from, genuinely passionate and driven people. like our customers, our team members have joined us from all around the world. we come from different cultures, speak different languages yet we all share one thing in common; we care about sending top-up instantly and reliably. if you’re lucky enough to work here, you’ll get to work in a great office environment without a gimmicky pool table but with truly spectacular coffee. and the best bit……we don’t hire schmucks, only team players with a sense of fun. ding* ding* is the world’s largest top-up provider. created to help people working abroad to support and keep in touch with loved ones back home, ding* provides the simplest, quickest and best top-up service ever. by keeping mobiles topped up, ding* is making a real difference to people’s lives. we’ve our head office in dublin and also have homes in miami, dubai, bucharest, dhaka and san salvador."
5031,f,"imagine this: you have a job using your professional warehouse and labor skills, where you're empowered to work on your own. but, you're also part of the team, with a voice in how to do things better. a job that offers stability and opportunities for growth. you're also earning pay worthy of your expertise. if that's your vision, hire dynamics has work for you. as a full-time employee for our client, you'll play an integral role in getting its products out the door. as a cold storage picker, your day will be very physical - lifting, bending and stooping. you'll pick cases of product and stack pallets all day long. your work environment is fast-paced, action-oriented and satisfyingly productive. as a cold storage picker for our client, you'll play a key role in keeping things moving smoothly. you'll efficiently pick cases of product and transport them to their appropriate destinations. you'll use high tech voice activated equipment. and, generally, jump in with your can-do attitude where needed. your day will be fast-paced and satisfyingly productive. pay rate - $10 hours - 1st and 2nd shift available. if interested please respond to this job posting"
15243,f,"the enterprise solutions architect is a customer-focused technical sales professional who provides enterprise class pre-sales support and security guidance to customers. the ideal candidate in the solutions architect role has both strong technical skills, and excellent presentation and business skills. in this position you will be the technical lead during the customer sales and evaluation process - driving the opportunity to success. the appropriate candidate will work closely with sales, product development and product management to build and drive our solutions to the field. summary lead in the presales process to understand customer requirements, technical objectives, and product features design solutions to meet customer business and technical objectives effectively communicate solution and architecture to the customer and any relevant third parties interact with sales, product management, engineering and professional services to deliver industry changing solutions ensure proposals are accurate and reflects capabilities of the solutions build proof of concept tools and demonstration materials "
16158,f,"the opportunity: senior ui/ux designer flashfunders is looking for a senior ui/ux designer with that unique eye for aesthetics and function. in this role you will be a key player in determining the future experiences of our platform and transform highly complex legal concepts into innovative application designs that anticipate user needs. we need a visionary designer to break new ground in the field of web-based user interface and application design. the ideal candidate is a self-starter and entrepreneurial minded person, with a strong interest in startups and problem solving. specifically… create rich, intuitive experiences and actively push the status quo for the best design solution. lead and champion design decisions with the team in order to create amazing experiences for our customers. build upon and integrate our brand identity into our visual design and take leadership over our design initiatives. participate in design critiques, articulate design decisions, and provide/receive feedback from other designers and team members. deliver wireframes, mockups and prototypes, quickly iterate on design concepts while continually raising our bar for quality. partner with pm’s, engineers, and other designers to oversee the user experience of the product from conception through launch and beyond. "
9905,f,"to support our further growth, we’re looking for a dedicated, bright and enthusiastic (assistant) accountant. if you are a star at processing, maintaining and organizing, you’ll be more than welcome to join our team. you will perform day-to-day administrative and accounting work; you will do bookkeeping and credit management; you will have a major responsibility in the accounts receivable and payable function(cfr prepare, complete and mail invoices, reports, memos, letters, financial statements, and other documents). skills and experience: you hold a higher education degree; you have knowledge of economic and accounting principles and practices; you have excellent computer skills, especially with excel; you possess prefect oral and written communication skills in dutch and english. french would be a plus; knowledge of us gaap and ifrs as well as experience with microsoft dynamics gp (formerly great plains) is a plus. personal profile : you work accurately and thorough in completing work tasks; you can cope with a quickly changing environment; you show interest in the social web; you are a team player and have a cooperative attitude (you have high standards of service); you can question existing procedures and routines and are willing to take on the challenge to optimize them. "
8755,f,we are currently recruiting for our on-call program for service agents. you will join a team of young talents where you will benefit from: formal training in customer service and technology process paid program when called to replace existing team members. you will more importantly be first in line when we request for full-time service agent position
6202,t,"work with clients and within our company to help build brand, company, and product awareness. develop a strategy through research, proper market targeting, and creative strategies that span all sectors of marketing. also develop budgets and use budgets to help improve profits and sustainability, while also protecting current market share. continue to work with clients and our company to help improve growth and overall profitability."
11624,f,"well established, well run title company in the austin-westlake area has a great opportunity for aresidential escrow assistant.(minimum of 2 yrs experience required)theresidentialescrow assistantmaintains ownership and customer support through-out the life of a file. additional duties include new contract/order data review and entry. the escrow assistant takes ownership to ensure progression of the file, fulfills preliminary and secondary contact to identify and obtain required or missing information, provides customer service and communicates with all parties to the transaction through-out the life of the file. - high school diploma or equivalent experience. - professional skills:- ability to shift priorities easily- excellent organizational skills- customer service- ability to work independently; and also function as a team member- strong analytical and problem solving skills- ability to learn and leverage modern title production procedures and technologyexcellent pay and benefits. this is a great opportunity for the right person!"
15110,f,"lhbs is a strategy firm that approaches marketing and innovation challenges from an unconventional point of view: not for the sake of being different but for the sake of delivering better opportunities, strategies and ideas for our clients. we have no departments. we mobilize the right teams at the right time for the right job. our teams work in continuous collaboration from the beginning to the end. challenging our assumptions and ourselves, pushing ourselves further to look beyond cookie cutter solutions. to deliver outcomes that genuinely surprise and excite our clients. we are a diverse group from many ethnic backgrounds, education and experience. we take on each project with enthusiasm, excitement and an uncompromising commitment to total quality. for our office in berlin/kreuzberg, we are looking for a dedicated trend editor: your tasks: create content for the inspiration-hub (our own insights inspiration platform) support our team with desktop research prepare insights inspiration presentations for internal workshops "
9614,f,"a position with the burns mcbride sales marketing team will provide you with the opportunity to build professional skills as well as increase your understanding of the bigger picture of business. earn cold hard cash without the cold calls. we have openings for both full and part-time positions allowing you to work in our office that is just a short stroll from byu's campus, and you won't be talking to strangers. you'll be calling our existing, happy and ""warm' customers to offer them even more services to help them manage and enjoy their homes. the range of services offered by the company include: home heating oil delivery, heating and cooling equipment preventive maintenance and repair services, trash/recycling collection services and smart home security offerings. you'll earn a guaranteed base pay with an on-plan average of $17/hour. and you'll be working with a family-owned company that's been in business for over 60 years. "
6012,f,"at riskalyze, we are an engineering-first company. our development cycle is fast and new code ships daily. we love to build scalable, flexible systems that make our products even more awesome for our rapidly growing user base. we’re looking for someone to build and maintain the systems that power riskalyze. that’s a broad scope -- it includes enhancing the core riskalyze data engine, building automation throughout our systems wherever possible, writing apis and connecting to third party data providers and tools. this is a full-time, on-location position at our great new hq in auburn, california."
12398,f,"our client based in liverpool, uk is looking to hire a qa to join their team. the primary purpose of this role is to help the software development team achieve quality and performance goals. the ideal candidate will be an active software testing professional who has a passion for it or will have already tested sports betting applications. this role requires an inquisitive, proactive mind and a genuine interest in technology and/or online/betting games in general.responsibilities: plan, estimate, and review test automation strategy on a project basis. develop and execute comprehensive automated test cases. develop comprehensive test plans that explain the test strategy for a project. champion process improvement to drive quality and best practice. work with the qa and development team and problem analyst to develop qa automation processes. support junior testers by reviewing work and providing feedback. "
893,f,"bilingual japanese risk management officer location: northern nj type of employment: full-time permanent responsibilities: reviews the company-wide risk management assurance framework, including policies, procedures and standards focused on operational risk, credit risk, market and liquidity risk and other company-related risks. acts as a liaison between the parent company and company on inquiries relating to risk management issues. prepares and/or coordinates monthly/quarterly operational risk meeting. supports the management to organize, conduct and coordinate the company risk assessment and gap analysis process. coordinates and performs the parent company’s operational risk assessment. formalizes the ssae16 and due diligence review from a risk management perspective. monitors and analyzes incidents by participating in incident-related meetings and reviews the closing reports. reviews all the credit reviews and credit applications. monitors and analyzes the report of counterparties rating, credit line usage, counterparties’ credit scoring, etc. monitors and reviews the reports of gap analysis, risk profile, liquidity, foreign exchange etc. performs all other duties as assigned by the management. risk management: has good knowledge of applicable risk management practices required to create a culture of risk management compliance for his or her group or department. identifies, assesses, and monitors applicable risks based on the company’s risk management policies and procedures. reviews work of subordinates for risk management purposes, if applicable. exhibits best practice risk management skills through effective internal risk controls, risk monitoring, risk assessment and improvement of risk management processes. specific type of risks applicable to the job function such as credit risk, market risk, liquidity risk, operational risk, legal/compliance risk, reputational risk and information security risk shall be discussed with the manager and senior manager of the area. "
10107,f,"we’re looking for a part timeretailassistant / ebay sales person everyman stationery store in solihull. sells stationery and unique art products. our solihull / olton store is often full of excited customers of all ages discovering top brand arts crafts stationery and enjoying a fun retail experience. you will have excellentcustomer serviceskills, excellent understanding of written and spoken english, and proven reliability and timekeeping. the store can get busy at times. must bevery experienced ebay sales person with a strong understanding of its structure and working background. so internet background essential. "
98,t,"ice technician | bakersfield, ca mt. poso principal duties and responsibilities: calibrates, tests, maintains, troubleshoots, and installs all power plant instrumentation, control systems and electrical equipment. performs maintenance on motor control centers, motor operated valves, generators, excitation equipment and motors. performs preventive, predictive and corrective maintenance on equipment, coordinating work with various team members. designs and installs new equipment and/or system modifications. troubleshoots and performs maintenance on dc backup power equipment, process controls, programmable logic controls (plc), and emission monitoring equipment. uses maintenance reporting system to record time and material use, problem identified and corrected, and further action required; provides complete history of maintenance on equipment. schedule, coordinate, work with and monitor contractors on specific tasks, as required. follows safe working practices at all times. identifies safety hazards and recommends solutions. follows environmental compliance work practices. identifies environmental non-compliance problems and assist in implementing solutions. assists other team members and works with all departments to support generating station in achieving their performance goals. trains other team members in the areas of instrumentation, control, and electrical systems. performs housekeeping assignments, as directed. conduct equipment and system tagging according to company and plant rules and regulations. perform equipment safety inspections, as required, and record results as appropriate. participate in small construction projects. read and interpret drawings, sketches, prints, and specifications, as required. orders parts as needed to affect maintenance and repair. performs operations tasks on an as-needed basis and other tasks as assigned. available within a reasonable response time for emergency call-ins and overtime, plus provide acceptable off-hour contact by phone and company pager. excellent verbal and written communications skills: ability to coordinate work activities with other team members on technical subjects across job families. ability to work weekends, holidays, and rotating shifts, as required. "
557,f,hello karma krew! we are always on the hunt for exceptional talent and people who add to our unique culture. and who knows this any better than you!?! we all know someone who would be a fantastic asset at karmarama.so here is your chance to add to the karmarama legacy! submit a friend or colleague today and reap the rewards! note* the employee internal referral is for current karmarama employees only.
6056,t,"this job requires you to have the ability to operate keyboard or other data entry device to enter data into computer or onto magnetic tape or disk for subsequent entry. inputs alphabetic and numeric information from credit card applications onto an automated credit processing system, other clerical duties as required. follows set procedures and meets specific throughput standards. able to work under deadline pressure with minimum supervision, read large dollar figures for long periods of time. "
6404,f,"hi! we arenetguru!we design, create, implement and provide advice on systems and applications. the heart of our development toolset is ruby on rails framework. we are also experienced in creating facebook and mobile html 5 apps. agile methodology is our friend. we are always on the lookout forpassionate ruby on rails developers! if you have talent and skills todeliver the best quality- check our offer out. apply if you: have hands-on knowledge of: -ruby on rails, haml/scss, jquery -sql and nosql are able to lead the project independetly have 1,5+ years of experience in programming in ruby are passionate about software development are able to show us your communication skills love to take charge of the project you are dedicated to we would be happy to see: links to your blog (if you have one) and even happier if you: know tdd, scrum and agile methodologies have graphic skills we want you to come on our board to: provide you with a salary starting from 5000 zł net join people who are passionate about digital/tech take part in creating cool stuff work flexible working hours if you need to work from anywhere you want (remotely)! or from our offices located in the centre of poznan or warsaw want to hear more? take a look at other incentives: joining international conferences english lessons once per week half-price lunches fifa, xbox other games netguru dinners once per month that’s all! apply!"
2271,f,"frustrated with the status quo? like to re-imagine whats possible? want to build awesome products? teknique is moving into a new phase of company growth - and we're looking for top notch people who want to be involved in something awesome! to give you some background, teknique is a visionary business specializing in the design and development of miniaturized wireless video camera systems used in action sports, driver safety, and security. our award winning (ces best in show, red dot design, ...) products are licensed to brand name clients worldwide. video content is exploding, by 2017, it is projected that 73% of the worlds ip traffic will be video. there is a growing worldwide demand for high quality products and platforms that capture, process, and share video. come and be part of it! this is what you'll be doing at teknique... designing amazing responsive interfaces to visualise, search, process, collaborate, and share video for web and mobile platforms craft beautiful html, css, and javascript to make your designs come to life keeping up to date with the latest in user interface and mobile technology experiencing a growing nz rd company, building new products that you will be proud of and want to own yourself! getting to collaborate with a fantastic team of passionate people working in an agile development environment "
4189,f,"we’re looking for a ruby developer who is excited about creating a solid, reliable, highly available platform for our dog loving community, borrowmydoggy. we’re growing at a fantastic rate, and need your help to make sure we provide the best experience pawsible. we would love to find someone who wants to be a key member of our growing pack, helping drive our technology efforts, working with the founders and our wagtastic developer to deliver our continually evolving platform. you’ll be a great communicator, organised, with a real interest in using technology to help make a positive difference. you might not have start-up experience but you’ll understand the fast moving, exciting, fun place that they can be to work. we cover the important bits of our code with tests, but we’re more pragmatic rather than zealots about it. github and git will be second nature to you, and happiness to pick up new technology (rubymotion anyone?) is one of your strong points. if you’re already getting tail-waggingly excited about joining our pack please reach out and let us know how you can help make a difference and contribute to the ongoing growth of borrowmydoggy. ** no agencies, 3rd parties or recruiters - your emails will be deleted **"
2522,f,"seeking a litigation attorney with 3+ years of experience in general civil litigation for an outstanding opportunity in the longview, texas area. deposition experience and strong writing skills are a must for the position. this will be an opportunity to gain trial experience. relocation assistance provided and candidates with ties to east texas strongly preferred."
1662,t,"this position is for an administrative assistant whose job will primarily consist of calling prospects that have expressed interest in our services and have requested to be contacted. work-from-home is an option. there is absolutely no cold-calling involved, what-so-ever. this person will need to be pleasant, professional, and comfortable with talking to senior-level managers and executives. attention-to-detail is a must as there is to be extensive tracking that needs to be made with each prospect."
15946,f,"lift coach we are looking for emts to become lift coaches at atlas lift tech in the sacramento area. as a lift coach, you will work as part of a team to perform equipment-assisted lifts, transfers, turns, and re-positions of patients in clinical environments from their admission to discharge, as well as, train existing hospital staff on proper lifting techniques and use of lifting equipment while adhering to department policies procedures and applicable state, federal local laws."
14208,f,"kettle is hiring a freelance senior interaction designer (ux)! job location:new york, ny kettle is a team of passionate, fearless creatives focused on delivering great products, redefining best-practices, and providing new opportunities for our clients and own our team is continuously growing, we are looking for an senior interaction designer (ux) with a portfolio that demonstrates examples of engaging, intuitive interactions in web and mobile applications, to work on a project for a fortune 100 company with a startup-influenced approach. it’s a truly unique opportunity to make a difference in the entrepreneurial world, but we can’t get more specific until we meet in person. you will collaborate with visual designers, product strategists and developers to design new features, enhance existing ones while establishing and reinforcing consistent ux patterns across platforms. requirements must have 5 years interaction experience in either agency or product related environments designing consumer facing applications, websites and mobile experiences demonstrated past expertise in building a successful and engaging mobile application; experience building content and/or community mobile apps is a plus experience developing and launching mobile applications for the most current ios and android versions must already be local to the nyc area and able to work onsite in our collaborative workspace in soho experience using lean/agile product development models prototyping experience in one or more tools such as axure, , flinto, or invision previous engagement with workshops - facilitation and planning strong proficiency in developing wireframes, site maps, user journeys strong experience in design specifications tools such as illustrator, omnigraffle, sketch, or indesign fluent presentation skills in explaining detail interactions, scenarios and story boards responsibilities help define design value by identifying user needs, actions, behaviors and emotions through research deliver end-to-end client solutions, balancing business goals and user needs be a facilitator of client interaction by assisting in workshop development, user research, user testing and consensus building among teams effectively communicate ideas, opportunities and detail interactions to clients and team members conduct co-creation with clients that include building scenarios, personas, storyboards and user journeys transform ideas, business opportunities, research and creative vision into tangible products and services that provide clear, usable, useful and desirable outcomes for users apply best practices in design approaches and methods toward delivering best-in-class experiences provide information architecture diagrams, detail wireframes, system diagrams, and key flows that explain the full experience detail of users be an evangelizer of design process during engagements with clients work in collaboration with key project team members, including tech leads, strategy, pm, ux and creative leads work closely with development teams to ensure design delivery meets high quality standards effectively act on client feedback, user testing results and learnings to iterate products to more mature states that deliver better value for clients be a champion of design standards and best practice push the boundaries of expected outcomes toward new ways of seeing and addressing problems please make sure to include a link to your online portfolio."
6080,f,"the social media specialist role is responsible for the ongoing management and growth of social media presence. key accountabilities: develop marketing and communications plans that leverage the social media space. you will own the strategy and the execution of the ideas.responsible for developing content across owned social channels. this could include status updates, blog posts, tweets, pins, photos and videos. create, manage and grow business presence across social media channels, including blogs, facebook, pinterest, twitter, linkedin, youtube and instagram. leverage measurement tools to provide progress reports and mine insights, while continually finding ways to improve on those metrics through testing and new initiatives. "
4144,f,"we are looking for highly skilled developer to join a fast-paced, dynamic and challenging environment managing a global cutting edge security infrastructure.we're seeking extremely motivated, self-directing individuals that demonstrate a natural curiosity and innate interest in technology and security. all candidates must possess a sincere interest in the technological beyond their day to day work responsibilities. candidates must demonstrate very strong conceptual understanding of security and networking and the ability to work in a global team environment. this is for direct full time employment in midtown manhattan. salary is open, based on experience."
5229,f,"this is a fantasticopportunity to join a highly respected and dynamic ep leader!opportunities for advancement are extensive as the company is currently in the process of expanding. strong compensation and benefits packages are available for qualified candidates who want to join the largest player in the region. **this position will require relocation to oklahoma. summary responsibilities will include a wide array of professional-level investor relations and working closely with members of the company's executive committee. assign, supervise, and manage investor relations functions and projects. assist with a variety of investor related special events as assigned. essential job functions assign,supervise, and manage high-level investor relations projects and relatedbudgets, work closely with and synthesize information from all majoroperating departments (executive, operations, exploration, reserves,legal, finance). peer analysis –maintain company peer financial model on a monthly basis, create anddistribute summary data/slides to a select executive group. peersurveillance – real time data exchange and analysis on peer group, track acreage, drilling activity, eurs, asset acquisitions and divestures, completion design, well cost, and quarterly results. sell-sidetracking – review sell-side financial and nav models for accuracy to streetguidance and allocation of value per asset group/region. compare peer assets to the same analysts' nav (premium or discount per operator oracreage position). energy commoditytracking – closely follow sell-side coverage of crude oil and natural gascommodity storage, macro supply/demand data from third parties (cera,ihs), refining capacity, utilization, expansion, and regulatory. data to beshared with investor relations team and hedging committee. work withfinancial planning to track company's near-term and long-term financialprojections as approved by board/executive team and make changes toexisting models. pre-earnings support– provide analysis of current investor top topics and questions in currentearnings season, gather and coordinate data in preparation for company'searnings call. preparedocumentation for distribution and posting to website; work with executivemanagement, operations, accounting, finance, and other departments todevelop investor information, annual reports, press releases (includingwriting) and presentations; participate in investor calls, meetings andconference calls, and other forms of contact with investors. manage specialinvestor relations events, such as quarterly earnings conference calls, investor meetingsin the headquarters and on the road, annual investor conferences, andone-on-one non-deal road shows. "
9590,f,"hayes corp is looking for a get things done type of operations assistant that will be working in a high pressure environment. only apply if you love process, streamlining, and managing a ton of trackers.only apply if you are very good with details. responsibilities assist solving day-to-day operation process issues that typically hinder fast growing tech companies create, maintain, streamline trackers and processes research on saas tools and services that can help streamline improve operations manage large sets of data, coming up with rules and naming conventions take care of all tiny issues in great detail. aware of time cost at all times managing bulk number of online accounts "
