,fraudulent,requirements
6202,t,"develop and execute marketing programs to promote the company's brand. perform lead generation. attend trade shows. create advertisements, webcasts, websites, and direct mail. identify media outlets for press releases and promotions. enforce brand marketing guidelines in trademarks, logos, and publications. develop and track budgets. measure success of various marketing campaigns. drive profitable sales, brand growth and loyalty for a number of business areas. analyze and support both category and cluster marketing plans to align with brand strategy and achieve annual operating plan goals. develop accountability structure for stakeholders. develop and execute brand management plans. create and enhance agency and partner relationships. leverage customer insight data to refine brand management. identify brand-building areas. ensure brand communication for areas of responsibility are consistent with the company and brand positioning. develop and implement media planning, buying, and innovation strategies. provide design and direction for collateral, web, product packaging, and other visual communications media for the company. help promote uniformity and consistency of brand. "
11624,f,nann
15110,f,"your background: native proficiency of english language excellent writing skills and vocabulary curiosity about emerging trends in society, business and technology ability to summarize articles and texts to their very essence in an easy to read form time management skills experience with content management systems is a plus "
9614,f,"required skills include: high levels of personal energy, honesty, empathy and self-motivation good listening skills coupled with an ability to solve customer concerns to overcome purchasing objections ability to work within a structured environment that is goal oriented prior direct sales experience preferred, but not required "
6012,f,"we’re looking for all skill levels. if you are either: an excited, enthusiastic person with loads of potential, but not a lot of experience or an experienced professional who is still passionate about building amazing software and solving complex problems no matter where you are at in your career, send us a sample of some code you’re proud of. must haves: passion - you love the idea of making awesome, scalable software that delights users and you love to learn strategic thinking - everyone on our team influences our products and we’re all in this together proactive work ethic - we’re not big on bureaucracy; we hold each other accountable and push ourselves to perform tool agnosticism - if you have religious feelings about programming languages, we're not the company for you "
12398,f,"skill expertise: highly proficient with selenium testing frameworks. highly proficient at coding scripts for automation tasks. a strong understanding of test automation techniques using open source test tools such as selenium wd/cucumber/gherkin/soapui or bespoke tools. ability to design and implement automated frameworks for both online and api solutions and plan for the scalability and maintenance of any implementation. ability to work within, teach, and improve multiple software development lifecycle processes. knowledge and experience: able to provide evidence of successfully working at a senior level in software qa automation. experience of testing sports betting online applications preferable. coding experience with a very good understanding of either c++, c, java experience of working in both linux and windows environments is highly desirable. sql server experience desirable. attributes: outstanding interpersonal skills and the ability to establish positive relationships with employees at all levels of the business as well as external partners. resilient, approachable with the ability to work successfully in a dynamic, fast paced pan–european environment. ability to operate as a team player, with a flexible and positive attitude. always operates with the highest levels of honesty, integrity and fidelity, acting in the best interest of the business at all times. ability to work to tight deadlines, effectively prioritise and deliver to a high standard whilst under pressure. "
893,f,"requirements: bachelor’s degree or equivalent in business, economics, finance, law, i.t., marketing, accounting or equivalent. mba preferred. more than five years’ experience in the risk management related activities in the financial industry. good oral and written skills on a business level in both english and japanese. substantive and diverse knowledge of the parent company and other japanese financial organization’s business practices, products and procedures. suitable candidates please contact, gordon martin phone_9a0176b580d4836426eb45c6bbf707652f530638fb830058ac4f68888f113277 email_f4ebff1f11ff31df46f73791ed5de491f16a5c9134083790d3e181c904764a5f good managerial skills relating to employees, planning and policy formulation. substantive and diverse knowledge of securities-related legal, tax, regulatory compliance and/or accounting treatment good interpersonal skills (especially in interacting with japanese, u.s. customers and personnel, parent company, etc.) good communication and leadership skills "
10107,f,duties to include:- to assist in the day to day listing of products general shop duties. to control inventory and stock levels within the ebay network. /monitor pricing and evaluate moving prices in the market place to maximise sales. /also maximise the output of product and its awareness on ebay. this is a part time job and must be fixable with hours. please send you cv with cover letter.
98,t,"qualifications knowledge, skills abilities: a high school diploma or ged is required. must have a valid driver’s license. ability to read, write, and communicate effectively in english.good math skills.four years of experience as an ic technician and/or electrician in a power plant environment, preferably with a strong electrical background, up to and including, voltages to 15 kv to provide the following: demonstrated knowledge of electrical equipment, electronics, schematics, basics of chemistry and physics and controls and instrumentation. demonstrated knowledge of safe work practices associated with a power plant environment. demonstrated ability to calibrate ic systems and equipment, including analytic equipment. demonstrated ability to configure and operate various test instruments and equipment, as necessary, to troubleshoot and repair plant equipment including, but not limited to, distributed control systems, programmable logic controllers, motor control centers, transformers, generators, and continuous emissions monitor (cem) systems. demonstrated ability to work with others in a team environment. "
557,f,nann
6056,t,"we are seeking only honest, self-motivated people with a desire to work in the typing and data entry field the preferred applicants should be at least 18 years old with internet access. little experience is needed. minimum qualifications: • high school diploma or ged. • 1 year of clerical/data entry experience in a fast-paced environment. • demonstrate attention to detail with excellent data entry, communication (interpersonal, telephone) and organization skills. • ability to prioritize projects within a fast-paced, deadline-driven environment using tact and discretion. • basic database usage. • team player with good communication, data entry, organization and follow-through skills. • ability to write and type grammatically correct database entries in english. • intermediate microsoft word and excel skills. • experience using a corporate email system. • basic microsoft powerpoint. "
6404,f,"apply if you: have hands-on knowledge of:ruby on rails, haml/scss, jquery,sql and nosql are able tolead the projectindependetly have1,5+ years experiencewith ruby are passionate aboutsoftware development are able to show us yourcommunication skills love to take charge of the project you are dedicated to we will be happy to see: links to your blog (if you have one) and even happier if you: knowtdd, scrum and agilemethodologies have graphic skills salary: from 5000 zł netto (full time)"
2271,f,"you will... have a real passion for reaching the end user have a eye for detail, and a design portfolio that shows off your talents in the web and mobile space experience in wireframing and web and mobile application design and user interaction proven experience in web technologies such as html5, rest, css and javascript exposure to common web development frameworks such as foundation, bootstrap, and jquery be interested in learning new skills not be afraid to share ideas or ask for help enjoy participating in group discussions enjoy getting out there and testing our products! it would be cool if you also had... experience working in an agile environment "
4189,f,"expert knowledge of ruby, and rails experience of setting up, monitoring, and scaling infrastructure in the cloud (aws, rackspace etc) ability to integrate with 3rd party apis experience working with postgresql or similar demonstrable experience in developing applications for thousands of users you need to be able to work in our office in london, although we will consider remote work one or two days a week for the right person."
2522,f,nann
1662,t,"must be proficient with outlook some knowledge of quickbooks excellent customer service skills excellent grammar, spelling attention to details ability to prioritize "
15946,f,"position responsibilities: teaching safe patient handling methodology to existing hospital staff. performing and assisting with patient lifts and other patient handling maneuvers, as delegated by the supervisor in collaboration with the client staff. utilize patient handling equipment, transfer devices and protective equipment in compliance with hospital policies and patient handling protocols while utilizing proper lifting techniques, proper body mechanics and observation of hospital protocol. provide records of each lift to analyze key performance indicators. position requirements:please do not apply if you do not meet all of these requirements at time of application 6 months or more experience working with patients in a healthcare and/or ambulatory environment. customer service experience. minimum high school diploma or the equivalent. current cpr/ bls certified. experience with coaching/ training multiple individuals. flexibility to work day/ night/ weekend shifts including holidays. must be able to lift 35 pounds unassisted and to stand/walk for long periods of time. computer proficient to navigate both mainstream and proprietary software. be able to work independently and as part of a team. must pass a medical and drug screening before and during employment. preferred qualifications: ems / emt / paramedics / nursing / physical therapy military experience "
14208,f,nann
6080,f,"a flair for web-socializing and real-world experience in executing social media initiatives. knowledge of digital marketing current best practices and understanding of digital production processes. self-starter: this position requires a true self-starter who can assess a situation, develop a plan, get approval and run with it. "
4144,f,"practical knowledge experience: strong research, analytical and problem solving skills ability to write/debug administrative and reporting tools in one of the the followingprogramming languages: perl/shell or python, desired; java, c/c++, ruby solid understanding of a linux/unix-based operating system nderstands paging and swapping, inter-process communication,filesystem concepts (inode, clustering, logicalpartitions) experience with host security (e.g., passwords, uids/gids, sids, filepermissions, acls, filesystem integrity, use of security packages) knowledge of palantir or any siem product knowledge of e-mail – sendmail and/or postfix experience with any of the following systems management and monitoring :empire sysedge/snmp, nagios or similar experience with mit kerberos, rsa securid, radius, spnego knowledge of ria technologies such as flex, silverlight, extjs, gwt penetration testing tools like tenable nessus, qualys, skipfish, flawfinder,swift bigdata: hadoop, elasticsearch/solr xml/rest/soap "
5229,f,"education:bachelor’sdegree in a finance, accounting, or engineering required; post-graduatedegree in business (mba) preferred. knowledge and skills: strong financialmodeling skills in excel, ability to extensively communicate, previoushand-on experience building, managing and updating a financial model, and abilityto provide summary data to the most relevant points. experience withexploration and production (ep) companies, portfolio management orinvestment banking preferred. strongpresentation skills and ability to articulate and defend a position. ability to workdirectly with executive management with short time tables and very highexpectations. high degree ofattention to detail. experience:3+ years recentexperience with valuation and financial modeling required. industry, location and compensation industry:oil gas – investor relations location:oklahoma city, ok compensation:commensurate with experience."
9590,f,"bachelor's degree in computer science, information systems or tech related. 1+ years experience in an operations related role. such as technical operations, tech-related supply chain management, software project manager, technical administrator, it operations 1+ years experience in internet, software or mobile industry fluent in google docs, expert in internet research (google search, quora, stackoverflow). fluent in english extremely organized and very attentive to details ability to prioritize, multi-task can do attitude "
6087,t,"minimum requirements: hs diploma0-2 years of related consulting experience preferred qualifications: minor repairs and troubleshooting of systems to maintain proper operationfamiliarity with electrical systems (motor starters, relays, fuses, switches, etc) strongly preferredability to work with minimal supervisionability to travel as needed to the field requiredability to interact effectively with internal and external clients"
641,f,"you'll have strong written communication skills and a good eye for detail, be logically minded and able to understand new systems, software and processes quickly. the role will require you to gather, organise and quality check product information for large numbers of products whilst delivering short, informative copy. a natural organiser, you'll have a solid work ethic, be self-motivated, and able to excel in a fast paced environment. technically you'll be proficient in ms office (particularly excel) and have a basic understanding of html and content management systems. experience in an ecommerce environment (or with products for the home and garden) would be an advantage. this is an opportunity with real prospects for professional growth in the world of ecommerce. this is not the role for you if you want a career in journalism."
6767,f,"bs in computer science or equivalent degree required 7-8+ years of software development experience with emphasis on user-oriented development expertise in flash-based technologies with 4+ years of flex sdk 3 and/or flex sdk 4 and actionscript programming experience. 5+ experience with java/j2ee, spring 3.x, spring/blazeds is a must. experience with flex builder 4. in depth knowledge of software engineering and object-oriented programming principles. experience with design patterns and refactoring. experience with xml and xml-related apis familiarity and past work experience with design specification methodologies (use cases, uml) hands-on experience with web applications. exposure to test driven development and unit testing is helpful experience with open source web technologies such as ant, maven and jenkins"
12499,f,"requirements a proven track record of initiating and delivering actionable analysis with minimal supervision a maniacal focus on identifying and tracking key financial metrics across the business ba or bs/ms degree with strong academic record, preferably in a quantitative discipline minimum of 1-2 years experience in a quantitative, finance role with experience forecasting financial statements excellent communication skills, including experience in high-level business discussions unbeatable excel skills strong skills querying sql databases familiarity with common saas metrics (mrr, arr, churn, cac, ltv, etc) "
7075,f,requirements: five years collection experience with at least 2 years in a leadership role college degree preferred strong references from inside and outside industry strong knowledge of compliance/collection regulations understanding of automated dialer 
1606,f,"minimum requirements: minimum of 1 year customer service related experience required high school diploma or equivalent (ged) required preferred qualifications: keyboarding and windows environment pc skills required (word, excel and powerpoint preferred) experience running mail posting equipment a plus excellent communication skills both verbal and written lifting up to 55 lbs with or without accommodations willingness and availability to work additional hours if assigned ability to effectively work individually or in a team environment competency in performing multiple functional tasks ability to meet employer's attendance policy "
14540,f,"2+ years , framework 3.5 and up 1+ years microsoft mvc 3/4/5 strong knowledge of sql ability to work with html, css, and javascript ability to clearly articulate design ideas and share feedback php, ios or android a plus "
17584,t,no any experience required.
1254,f,"degree in computer science, engineering or a related subject have published one or more ios apps in the app store a deep familiarity with objective-c and php experience with third-party libraries and apis working knowledge of the general mobile landscape, architectures, trends, and emerging technologies solid understanding of the full mobile development life cycle "
17556,t,nann
9766,f,nann
10392,f,"high school diploma or equivalent education must be at least 19 years old and have a minimum of two years of driving experience valid and current driver's license valid and current proof of insurance ability to comply with any specialized regulatory or licensing requirements, as determined by geographic location and/or work assignment must attain satisfactory completion of specialized training regarding transportation of goods with special handling requirements including, but not limited to, dry ice, clinical samples and/or medical products must be able to utilizean ios in quick and efficient manner for new hires, must meet all shipster employment qualifications at time of hiring, including successful passing of background check "
8366,t,"answering and directingphonecalls makingphonecalls taking and distributing messages organizing and scheduling appointments organizing and coordinating meetings handling inquiries and incoming work requests reviewing files and records to answer requests for information checking and distributing documents and correspondence receiving, sorting and distributing incoming mail maintaining filing systems compiling records of office activities photocopying,scanningand faxing sending emails preparing and sending outgoing mailings and packages typing documents and correspondence checking and entering data updating and maintaining databases coordinating work flow controlling basic accounting functions such as checking invoices and making deposits managing petty cash monitoring and ordering inventory of office supplies keeping office area neat and tidy "
17570,t,"$40 to start, computer,"
9811,f,nann
17625,t,"qualifications -5 years of related experience required, 10+ years preferred -experience in client/customer service required, financial service experience preferred -college degree preferred knowledge / skills -demonstrates integrity and a sense of purpose -exceptional verbal and written communication skills -strong interpersonal skills, the ability to build relationships with stakeholders, internal and external -proven ability to provide exceptional client service and handle confidential information with discretion -highly effective time management and organizational skills -remains calm and professional under pressure -has a “can-do” attitude, thinks like an owner -able to prioritize and execute multiple tasks while performing with accuracy and thoroughness -resourceful with strong problem-solving skills, looks fora way toget to“yes” rather than immediately accepting or delivering “no” -highly detailed -self-motivated, able to work with minimal direction, proactively seeks opportunities to contribute to the team -actively seeks opportunities for improvement, proposes solutions -proficient in mobile communication and remote computing -proficient in microsoft office applications (word, excel, powerpoint)"
6883,t,"job requirements technical requirements: capable of serving as subsea controls technical lead on projects including generating detailed functional specifications and bid packages. experience with mcs (topside control system), uta, sdu, scm, xmas tree, commissioning new well tie-ins, umbilical design, efl and hfl design. intervention experience with scm/chokes/efl/hfl, fat and sit, cimv, hpu, mpfm, venturi meters. interface/managing subsea vendors (fmc, cameron, etc) offshore experience on fpso or intervention vessels. subsea controls aspects of concept / feed / detail design. perform and manage subsea controls and / or umbilical studies. report / specification / sow and technical note writing. knowledge of hydraulic analysis techniques. knowledge of open and closed loop systems and communications and networks. knowledge of thermoplastic and steel tube umbilical processes. working knowledge of: iso 16328-parts 5 8; api 17 parts a, d e. desired skills experience: ability to lead at all levels within the organization. proven track record of exceeding performance metrics. education experience: bachelors of science in mechanical engineering or related field + 10 years relevant experience. 20 years relevant experience in lieu of degree. qhse requirements: learns actively promotes the intecsea ems and hse in accordance with the hse guideline for intecsea personnel. "
17724,t,must have experience in accounts payable/finance.
2396,t,"required skills and experience: minimum of five years of experience in software quality assurance, or related field, including individual contributor experience. programming aptitude; able to read and understand code, write automation test cases. working knowledge of software development and qa methodologies. excellent communication skills. experience in designing, implementing, and managing automated test suites. "
14434,f,"experience in mental health or developmental disability field preferred but not required. high school diploma or ged. at least 18 years old. must pass a physical with a lifting test of 75lbs, drug screen, reference check, and criminal history background check. "
884,f,"we want to work with people who: have a minimum of 5 years as a senior-level software engineer have experience with open-source projects and a track record of contributions to open-source communities know, understand, and are interested in both docker and openstack projects take pride in their code and appreciate feedback, discussion, and iteration value testing and know that 100% coverage is not the goal get a warm and fuzzy feeling from postel’s law write code in several languages, and have switched their main language at least once in their career can describe the difference between concurrency and parallelism like to both learn from and mentor their colleagues have experience running a large service and distributed system "
11653,f,"skills experience • minimum 3 years experience selling it-related services• smb experience a plus• reside in the charlotte region• bachelor’s degree• experience selling to professional service companies: cpa firms, law practices, nonprofits, real estate firms, engineering firms, etc.• strong personal work ethic• exceptional interpersonal skills"
7183,t,high school diploma
16549,f,nann
6539,f,"2 years of b2b sales experience  4 total years of sales experience  self-starter, self-driven with an entrepreneurial style  track record of strong sales success performance  experience with health and wellness equipment and/or in the health and wellness industry (preferred)  ability to understand health and wellness concepts, value propositions and product solutions"
4723,f,"requirements seeking applicants with 5+ years of experience in the following: coldfusion v9 or higher apache tomcat red hat linux systems alliance site executive sharepoint imprivata one sign livelink application google earth enterprise cuteftp support apc infrastructure central apc infrastructure operations sql 2005 + axaway secure ftp ca arcserve 11.5 hp eml series tape library oracle connection manager blackberry, pda devices hp eml 4 tape library hp storage area networks fiber optic and copper sfp network interfaces (10/100/1000mbs and 10g). hp “p” and “c” class blade servers. hp c7000 virtual connect management citrix metaframe ibm xiv san netapp storage area networks quantum tape library hp dl proliant server hardware landesk vmware syncsort backupexpress cisco vtc responsibilities • provide operations and maintenance support. • perform miscellaneous application installations and support. • perform server, workstation, device and application patching. • provide systems and application integration support. • backup – perform backups, check backups, monitor jobs, and add jobs on a daily basis. • provide uninterruptible power supply (ups) administration and services. • perform battery replacement and configuration. • provide administration of internet information services (iis) 6 and higher. • provide occasional tier 1 coverage due to absence of it personnel. • respond to outages, physical infrastructure issues and other equipment issues. • troubleshoot reported problems. • perform routine audits of systems and software. • add, remove, update user account information, reset passwords, etc. • monitor and report on system performance, trend analysis and capacity planning. • install and configure new hardware and software. • assist in the design and integration of systems. • maintain data and video communication cable and hardware. • support of load balancing web applications, iis configurations. • manage hp blade servers and associated technologies. • provide technical training as necessary on all functions of a system. • centrally distribute software electronically. • support wireless network/s. • support video conferencing. • create ad printer queues and assign appropriate access – hp platform using hp management tools • manage, support, and troubleshoot the virtual infrastructure (vmware) "
2942,f,"successful candidates for this role will likely be well connected in their local business community or industry. they will possess excellent written and verbal communications skills. although some knowledge of the services offered is required, expertise in accounting, human resources or other back office processes is not necessary. more important for success is an understanding of the practical issues which small business owners face in keeping their records up to date, processes running smoothly, and their business growing profitably. we welcome the opportunity to discuss this role in more detail with qualified and motivated candidates."
5914,f,"what you'll need by submitting your application you understand that qubit will store your data in accordance with local laws experience minimum of a ba/bs or higher from top university proven track record of meeting and exceeding goals be a highly proactive individual, with a good ability in creative problem solving and a good level of intelligence confident verbal presentation skills interpersonal skills, with ability to work with both technical and business staff bonus points analytical skills with excel or google analytics relevant internship experience in management consulting, it consulting, finance, marketing or media roles comfortable with technical concepts and adept at learning new technology applications "
4729,f,"considerable knowledge of principles and practices of personnel administration. effective oral and written communication skills, excellent interpersonal skills. bachelor's degree and 3-5 years of human resources experience or master's degree in human resources management and 2 years of experience in the hr field or 7 years of experience in the hr field professional in human resources (phr) certification preferred. greek and english as mother tongues or master level, third language considered a plus. "
4650,t,"computer, internet andtelephone"
14082,f,nann
6994,f,"we're looking for somebody to - set up monitoring around key support metrics - define the procedures for monitoring the quality of our customer interactions - define the support operating model - lead and improve daily cs operations is this is you? 4-5 years of senior experience preferably in banking, internet or telecom industries, or an international call centre excellent communication and troubleshooting skills, quick learner and determined problem-solver outstanding spoken and written english (other languages are an advantage) in-depth experience with customer support: team, quality metrics, tools and processes etc. "
16587,f,nann
5804,t,"role:as a member of the office administration team, the administrative assistant performs essential office operations, accounting and bookkeeping functions ensuring accurate and timely payables and receivables. the administrative assistant also provides administrative support to the hr and daily operations.primary responsibilities:• review, log and prepare invoicing for service receivables.• review, log and prepare for payment vendor payables.• perform monthly bank reconciliations.• entering sales and client contract information into accounting system.• preparing vendor payment checks.• receiving and processing client payments, and preparing deposits.• owning office supply inventory, auditing and ordering all supplies.• answer multi line phone calls. call clients to follow up on services.• assist ceo with administrative functions including but not limited to filing, reporting, new hire processing, and simple candidate recruiting functions.accountabilities and deliverables:• accurate recordkeeping across all areas of responsibility; duties must be performed with minimal error.• consistent and accurate data entry of payable and receivable data.• effective oversight of vendor payables and client receivables ensuring all required data and documentation is appropriately logged and accounted for.• ensure required and necessary office supplies are readily available as needed for effective business operation.experience, competencies, education:• candidates must possess associates or bachelor's degree with concentration in accounting or finance and a minimum of two years ap/ar experience in a professional environment.• demonstrated understanding of basic accounting principles.• previous experience using quickbooks is required.• must be skilled at managing multiple assignments simultaneously with minimal error.• successful candidates will ideally possess a high resistance to stress and demonstrate a high level of personal accountability and ownership of their duties and responsibilities."
3326,t,"skills/qualifications:- post-secondary education is required- present yourself and conduct yourself to the highest professional standards.- previous experience (2+ years) in customer service is required- previous experience in a business-to-business environment is required.- be diligent, execution oriented, and results-oriented with a high energy level and positive attitude.- have a strong sense of ownership and a healthy dislike of disorder- perfect fluency in english is required. additional languages are helpful.- excellent communication skills, both written and verbal, are required"
816,t,"job qualifications- ability to understand procedures and instructions specific to the area of assignment as would be acquired in four years of high school.- graduation from an accredited instrument technician program and minimum two years’ work experience as a technician in a related industry desirable.- four years work experience as a technician with increasing responsibility in a related industry may be substituted for the above requirement.- experience in working with voltages up to 4160 volts highly desirable.- must have excellent oral and written communication skills. ability to work well with others and be self-directed, as well as apply creative solutions to unique ie problems is desirable.- must be able to work from blueprints.- must be skilled in the use of hand and power driven tools.- must be proficient in computers and computer software such as ms office, excel, and word; networking, hardware, and current security requirements for nerc compliance.qualifications:title/salary commensurate on experienceofficial description on file with human resources"
15934,f,"bachelors degree required. strong academic background in engineering, natural sciences or related course of study. masters degree or higher preferred previous experience in a quality assurance and/or regulatory affairs role within an fda regulated medical device, pharmaceutical or biotech company proficient in planning and executing risk based quality assurance and regulatory affairs compliance audits of medical device, rd and manufacturing facilities to identify regulatory compliance issues demonstrated ability to successfully work with diverse cross-functional teams excellent verbal and communication skills "
2636,f,"ba/bs degree along with 10+ years of industrial software product development experience hands on experiences in architecting, developing, and deploying large scale cloud applications hands on experiences with big data technologies such as hadoop, hbase, impala, etc. expert level knowledge in j2ee, database and cluster, scalability, high availability, and load balancer thorough understanding of web application architecture, service-oriented architecture (soa) and rest web services ""self-starter"" and autonomous driver excellent verbal and written communications skills data mining and analytics knowledge a big plus fluency in german a plus "
16386,f,nann
9356,t,"specific skills:• understanding of the equipment system.• knowledge of customer-focused documentation.• very good knowledge of machine maintenance.• knowledge of oil and gas processing.• extensive knowledge of the equipment used in oil and gas processing facilities. attitudes and behaviours:• capable of initiative, flexibility and cooperation.• ethics and professionalism.• personal discipline and work organisation skills.• very good capacity for interpersonal relationships.• strong sense of responsibility.• able to anticipate problems and take appropriate preventive measures.• strong critical and analytical thinking skills.• rigorous and methodical approach to work."
7084,f,nann
10169,f,"required qualifications: high school diploma or equivalent (ged) required minimum of 1 year customer service related experience required computer proficiency in email environments, ms office, outlook strong organizational and administrative skills required ability to communicate both verbally and written with customers and client personnel experience coordinating and designating work to employees ability to excel in a fast-paced, multi-tasking, team environment ability to effectively work independently and in a team environment ability to adhere and administer companies policies and procedures creative thinker outstanding work ethic target-driven enthusiastic and passionate sitting for long periods of time ability to meet attendance policy "
8488,t,"responsibilities position requirements: the ideal candidate will have experience working with retail gasoline dispensing and peripheral equipment, ust systems, weights and measures compliance, and computer applications. certifications with gilbarco, ruby, sapphire, and veeder submit plans and pull permits. submit bids for necessary repairs. supervise and oversee all testing and repairs. correspond with office regarding any employee travel matters. job site set-up. pressurize system. locate any potential problems that may occur with testing. (prior) install bravo retrofit fittings. install underground piping. fill sumps for testing. pump out sump after testing. root tank gauging preferred. schedule testing with local agencies. "
4927,f,nann
16500,f,"must have skills needed: 4+ years direct experience with ruby on rails framework developing web-based systems strong understanding of javascript, html5 and css3 experience with version control systems such as git knowledge of design patterns and how they relate to clean, testable code github or portfolio "
2044,t,"qualifications personal attributesproficient in microsoft products including word 2010, excel, powerpoint, sps (sharepoint)post a level qualifications / quality audit training• knowledge and use of sharepoint site facilities.• knowledge and use of proarc would be useful• understanding of principles and practice of document management and control• some background in quality management systems within a technical environment could be useful• background in hse management systems for office based organisation could be useful.• good organisational skills• good team skills"
7390,f,"qualifications: * expert javascript and knowledge * good understanding of datastores like mysql, mongodb, redis * the ability to find way home if left alone in unix/linux * the know-how around all things git * authored an npm package * an active github account, showcasing your own projects * prior work experience in an agile environment"
