,fraudulent,company_profile
15110,f,"lhbs is an unconventional strategy firm with office in berlin, copenhagen and vienna. we approach marketing and innovation challenges from an unconventional point of view: not for the sake of being different but for the sake of delivering better opportunities, strategies and ideas for our clients. we have no departments. we mobilize the right teams at the right time for the right job. our teams work in continuous collaboration from the beginning to the end. challenging our assumptions and ourselves, pushing ourselves further to look beyond cookie cutter solutions. to deliver outcomes that genuinely surprise and excite our clients. we are a diverse group from many ethnic backgrounds, education and experience. we take on each project with enthusiasm, excitement and an uncompromising commitment to total quality. explore our services and how we generate value for clients."
9614,f,"burns mcbride has been providing quality home service solutions for generations. since 1949, burns mcbride has been meeting the home comfort needs of delaware homeowners. from our distinguished heating and cooling solutions to our innovative trash recycling and home security services, burns mcbride is devoted to ensuring that our customer's homes are always comfortable and secure. through our four operating divisions, burns mcbride provides the most complete, guaranteed, and flexibly priced home comfort services in the market. our successful programs have earned a reputation for innovation within our industry, and we look forward to even more growth in the years to come. a key element of our growth strategy is to build on the success of our existing team members. we're looking to identify a few select individuals, with appropriate academic, work and life experience to join our team in both full and part-tme positions in a number of different capacities. since our customer base is primarily located in northern delaware, most of our staff and available positions are tied to our main office in wilmington, de. however we do maintain a small call center in provo, ut to provide extended customer care and telesales support services. for details on currently available opportunities and to submit an application and/or resume for consideration, please review the position descriptions listed below."
6012,f,"riskalyze is revolutionizing the way people invest, by aligning the world’s investments with investor risk tolerance. named by fast company magazine as one of the world’s top 10 most innovative companies in finance, our team is on a mission to make investing safer, simpler and more powerful for the world. are you ready to join an amazing startup — fast-growing customers and revenues, an incredible team of ""a"" players, and a chance to make a huge difference?"
12398,f,nann
893,f,nann
10107,f,we are a stationery and art supplies company that has been running for over 100 years. 
98,t,"staffing recruiting done right for the oil energy industry! represented candidates are automatically granted the following perks: expert negotiations on your behalf, maximizing your compensation package and implimenting ongoing increases significant signing bonus by refined resources (in addition to any potential signing bonuses our client companies offer) 1 year access to anyperk: significant corporate discounts on cell phones, event tickets, house cleaning and everything inbetween. you'll save thousands on daily expenditures professional relocation services for out of town candidates * all candidates are encouraged to participate in our referral bonus program ranging anywhere from $500 - $1,000 for all successfully hired candidates... referred directly to the refined resources team please submit referrals via online referral form thank you and we look forward to working with you soon! [ click to enlarge image ]"
557,f,"at karmarama we have a unique hiring policy: nice, talented and decent people who genuinely want to do what's right for their clients. or 'keine wixer bitte' as our german friends say. we believe in good works. we put our clients at the heart of everything we do and only focus on doing what's right to help them win. we're always glad to meet nice, talented people. so if that's you and you're interested in joining the karma krew, please get in touch via the link below and we'll put you in touch with the relevant people."
6056,t,nann
6404,f,"we are netguru and we love to develop web application based on ruby on rails framework. we value quality, transparent communication and passion for work."
2271,f,"frustrated with the status quo? like to re-imagine whats possible? want to build awesome products? then do something about it! teknique is moving into a new phase of company growth - and we're looking for top notch people who want to be involved in something awesome! what we do we are a visionary business specializing in the design and development of miniaturized wireless video camera systems used in action sports, driver safety, and security. our award winning products are licensed to brand name clients worldwide. learn about usonlinkedin,twitter, andfacebookand keep up with latest video news and innovation.our vision is the future, and at teknique we create it - with sustainable, continually evolving, world-class products. innovation, insight and ideas are critical to our success; applicant’s will possess these attributes and have a strong desire to create what “the world hasn't seen yet”. our workplace we offer a creative team working environment in a modern office in auckland, new zealand, with bush views, free snacks and coffee machine, latest macbook pro's, office 3d printer, not to mentionlotsof miniature video cameras that you can play with, whether you're into snowboarding, motor racing, dirt bikes, or just want to strap a camera to your cat andfind out where he goes every day. "
4189,f,"borrowmydoggy is an online community that connects dog owners with trusted local people who will help look after their dog, whether for extra walks, playdays or holidays. our aim is to leave ‘pawprints of happiness’ on the lives of doggies and humans. we’re fun, happy, caring, and thankful - these are values that we instil in our team, and every communication with our community. we absowoofly love helping people and dogs!"
2522,f,nann
1662,t,nann
15946,f,"at atlas lift tech, safety always comes first! we are a fast growing company with an innovative vision of making safe patient handling and mobility (sphm) programs available to hospitals systems nationwide. atlas is the first company offering safe patient handling and care staff training programs that protect healthcare workers and patients from the dangers of manual patient handling. our unique team brings together bedside training, education, and program management to empower care givers to reduce workplace injuries, improve patient care, and create a culture of safety."
14208,f,"kettle is an independent digital agency based in new york city and the bay area. we’re committed to making digital do more — for both people and brands — because we believe the digital world offers more than meets the eye. every online experience has the potential to change a life, a brand, or even change the world. and we carry this philosophy into each and every product we build."
6080,f,"ava's farm (at ) is an online marketplace where you can discover the most amazing unique greek foods and order them directly from small independent producers from all over greece. the purpose of this venture is to give farmers food producers the opportunity to market their products themselves from any part of greece they are located. they sell their products directly to food lovers worldwide, setting their own prices and shipping the products themselves. working for ava’s farm is a never-ending amazing creative single member of our staff gets an in-depth exposure of how a dynamic online business operates; what are the daily technical challenges, what way you connect with your customers, how you communicate your product, where you get your daily inspirations. we train our people thoroughly, and at the same time allow for each one’s personal charisma to invigorate and to offer us unique ideas to blend in our strategy. you belong here if you want to make a difference in the way people work, you have an eye for the online world and you have the confidence to do your dream job. there you have it – a workplace like no other!"
4144,f,"we design, deploy, and maintain advanced technologiesthat enable our customers to achieve operational excellence at substantial opex savings.our core strengths include a concentration on networks, their security optimization with a laser focus on redefining the fulfillment experience. we are driven to add value at every step by providing access to inventory, streamlined credit, integration with your procurement organization and real time status information. these are all reflective of ourvalue-added philosophy. we have developed solutions for leaders from wall street to the web. what makes us different is our concentration and commitment to exclusive relationships with leading vendors."
5229,f,"valor services provides workforce solutions that meet the needs of companies across the private sector, with a special focus on the oil gas industry. valor services will be involved with you throughout every step of the hiring process and remain in contact with you all the way through the final step of signing of the employment contract with your new employer. valor services was founded with the vision of employing the unique skills, experiences, and qualities of america’s finest veterans to provide private sector companies with precise and concerted value-added services – and america’s finest veterans with an optimized career opportunity. we are eager to get the word out to veterans that there are ample opportunities for employment in the private sector and that you are the ideal candidates to fill those positions. valor services your success is our mission.™ "
9590,f,"at hayes-corp, we create the fun stuff. with a focus on software development for mobile platforms, we are constantly looking for talented people that can think outside the box logically and creatively. whether you define yourself as a coder, a marketer, or a number cruncher, we give you the resources to excel at what you do best. if you don’t see a position you like, but think you have what it takes - just send your resume toemail_eaa37b5bf6cd5f435db52ea17edfd1f61c685afdf336f31ca36d3514a139e79e."
6087,t,nann
641,f,"with an exceptional record of over 50% growth in each of the last 5 years, we’ve become the uk’s largest online retailer of products for the home and garden. we employ over 200 staff, offer more than 500,000 products on our sites and achieve sales in excess of £70m a year. we’re increasingly renowned as one of the uk’s most exciting ecommerce success stories and have ambitious plans to become a household name in home and garden retail."
6767,f,"i28 technologies has demonstrated expertise in areas strategic to different business in varying verticals. i28 technologies provides highly skilled technology consultants to meet the it needs of our clients. the functional expertise gleaned from the experience of working for fortune 500 companies has enabled the team @ i28 technologies to provide professional service in the areas of human resource consulting, it consulting, financial consulting, business process consulting and outsourcing. the company's core capabilities in it consulting are in erp, datawarehouse (etl), web technologies, bi reporting databaseserviceswherein we concentrateinsap, obiee, bigdata, java, sharepoint and oracle. i28 technologies has been incorporated by top professionals;thereforewe have firsthand experience of the market.we haveglobal presencein four countries across the globe- usa, canada, malaysia and india. our client list includes bluestar, allianz life insurance, tcs etc. i28 technologiesfacilitates online/classroom training on various modules of erp, datawarehouse (etl), web technologies, bi reporting database. courses offered for entry level positions: • data warehousing – etl and reporting tools (informatica powercenter 7.1/6.2/6.1/5.1, business objects, cognos, data modeling, erwin, sybase) • sap hana/ bo/ bods/ crm • java hadoop/ .net/ sharepoint/ bigdata • teradata/ oracle/ spotfire/ obiee/ biztalk and many more as per request… why you should join i28 technologies?? we have an unbeatable success rate of 100% placement throughout usa canada making us proficient in giving our employees the best salaries. we keep full transparency with the employees and believe in high commitment levels as it is the key to have a long-term fruitful relationship. our competence with sap, obiee, java and .net has helped our clients to streamline their business processes and customize their modules to suit their business environment enabling us to upgrade the skills of our employees and broaden their horizonswith the latest technology by facilitating online/classroom cross functional training. we also executeon-project support systems when the skills of employees are upgraded and new projects streamlined for them. "
12499,f,"intercom ( ) is a simple, personal messaging service for businesses and their customers. it provides a single, integrated platform for the whole company to use for support, marketing, product, sales communication and more. we’re on a mission to make web and mobile business personal. we believe that the future of customer communication requires not increasingly complex, impersonal point solutions, but rather a simple, seamless platform that applies innovations found in consumer services like facebook and whatsapp. founded in late 2011, intercom has raised over $30 million in venture capital and is backed by leading investors, the social+capital partnership and bessemer venture partners. intercom has been adopted by thousands of businesses, including heroku, hootsuite, rackspace, yahoo! and perfect audience. our customers love the product: we like big thinkers with small egos who believe in our goal to build a uniquely impactful, long-lasting tech company. our vision is to fundamentally change forever how internet businesses and their customers communicate."
7075,f,"tidewater finance co. was established in 1992 for the initial purpose of purchasing, and servicing retail installment contracts. there are two divisions: tidewater credit services, providing indirect consumer retail finance options and tidewater motor credit, providing indirect consumer auto financing. we remain committed to offering a partnership with the dealers and consumers to create a win-win-win situation. our success relies solely on the success of our dealers and our consumers. full time positions include the following benefits: 40 vacation hours after 6 months of employment, 80 vacation hours after 1 year of employment 6 paid holidays as well as an anniversary holiday benefit paid personal and sick leave after 90 days of employment full benefits to include health, dental, life and disability insurance a 401k plan with a company match after 6 months of employment based upon a quarterly entry date incentive bonuses for individual and team goals (certain positions) bilingual spanish eligible for differential pay "
1606,f,"novitex enterprise solutions, formerly pitney bowes management services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. for almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. as a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth."
14540,f,"s2scout, is a pittsburgh-based talent aquisition firm providing services to small, medium, and large organizations across several industries. s2scout is comprised of seasoned recruiters, a.k.a. “scouts”, who are dedicated to helping clients and candidates find the right talent or opportunity without wasting their time. our dedication to providing clients and candidates with fresh talent or unique opportunities is in the “s2scout” name. “s2” is the military term for intelligence. “scout”, by definition, is a person sent out ahead of a main force so as to gather information about the target's position, strength and movement our recruiters don’t sit and wait for candidates to come to them, our scouts are in front of the search utilizing tactics that are…well…classified."
17584,t,nann
1254,f,nann
17556,t,"join the your phone connect team and earn money while helping your community. the your phone connect network makes no cost cell phones available to low-income families and individuals in arkansas, maryland, missouri and oklahoma. the service is at no cost and there is nothing the consumer has to purchase upfront. you are not a sales person because you are not selling anything. these cell phones are apart of a government program that assists those who are low income and in need because no one should be cut off from communication. get started today: "
9766,f,nann
10392,f,"shipster is the fastest way to send anything anywhere. at shipster, we believe in enabling better interactions between people and businesses. in order to do so, we are building the worlds first on-demand shipping platform -- powered by the best technology and service. come join us, and be part of the next big thing."
8366,t,"bradley contracting group corporation offers a wide range of b2b services through a plethora of different small business entities. we have sectors in many different industries. our main objective is to harness contracts with as many different small businesses, and corporations in the cincinnati tri-state area, and in the southern ohio region. bradley contracting group corporation has been around for almost 5 years doing work in different cities for various clients. we've worked out of louisville ky, charlotte nc, and atlanta ga. as of november 2013 we've established ourselves as transportation and courier service. some clients of note are fedex ground, and hhgreg. as a result of our own diligence and dedication to excellence we're also looking to expand into other markets as well as obtain contracts with lowes, best buy, the city of cincinnati, the state of ohio, and many different schools and districts of schools as well. we're in excellent standing with the state of kentucky and a registered foreign entity with the state of ohio. we're temporarily stationed out in hamilton, ohio within our transportation and warehousing facility we've recently acquired. our main focus is to establish a reputation of excellence, diligence, and innovation. if you feel you can live up to our motto, ""excellence no excuses."", we'd love to have you as a part of our team!"
17570,t,nann
9811,f,"mediamonks is the biggest creative digital production company on the planet. we specialize in working for and with advertising agencies to craft amazing digital work for global brands. you can find us anywhere on the web as well as in amsterdam, london, la, new york and singapore. mediamonks boasts an in-house team of 250 monks that are versed in an infinite range of digital disciplines, collectively covering anything you could possibly throw at a digital campaign. our award-winning capabilities include film, games and mobile and are recognized by over fifty institutions worldwide, including cannes, eurobest, the webbys and the awwwards. mediamonks, est. 2001, is a member of soda and part of the fwa hall of fame. catch our latest showreel at . openings interested in joining this club of digital artisans? check out our vacancies and tell us why we should hook up right away. we tend to care less about paper qualifications and more about hands-on experience, so be sure to provide us with a portfolio or other feat of arms.nothing that matches your skill set? we have awesome jobs for awesome people. simply tell us about yourself and your trade and we may dream up your digital dream job (or internship) just like that."
17625,t,nann
6883,t,nann
17724,t,nann
2396,t,"aptitude staffing solutions has redesigned the recruiting wheel. our innovative new platform cuts the recruiting time in half, yields scientifically-proven results and clients and candidates enjoy a pleasant experience through advanced, simple to use technology and a tenured, industry-experienced recruiting team. join us in a fresh new experience of leveraging your career...the way it should be! all represented candidates enjoy the following perks: expert negotiations, maximizing total compensation package signing bonus by aptitude staffing in addition to client signing bonus (if applicable) 1 year access to anyperk relocation services for out of town candidates continued education in your area of profession, seminars, workshops and other skill development events contract employees receive quarterly bonuses for the duration of their project direct-hire employees receive double bonues ($2,000) per referred/recruited candidate into their newly appointed company all candidates are encouraged to participate in ourreferral bonus program earn$500 - $1,000per hired referral "
14434,f,"united cerebral palsy of oregon sw washington (ucp) supports adults with all kinds of developmental disabilities (not just cerebral palsy), so that they can live the life of their dreams. we're growing, so you will see lots of exciting job openings in the next few months! why work for ucp? as an employee of ucp, you'll be proud of the work you do, every day! our employees assist the people we support to live independently in their own homes and apartments, find and keep their dream jobs, make community connections, serve as their own advocates, and make their own choices. you'll get the chance to work for one of the 100 best non-profit employers in oregon. we'refun and flexible, and there's plenty of room for advancement and growth. "
884,f,"from the lands of can do, roll our sleeves up and get it done, we create and solve things previously unimaginable. we’re revolutionizing the it industry with a platform that provides unprecedented control over all service layers in an organization. we also transform the way people experience enterprise software — they’ll accomplish more each day and enjoy using our platform as part of their daily lives. this sounds massively ambitious and tough because it is. we’re a small team that doesn’t shy away from hard problems and we need more big thinkers and self-starters like you. if you want to be at the forefront of innovation, join us at apcera and shine."
11653,f,"worksmart is the leading managed it services consulting firm in the carolinas. we provide small mid-sized businesses with help desk and onsite end-user support, it consulting project management. worksmart enables leaders of nc organizations to cost-effectively run their business, optimize it resources, minimize daily operational stress, and be productive anywhere, with anyone, and on any device. interested in joining a stable, growing company? worksmart provides a flexible and fast-paced work environment with an emphasis on team atmosphere. below is a listing of our available job opportunities."
7183,t,"aegis is a global business services provider in the area of experience management. we provide a suite of solutions for our clients, from strategy and design to implementation and execution, that help global brands deliver memorable end-customer experiences. with a presence in 56 locations across 13 countries and with more than 55,000 employees, aegis manages over a billion customer interactions every year for over 300 clients across verticals such as bfsi, telecom, healthcare, travel and hospitality, consumer goods, retail, and technology. aegis manages, enables, extends, and enhances business experiences for its clients and their customers across consulting, technology, outsourcing, and training and education. aegis is an essar enterprise. essar is a usd 39 billion conglomerate. - see more at: "
16549,f,nann
6539,f,nann
4723,f,nann
2942,f,"o|miga is a different type of business services firm. founded by x-big 4 partners, o|miga offers accounting, payroll, human resources and other support services specifically tailored to the needs of small and mid-sized entrepreneurial businesses. we provide these services in a way that is more practical, efficient and cost effective, than traditional firms; by a team of experienced professionals that thrive on working with dynamic growing clients."
5914,f,"founded in 2010 by a team from google’s london and new york offices, qubit work with some of the biggest names in online. our engineers have built a brand new platform that combines a number of technologies – analytics, automation, personalisation and more – into a simple, easy-to-use product. we’re not the only ones excited about our brand new approach to solving the problems of modern e-commerce. wired magazine named qubit as one of thetop 5 hottest startups in london. we’ve raised $7.5 million in series a funding from one of the uk’s biggest venture capitalists! come and join the growing team as we embark on the most exciting chapter in qubit’s history. although we’ve now grown to more than 90 people, we’re keen on keeping our culture as relaxed and open as when there were only 5 of us. our offices have table football, kitchen full of fruit and other snacks, never ending coffee supply, dinner service and lots of other startup perks. more importantly we’re a focused and determined team preparing to double in size during 2014!"
4729,f,"viva online services is the leading greek online services website providing online services in various sectors like travel, ticketing, telecoms, insurance, sport events, cultural events, etc. viva payments is a payment institution operating under official license by the bank of greece. the company offers innovative payment services to businesses and professionals, combining maximum security with flexibility and support. founded in 2006 and 2010 respectively, by parent company realize s.a. are constantly looking for fresh talent to add to their human resources. currently planning our international expansion, viva online services and viva payments are the ideal places for anyone to kickstart their career or take it to the next level, and grow with us."
4650,t,dmt instant reward. we are hiring all the time.
14082,f,"dairy, food and beverage processors work within one of the most complex, competitive and precision-driven industries. they need a partner they can rely on to address their operational issues. w.m. sprinkman has been providing system design, engineering and installation as well as stainless steel manufacturing, maintenance and servicing of equipment for over 80 years. the secret (foundation/ core) of our longevity is our incredibly talented and dedicated staff from sales to service, concepts to installation. "
6994,f,want to build a 21st century financial service? we're convinced that that there is a need for innovation in financial services and that current banks will not be the ones providing this.instead this innovation will come from companies like transferwise and we're on a hunt for great minds who think like we do.
16587,f,nann
5804,t,nann
3326,t,nann
816,t,"edison international and refined resources have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model. our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture! please direct all communications to the hr department within refined resources ( ) email_0b13a2cfd4718ce252c09b2353d692a73bd32552e922c5db6cad5fb7e9a2c6c3 darren lawson | vp of recruiting |email_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c| phone_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1"
15934,f,"suneris, inc is a medical device company,based out of brooklyn, ny, working towards solving problems associated with wound care. suneris has invented a hemostat using its gel technology that can instantly stop moderate to traumatic bleeding on internal or external wounds. for more information, please check out our website: "
2636,f,"pioneering advanced analytics vendor rapidminer is redefining how business analysts use big data to predict the future. with an open source heritage, rapidminer is one of today’s most widely known and used predictive analytics platforms, providing powerful solutions for a wide variety of industries."
16386,f,"the realreal is changing the way people buy and sell luxury items. the leader in luxury resale, the company is a full service retailer offering customers authenticated, pre-owned, designer brands including chanel, hermes, louis vuitton , gucci and cartier, all at up to 90% off original retail. the realreal takes possession of all items prior to sale in order for its merchandising team, authentication specialists and skilled gemologists to evaluate each item. the company also offers buyers merchandise returns, with an in-house customer service team available to answer specific product questions."
9356,t,nann
7084,f,"we provide full time permanent positions for many medium to large us companies. we are interested in finding/recruiting high quality candidates in it, engineering, manufacturing and other highly technical and non-technical jobs."
10169,f,"novitex enterprise solutions, formerly pitney bowes management services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. for almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. as a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth."
8488,t,"jaco oil and refined resources have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model. our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture! please direct all communications to the hr department within refined resources ( ) email_0b13a2cfd4718ce252c09b2353d692a73bd32552e922c5db6cad5fb7e9a2c6c3 darren lawson | vp of recruiting |email_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c| phone_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1"
4927,f,nann
16500,f,"we’re digital telepathy, but our friends call us dt. committed to being designers of the web, we help startups solve their toughest user experience design challenges.we practice objective-based design and agile development, so things move fast.from marketing websites to web app design, we create experiences that engage users and deliver results. "
2044,t,"aker solutions is a global provider of products, systems and services to the oil and gas industry. our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. we employ approximately 28,000 people in about 30 countries. go to for more information on our business, people and values."
7390,f,nann
9324,f,"shyp is the easiest way to send anything, anywhere. here at shyp, we’re building the 1 brand consumers and small businesses trust for shipping their packages, and in the process fundamentally disrupting a 220 year old building a customer-centric organization that encourages customer service to permeate the decisions and attitudes of the entire company. our culture is collaborative, focused and fast-paced. we have an incredible team and are well funded by some amazing investors. come join us."
1920,f,"our team is made of designers, physics wizards, educators, writers, musicians, and illustrators. we work together to build elegantly engineered ios apps that incite wonder in curious kids over the globe. small teams mean you get a real say in how we solve problems, with plenty of autonomy. we have an ambitious product line-up, but we also understand the importance of work-life balance. we offer a flexible office environment, competitive salaries, and monthly team outings. we also include health care benefits (medical, dental, vision) and vacation for full-time employees. if you love pushing the boundaries of what’s possible with mobile devices, spinning interactive stories, and collaborating on creative projects, you’ll fit right in."
944,f,nann
17780,t,nann
17778,t,nann
2310,f,"at hayes-corp, we create the fun stuff. with a focus on software development for mobile platforms, we are constantly looking for talented people that can think outside the box logically and creatively. whether you define yourself as a coder, a marketer, or a number cruncher, we give you the resources to excel at what you do best. if you don’t see a position you like, but think you have what it takes - just send your resume toemail_eaa37b5bf6cd5f435db52ea17edfd1f61c685afdf336f31ca36d3514a139e79e."
16859,t,"maynard consulting company has more than 20 years experience in the biotechnology, pharmaceutical, medical device, chemical, and validation engineering fields. in addition, we have over 10 years in project management, software engineering, telecommunication, testing, and networking engineering. mcc partners with skilled candidates to meet and exceed their career expectations."
571,f,"as augmented reality jobs go, one at blippar is hard to beat. we are a rapidly expandingcreative startup at the forefront of a brand new industry, so working here offers realopportunities to shape an innovative technology and the way in which people use it. because of this, we like working with imaginative people who think outside the box, and welove people who throw the whole box away and build something completely new.our bright, open, centrally located offices are energetic environments bursting withcollaborative ideas and boundless enthusiasm. aside from being part of an exciting, driven, super-friendly team that will nurture your talentsand help you grow, at blippar you’ll find plenty more tangible benefits, including weekly freelunches, evening drinks, and olive, the office dog. you’ll also be working intimately, from the start, with some of the world’s biggest brands -from coca cola and nestle to conde nast, pg and jaguar. as a young, growing company spearheading the exciting augmented reality industry, thebiggest perk of all is the creative control you’ll be afforded, whether you’re part of the design,tech, commercial or marketing teams. after all, we think our people are amazing, so we want them to stick around. "
13734,f,"we provide full time permanent positions for many medium to large us companies. we are interested in finding/recruiting high quality candidates in it, engineering, manufacturing and other highly technical and non-technical jobs."
169,f,"novitex enterprise solutions, formerly pitney bowes management services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer satisfaction. for almost 30 years, clients have turned to us to integrate and optimize their enterprise-wide business processes to empower employees, increase productivity and maximize results. as a trusted partner, we continually focus on delivering secure, technology-enabled document and communications solutions that improve our clients' work processes, enhance their customer interactions and drive growth."
